essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
5987	3	In the story, “Rough Road Ahead: Do Not Exceed Posted Speed Limit” written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, “the sun was beginning to beat down.” @CAPS1 makes any task difficult because the sun drain’s a person’s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; “The water bottle contained only dehydration which can cause death. Joe Kurmaskie’s story, “Rough Road Ahead. Do Not Exceed Posted Speed Limit,” represents how certain conditions of an environment can affect a cyclist.  	2.0	3.0		3.0																					
5988	3	The setting of the authors “ shortcut” effected his performance and strength tremendously . whether it was the hills, heat or barren landscape all three took their toll on Joe Kurmaskie. Not only that, but his lack of water depleted his energy as well.” Flat road was repalced by short rolling hills.” The hills were a tough thing to pass since Joe was being drained of energy. He overcame this exhaustion when a building came into views.” I wiped the sweat from my eyes to make sure it wasn’t a mirage, and tried not to get too excited with what I believed was my last burst of energy. I manouvered down the hill.” The authour overcame all the problems ne faced even though it was difficult. He seems to have written this piece to exaggrate how important it is to keep going when you want to give up. Winston churchill once said, “ success is not final, failure is not fatal: it is the courage it takes to continues that counts.” I believe that @PERSON2 agrees.	3.0	2.0		3.0																					
5990	3	"There was many features that affected the cyclist such as heat and lack of water. The cyclist was drinking a lot of water throughout the story and ends up only having little water left. “I eased past, trying to keep my balance in my dehydrated state.” That shows he wasn’t prepared with enough water for his trip to Yosemite. Without water he/she would die from the heat. “Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from heat stroke"" This states that he @CAPS1 the danger of not having enough water in his system. Features such as water and heat affected him/her throughout the story. Not having enough water could make him/her lose more sweat and the heat is making him lose even more sweat which can cause extreme heatstroke."	3.0	2.0		3.0																					
6003	3	The cyclist in the story is at first confident in accepting the old men’s help, and doesn’t seem to suspect anything is wrong when he first starts out. The way the men directed him seem all going for his water supply is all in store, and the first land mark, a ghost town now, is exactly where it is supposed to be. The next “town” he hits doesn’t have anything that could replenish his diminishing water supply and he starts to feel troubled. However he was told the next town wasn’t further, so he pressed on. Then the scenery makes a drastic change, the flat roads becoming hills, the sun beating hotter- it really look like a desert after tumbleweeds even go past! The cyclist continues on, despite being very dehydrated. The next thing to come along is an old juice building that almost seems to mark him on how he has no water. He keeps on, however, and at last sees a shop where he can get water. The canging scenery sends the cyclist from confidence to worry, to hopelessness and lastly, relief.	3.0	3.0		3.0																					
6005	3	The features of the setting affect the cyclist in two way. This ways are pysical and mental. The pysical ways that features affect cyclist is the terrain. If the roads are long and wiredy, this could wear the cyclist out. They could also become physically tired if the incline of the hill is to steep. When it’s you against gravity, it can be egausting. The temperature can also be a crusal factor in a cyclist pysical ability. Nobody want to feel like their in a sauna when they are bike riding. The cyclist and also be attracted mentally. If the terrain looks deserted or anything like a desert the byciclist instintaniously thinks “dehydration” and “death.” If some people see dead animals or bones they would think they could die. If they see vulture circling them they would get afraid and think death, but the worse thing of all is that knowing all of these things are in the same place at the same time. This is how setting affects cyclists	3.0	2.0		3.0																					
6007	3	As the cyclist is travelling to Yosemite National Park, he comes across many features in the area that affects him. First, he takes directions from some old guys who don’t know anything about the changes in maps because they never leave their porch. At first, it affects him in a positive way, because he thought he had a good shortcut to Yosemite. However, the affect later came negative because it turned out to be a shortcut that never existed. Another feature that affected him wasted the setting which was a desert-like area. The heat made it harder for him to ride his bike, and he also drank a lot of his water. This later resulted in him becoming dehydrated. A positive affect was when he found the bait shop, where he rehydrated himself and got some new directions.	2.0	3.0		3.0																					
6014	3	"The terrain during the cyclist’s journey greatly affects him. For example, the first terrain that he experienced was not very hilly, but rather flat and soothing. The author stated, “I rode into the morning with strong legs and a smile on my face.” This shows that he was energized and happy. However, the reader can predict that the journey will not remain this joyful, because the cyclist is basically in the desert during the summer, in which it is extremely hot. Then, the cyclist experiences hilly terrain that sucked the life from his body, especially because he had no water left. The cyclist said, “sometimes life can feel so cruel"", emphasizing that the cyclist mood had changed from enthusiastic to tired and forlorn.  This change of mood from the terrain can be connected to real life, as obstacles are include, in which the person must persevere and be strong to overcome, in which the cyclist finally did. "	3.0	2.0		3.0																					
6016	3	The narrator in this story goes through a tough journey insisting of hope, challenge physical pain, despair, and relief. All of these are further developed by the settings where they take place, For example after taking advice from old men at a campsite, he is on his way through the deserts of California. If he had been almost anywhere else, his journey could have been much better. He could have gotten more reliable advice, or had been in a place where the towns were not miles and miles apart. Also, at one point he reaches a snake on the road. This could symbolize a decision, which was to go and how it will affect the outcome of his trip, or perhaps the decisions he had already made. To take advice from strangers and better yet he should use it. The irony continues as he becomes dehydrated and the flat land turns hilly. If that weren’t to happen he could have been more successful and healthy on his trip. The setting in this men’s story are necessary for if to have plot line and have the humour it possesses. If he were in the city, for example, he would not get lost and stranded, and therefore would have no story.	3.0	2.0		3.0																					
6026	3	"In the story many different settings affected the author in many different ways. In the very beginning of his journey he came across a ghost town. He reacted to the features of this setting with humor and hope. “I chuckled, checked my water supply, and moved on."" He still has hope that he would end up safe and in the right place. The next setting was an abandoned shed with a water pump and a fork in the rode. He grew worried when he saw that no near town was still in sight. “This sight was troubling” when the features of the next setting caught his eye he was desperate and devastated. “At some point, tumble weed crossed my path and a ridiculously large snake” He was on rough terrain in the middle of the desert with little water, when he reached the abandoned @CAPS1’s factory all his hope was lost and when he was planning his death. “I was going to die and the birds would pick me clean."" @CAPS2, when he reached the fish camp, he was relieved ""I had overwhelming urge to seek out Gary and Wilber, Kiss them and buy some bait.” He was overjoyed and overwhelmed because he had survived.    "	3.0	3.0		3.0																					
6027	3	Ghost towns are not exactly the most inviting place for a cyclis trunning low on water supply. In “Rough road ahead: do not exceed speed limit” the cyclist is affected in many ways by his surrounding settings. Starting off on a warm day with the sun bright start off as a good thing, while his mood is still fresh and happy expressions play on his face. But as he moves on he speaks of how “The sun was beginning to beat down” expressing his remorse of listening to the old men that led him on their “shortcut.” Along the road he comes to his first let-down, a ghost town with “one ramshackle shop, several rusty pumps and a corral that couldn’t hold the lamest male.” @CAPS1 he tries to pump the water from the corral but gets a “battery-acid” flavor and is forced to continue onward with little left to drink. This affects his mood to pity for himself and anger at the men who put him into the predicament. By the end he is relieved though when he comes to GARY & @CAPS2 FISH CAMP, a place with a working sink full of cold water. He says he “had an overwhelming urge to seek out @ORGANIZATION1, kiss them and buy some bait.” His thankfulness is expressed to men he doesn’t even know but because they were the light at the end of his long, dark and very exhausting tunnel.	3.0	3.0		3.0																					
6030	3	The setting puts a great deal of stress on the cyclist. The biggest issue he faces is the weather. He is a cyclist “traveling through the high deserts of @LOCATION1 in June.” He had been riding his bike all day and he was soon going to run out of water. Just when he thought he could drink more water, he drank “water feeling somewhere in the neighborhood of two hundred degrees.” The weather being so hot and humid, did not help the cyclist throughout his journey. Another factor of the setting that affected the cyclist was the terrain. “Flat road was replaced by short, rolling hills,” is a main problem the cyclist faced. These changes in terrain played into the fact that the weather did not cooperate. The hills made the cyclist work harder therefore use more energy. Luckily the terrain had a positive affect on the cyclist as well. The stones he found on the ground, helped keep his mind off the thirst. There were many factors of the setting that negatively and positively affected the cyclist throughout his adventure.	3.0	2.0		3.0																					
6031	3	The narration of “Rough Road ahead” a solo cyclist encounters several challenges throughout the story. The changes in his environment directly affect the completion of his journey and his health. As the narrator makes his way to Yosemite national park from the none of the old men his first encounter with his environment acknowledges his deserve and need for water. The text states “I had been huting my water pretty regularly... the high deserts of California in June”. To disappointed the truck stop’s water supply from the pumps was not adequate for his concumption, only forcing him to link elsewhere to quench his thirst next, he explenced rolling hills by exsercising more energy he made his way now everyone still in need of water. His spend lost his quickness as thoughts of his crippling dyhydration distracted him. He wer came his challenges making his was to a bate shop as the heat beat him unmercifully. The change in his environment challenged his heath and created a obstraction that nearly deterred him from his goal.	3.0	2.0		3.0																					
6033	3	The features of the setting in “Do Not Exceed Posted Speed Limit” affect the main character the cyclist. The cyclist is biking “through the high desert of california in June.” So naturally it can be infereal that it is not and dry, making water a delicacy. As the cyclist is passing through a ghost town and a pump that releases “a tarlike substance followed by brackish water” he is runningout of his precious water. The surrounding landscape of lonely hills tumbleweeds and snakes does not inspire confidence. In fact, the cyclist feels that “l cald drop from heat stroke on a gorgeous day in June.” He finds an old Grape Juice Factory no longer in service causing more anxiousness and dispare l have had an experience similar to this where l wat out walking in a state park in the @DATE1. I was freezing, and a desolate landscape of snow covered trees made me feel at if I’d never be warm again similar to He cyclist who’s environment made him feel hes wald die of dehydration. So, as can be seen. He setting of this short story affects the cyclist.   	3.0	3.0		3.0																					
6050	3	The setting of this story greatly affects the cyclist’s attitude and adversities. The path of the cyclist is through California deserts, which are dry and hot. This first presents the major conflict of the story, the danger of the cyclist getting heatstake. In the reading, the author says, “I had been hitting my water bottles pretty regularly” If the setting was in a cooler climate, the author would most likely not drank as often, and would not face dehydration. The trip would not have been as dangerous for the cyclist if the climate was different. Another element of the setting that affected the cyclist was the terrain. In the reading it says, “Flat road was replaced by short, rolling hills.” The rough road not only would take a toil on the authors body, but also his mind. While riding, the author thinks, “ I was doing a water-depleting 12 mph” This shows how his attitude is getting less and less optimistic as well as keeping his mind on his thirst. Thinking of his thirst would only get him more thirsty. The small change in terrain had a large impact on the authors journey. Perhaps the most influential element of the setting is the isolation. Only until the end of the story does the cyclist run into another human. Up until that point, He was all alone, having to deal with his thirst and fatigue on his own. If the setting had been in a more urbanized area, the cyclist could have gotten help from other people, which would have made his ordeal very easy. Also known, that nobody was going to help him played a large role in the mental state of the author. In conclusion, the conflict of this story was set up by the setting. If the setting were not hot, rough, and isolated, the cyclist would have had an easy journey, and the story would not have been as exciting or interesting. A different setting in my opinion would have ruined the story.	3.0	3.0		3.0																					
6057	3	"The cyclist is traveling through a rough part of California during the hot month of June. The author describes part of part of his journey; ""I was traveling through the high deserts of california in june."" The heat of the sun and not much water around is causing the cyclist to worry about his health. A little further into his journey realizes how bad he could get if he doesn't find water soon. The author write, ""the growing realization that I could drop from heatstroke. ""As the cyclist has run out of water & there is no sign of life around, he begins to feel that he @MONTH1 never make it through the desert to yosemite National Park.The author describes this ""I was going to die and the birds would pick me clean. ""The setting of the cyclist""s journey greatly affected how he percieved his journey."	3.0	3.0		3.0																					
