cand id	BLEU	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_P	BERTScore_R	BERTScore_F1	bert_s+wms	bert_sms	bert_wms	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	score
5979	0.15422082	0.26086956	0.056555265	0.18939393399999999	0.8179324	0.8325504000000001	0.82517666	1.25e-05	0.000173933	8.87e-07	3.74e-06	0.00018359799999999999	7.59e-08	0.020059281	0.080167751	0.00496713	2
5980	0.04697066	0.201298697	0.013071891	0.17117116699999999	0.81391674	0.8047818	0.80932343	5.57e-06	9.640000000000001e-05	3.2e-07	1.96e-06	0.000121018	3.1299999999999996e-08	0.015179326000000002	0.061616804000000004	0.0036984709999999996	1
5985	0.059395928	0.185185181	0.012422356	0.148148144	0.7982646	0.8003029	0.7992825	3.62e-06	4.8100000000000004e-05	2.69e-07	1.33e-06	6.91e-05	2.56e-08	0.012146912	0.054600644000000004	0.0026904859999999997	0
5986	0.059714162	0.241830061	0.026315785	0.216216212	0.84241164	0.8226094	0.8323928	1.4300000000000002e-05	0.000207972	9.740000000000001e-07	3.5e-06	0.000260073	4.7000000000000004e-08	0.013359188999999999	0.06775766	0.0026339140000000002	2
5987	0.128421094	0.236263731	0.033149166	0.19841269399999997	0.82064205	0.8252519	0.82294047	9.45e-06	0.000168978	5.27e-07	3.43e-06	0.000246832	4.7800000000000005e-08	0.021768704	0.089190075	0.005300283	3
5988	0.124181393	0.24427480399999998	0.010230174	0.159999995	0.8155571999999999	0.8290054	0.82222635	1.4599999999999999e-05	0.000308275	6.83e-07	6.98e-06	0.000579753	8.41e-08	0.021582929	0.105043746	0.004382716	3
5989	0.079011544	0.28478964	0.032573286	0.20560747199999999	0.84804547	0.81765544	0.8325732	1.1900000000000001e-05	0.00018852799999999998	7.49e-07	3.61e-06	0.000202652	6.41e-08	0.017091983999999998	0.07344352900000001	0.003950227	1
5990	0.096545939	0.250712246	0.017191972	0.17647058399999999	0.8326386999999998	0.8201470999999999	0.8263457000000001	1.13e-05	0.00018677	6.8e-07	3.95e-06	0.000325552	4.7800000000000005e-08	0.017685438	0.085862854	0.0036307859999999996	3
5991	0.060879472000000004	0.269360265	0.033898301	0.177339898	0.8556582	0.8229873	0.83900476	1.93e-05	0.000315256	1.18e-06	5.61e-06	0.00036874300000000004	8.55e-08	0.019958581	0.102015337	0.003901955	2
5993	0.111890555	0.283185836	0.029673586000000002	0.206896547	0.83332866	0.8207690999999999	0.82700115	1.15e-05	0.000186673	7.03e-07	4.26e-06	0.000237617	7.61e-08	0.017909077	0.078976008	0.004037852	2
5994	0.074511312	0.232704398	0.00632911	0.19130434300000002	0.82864106	0.81465054	0.82158625	1.04e-05	0.000161707	6.629999999999999e-07	3.13e-06	0.00023266700000000001	4.22e-08	0.016361638	0.07596937299999999	0.003490785	2
5995	0.080344616	0.27044024699999997	0.044303793	0.20353981899999998	0.8491384	0.8259245000000001	0.83737063	1.05e-05	0.000145816	7.529999999999999e-07	4.47e-06	0.00021821	9.109999999999999e-08	0.020329552	0.076511395	0.005381289	2
5996	0.056422487	0.210526312	0.019867545	0.150234738	0.8402572	0.8152633	0.82757163	1.4000000000000001e-05	0.000240488	8.13e-07	2.87e-06	0.000229562	3.5699999999999995e-08	0.015797434	0.076480335	0.003261714	1
