cand id	F1 score	R score	P score	score
4918	0.104757726	0.35347888	-0.102509744	1
4919	0.2494503	0.4717438	0.23348956	2
4920	0.37284476	0.44613168	0.4231107	1
4922	0.5582933	0.43981558	0.79613656	0
4923	0.39302582	0.3474829	0.6914679	1
4925	0.4958235	0.5719157	0.4202036	1
4926	0.34095314	0.46480584	0.32854936	2
4927	0.102947064	0.2700169	0.006190608	0
4929	0.45122126	0.56880826	0.5062608	1
4930	0.087392755	0.33434698	0.030981692	0
4931	0.20334466	0.4414374	0.11334366	1
4932	0.3325804	0.37652615	0.4394111	1
4933	0.273982	0.45866555	0.20308518	1
4934	0.17337534	0.35899132	0.17712638	2
4935	0.077643014	0.23651886	0.002417167	0
4937	0.37904662	0.54663783	0.30651963	1
4938	0.497453	0.64809805	0.35316214	1
4939	0.44025382	0.58367276	0.41050273	1
4940	0.0401471	0.42924875	-0.1319827	1
4941	0.24909255	0.40043932	0.17735915	0
4942	0.24100055	0.41160038	0.07861824	0
4943	0.20189917	0.42048487	0.074645996	2
4945	0.4633757	0.51277757	0.4386714	1
4947	0.32955062	0.44344583	0.3525622	1
4949	0.3196204	0.44707718	0.44528052	1
4950	0.20833483	0.38094875	0.0959668	1
4951	0.09296494	0.3487004	-0.01896413	1
4952	0.35777745	0.4723391	0.43534687	0
4953	0.57901645	0.5967914	0.6481973	0
4954	0.47535777	0.3403628	0.6966765	1
4955	0.3075518	0.48404774	0.2006613	1
4957	0.2737761	0.42479113	0.14501269	1
4958	0.19115104	0.22324747	0.19218017	1
4959	0.25479117	0.338927	0.33599293	0
4960	0.2712863	0.48674735	0.33564273	1
4962	0.5822564	0.55631965	0.6070683	1
4963	0.13037185	0.24471784	0.10781633	0
4964	0.21622518	0.4515005	0.1590063	1
4965	0.24737053	0.41064498	0.13635786	1
4966	0.13959609	0.4295954	0.04164086	1
4967	0.2952674	0.49635735	0.25343463	0
4968	0.16943192	0.24709557	0.19053842	0
4969	0.2939872	0.42490608	0.26660612	1
4970	0.27723637	0.45079094	0.13756591	0
4971	0.233261	0.49690068	0.15180431	1
4972	0.45750684	0.524234	0.47649142	1
4973	0.22674234	0.26728758	0.27510107	1
4975	0.38370553	0.5548538	0.3893977	2
4976	0.13817321	0.33909148	0.016364783	0
4977	0.19906786	0.47373986	0.06544251	0
4978	0.27252555	0.36393675	0.27330685	1
4981	0.3230842	0.46444222	0.24078529	2
4982	0.3852411	0.43500775	0.40504473	1
4983	0.38154912	0.5107865	0.38059822	1
4984	0.58855397	0.70962906	0.5187273	1
4985	0.094033964	0.16503611	0.11300264	1
4986	0.2122168	0.39861694	0.13581875	1
4987	0.23871912	0.45134804	0.30242816	1
4988	0.37378487	0.52034837	0.39717418	2
4989	0.3715232	0.52446496	0.40425092	1
4990	0.35506728	0.5696692	0.26300886	2
4991	0.28413823	0.4617935	0.2606971	1
4992	0.393314	0.45059142	0.3824752	1
4993	0.24310504	0.35233882	0.19969946	0
4994	0.45077592	0.5937285	0.46233085	0
4995	0.302693	0.43450582	0.28901684	1
4997	0.06409501	0.32503483	-0.044106133	0
5001	0.20641682	0.39663076	0.15320516	0
5003	0.3904979	0.46281543	0.5073751	1
5004	0.356012	0.46830347	0.3339571	0
5006	0.30242565	0.489505	0.31448394	0
5007	0.19560935	0.41949907	0.23635352	1
5008	0.22142443	0.46118513	0.23272051	0
5009	0.21856064	0.3522518	0.19328457	1
5010	0.08850451	0.28258863	0.043774318	1
5011	0.21161571	0.26246276	0.3710972	1
5012	0.07779346	0.26371282	0.07036174	1
5013	0.28904575	0.33837202	0.31599516	1
5014	0.27026108	0.4114819	0.21427214	0
5017	0.038534913	0.1773291	-0.09589923	0
5018	0.24116053	0.4372974	0.16069579	0
5019	0.16600202	0.35327795	0.10329648	1
5020	0.4567832	0.6221368	0.40331915	1
5021	0.34173718	0.45656124	0.27163395	1
5022	0.30095473	0.6223897	0.20004047	1
5023	0.4265635	0.5555786	0.53710705	1
5024	0.0864152	0.34393612	-0.12329462	1
5025	0.40369874	0.503979	0.44537178	1
5026	0.0784016	0.3580076	-0.10103567	1
5028	0.2660288	0.51674175	0.22738668	0
5029	0.20814624	0.29793426	0.16159998	1
