cand id	similarity score	score
4918	7.331909197848611e-06	1
4919	5.674160492359794e-06	1
4920	1.907661516614374e-05	1
4922	0.00010898939775917234	0
4923	6.0783256395344145e-06	1
4925	3.0280564062675892e-05	1
4926	0.00010882913568162534	1
4927	9.91401026839377e-06	1
4929	8.071244613876719e-05	1
4930	1.2818284278189125e-05	1
4931	9.092680492043679e-06	1
4932	2.4431132831889493e-06	1
4933	1.6143858926729486e-05	1
4934	3.256047849353506e-06	1
4935	2.7557373145583092e-06	1
4937	1.993652584843701e-05	1
4938	0.00768119298179425	1
4939	0.00039996676387768997	1
4940	5.885357116491683e-06	1
4941	2.441751894105492e-05	0
4942	1.0369916367073973e-05	0
4943	8.725260989467304e-06	1
4945	2.8652962542772114e-05	1
4947	3.928661755015217e-05	1
4949	0.0002520411384953817	1
4950	6.3768320578214934e-06	1
4951	1.1862835127424186e-05	0
4952	2.189853779740146e-05	0
4953	0.00018856497330482807	0
4954	8.692015296119286e-06	1
4955	2.252753350688309e-05	1
4957	1.828869641473997e-05	1
4958	3.4341394282380334e-06	1
4959	1.2519641554808808e-05	1
4960	0.0001625410762691664	1
4962	6.990537905778912e-05	1
4963	4.628695171817414e-06	0
4964	1.888963182658709e-06	1
4965	2.1750284658490075e-05	0
4966	3.839213825888143e-05	1
4967	0.0001807436025784548	1
4968	1.691442435148942e-05	0
4969	8.702831334767596e-06	1
4970	2.4429957024513754e-05	0
4971	0.00010491648699466388	1
4972	1.5263052904281067e-05	1
4973	6.4139389688188695e-06	1
4975	0.00015285609981754576	1
4976	9.739842023543919e-06	1
4977	4.2052327798367385e-06	1
4978	5.0997338176218745e-06	1
4981	1.2902788191923724e-05	1
4982	8.054205322609507e-05	1
4983	0.0001332032329023619	1
4984	0.0004281419185664362	1
4985	6.2956641679246e-07	1
4986	1.4305701093749506e-06	1
4987	5.595193539196195e-05	0
4988	3.7154908924366257e-05	1
4989	5.365267648376501e-05	0
4990	9.870792591398787e-06	1
4991	1.1140531897146716e-05	1
4992	1.5407736680482658e-05	1
4993	1.0207802208229394e-05	0
4994	8.587781156542092e-05	0
4995	3.144014542600864e-05	1
4997	5.526198356297977e-06	0
5001	7.221639904129938e-06	0
5003	3.4505160523079044e-05	1
5004	0.00023084896973330038	0
5006	1.8861145894870025e-05	0
5007	1.5615829350154933e-05	0
5008	1.024608336626775e-05	0
5009	4.611476320540297e-06	1
5010	3.4379471464113203e-06	1
5011	2.8703052183959616e-06	0
5012	1.2955734445239596e-05	1
5013	1.0654499686217802e-06	1
5014	1.9391022079493752e-05	0
5017	4.182196076379265e-06	0
5018	4.4355135944082825e-05	0
5019	4.947844867852929e-06	1
5020	7.008033173501858e-05	1
5021	4.708460689473307e-06	1
5022	0.0013986390652265454	0
5023	0.0003890827835708796	1
5024	3.4905719722232818e-06	1
5025	0.00012057711925435703	1
5026	7.776425025908926e-06	1
5028	1.5813787494843402e-05	0
5029	6.074854382021871e-06	1
5030	2.45594410108746e-05	0
5031	1.0177770115357184e-06	1
5033	6.297811169969383e-06	1
5034	9.80532312197082e-06	1
5036	8.31072125316992e-05	1
5037	4.824588800793378e-06	1
5038	1.0208688124280826e-05	0
5039	2.34582383141989e-05	1
5040	0.00011840281321183764	1
5041	2.833959728137583e-05	0
5042	4.263672080065665e-05	0
5043	1.928564082981561e-07	0
5046	0.00022864349505559962	1
5047	6.016389427225756e-05	1
5048	0.0001304995950508271	1
5050	7.493149901306488e-06	0
5051	3.7091659359460534e-06	1
5053	1.6344270532304378e-05	1
5054	2.1216412277158588e-05	1
5056	4.601690662261032e-05	1
5058	1.5355134128448245e-05	1
5059	1.595690334253154e-05	1
5060	0.0005830192107970531	1
5061	2.7265857008035536e-05	1
5062	7.807557500068216e-05	0
5063	1.4630900934997245e-05	1
5064	5.308100680419822e-06	1
5065	1.187532024197866e-05	1
5066	3.0515364466480986e-06	1
5067	7.126853671011499e-06	0
5068	0.00010587073361160636	1
5069	5.245098815029256e-06	1
5071	1.2381125438003467e-05	1
5073	9.68736378010216e-06	0
5074	1.04099471061822e-05	1
5075	1.9287499766988447e-05	1
5076	0.00012805608073979049	1
5079	2.284102844202185e-06	0
5083	2.2208394567060463e-05	1
5084	2.2706502862304556e-06	1
5085	9.229816146702026e-05	0
5086	3.1700711817929074e-06	1
5087	1.9706193900883767e-05	1
5089	0.0003114700705955214	1
5090	1.877008043998137e-05	1
5091	1.8206349372853213e-05	0
5092	3.0646853020197925e-05	1
5094	2.755412854403053e-05	1
5095	7.937874505028934e-06	1
5096	0.00034173878162900725	1
5098	0.00020706157311911835	1
5099	8.565120585565984e-06	1
5100	5.857801661149393e-06	0
5101	1.8313191308070228e-06	1
5102	6.148761068414145e-06	1
5104	0.0002613948809559585	1
5105	0.00016235362083442815	1
5106	6.944367288847083e-06	0
5107	1.8431468476908925e-05	1
5108	9.485757491890554e-05	0
5109	1.503596822142025e-05	0
5110	1.63877070787345e-05	0
5112	1.7275968040013285e-05	1
5114	1.1590663334005694e-05	1
5115	2.8805666298806665e-06	1
5116	5.706846543207605e-06	1
5117	6.20429535077405e-06	1
5118	4.069481614436429e-06	0
5119	2.362386541649936e-06	0
5120	4.013866764693102e-06	1
5121	1.9251921850339664e-05	0
5122	1.711303916364357e-05	1
5123	6.35077788855853e-06	1
5124	0.0003437335946433843	1
5125	4.245168513491806e-06	1
5126	3.3651904951809435e-06	1
5127	5.62657682070099e-05	0
5128	6.4015582785561876e-06	1
5129	1.3337858529791285e-05	1
5130	4.439908520256099e-06	1
5131	1.066641020018889e-05	0
5132	4.627190151262225e-06	0
5133	6.7052255316582125e-06	1
5134	1.0421419916201782e-05	0
5135	6.001612812985063e-06	1
5136	2.0616591250442794e-05	1
5137	1.361873187416155e-05	0
5138	1.1613855098093025e-05	0
5139	1.8867784409931785e-05	0
5143	1.3203340863535894e-05	1
5144	3.785908156000201e-05	1
5145	0.001075893514382352	1
5146	3.6050807913489393e-05	1
5147	1.5105012820789493e-05	1
5148	3.0916041014416195e-05	0
5150	1.2033329322110394e-05	1
5152	0.00018686822854801352	1
5153	7.622238344142914e-05	0
5154	3.1707000729828016e-06	1
5155	3.3744605610528964e-05	0
5157	2.721451011453977e-06	0
5159	1.5412248387477803e-05	0
5160	6.567500324805838e-06	1
5162	5.581736367576115e-05	0
5163	7.942963274284781e-06	0
