cand id	similarity score	R score	P score	score
0	0.87308854	0.8719703	0.8742096	0.6
1	0.8825213	0.88878614	0.8763441	1.0
2	0.8833172	0.90051425	0.8667645	0.4
3	0.9120352	0.91330713	0.9107667	1.0
4	0.86680585	0.8816541	0.8524495	0.4
5	0.8565865	0.85452414	0.8586588	0.4
6	0.9053069	0.90546507	0.9051488	1.0
7	0.8697698	0.85462666	0.8854593	-0.2
8	0.8824424	0.8917551	0.87332225	0.6
9	0.85659987	0.84672743	0.8667053	-0.2
10	0.87543935	0.85402125	0.89795935	0.8
11	0.84662	0.8357255	0.85780233	0.8
12	0.8828267	0.8814093	0.8842486	0.0
13	0.8633043	0.8685612	0.8581107	0.4
14	0.8377514	0.834342	0.8411887	0.8
15	0.83047533	0.8234228	0.8376497	-0.4
16	0.87789303	0.9117001	0.84650344	0.0
17	0.854593	0.86353797	0.8458314	-0.4
18	0.8534685	0.85533786	0.8516073	0.8
19	0.84154344	0.8481197	0.83506835	-0.4
20	0.83865505	0.82720953	0.85042167	0.2
21	0.8687949	0.8802736	0.8576118	0.0
22	0.86601174	0.8791697	0.85324174	0.0
23	0.85647005	0.8638886	0.84917784	0.2
24	0.88194823	0.9040749	0.8608789	0.2
25	0.8509157	0.8546439	0.8472198	0.2
26	0.8663132	0.85480523	0.8781353	0.2
27	0.8817968	0.89516795	0.8688193	0.8
28	0.85071623	0.8547743	0.84669656	0.8
29	0.86726373	0.86394125	0.87061197	-0.4
30	0.8524939	0.8469422	0.85811883	0.8
31	0.8735356	0.8814918	0.86572176	0.6
32	0.836576	0.8354927	0.83766204	0.4
33	0.867028	0.87150466	0.8625971	0.4
34	0.8695602	0.879151	0.8601764	0.6
35	0.85779667	0.83064187	0.8867869	-0.2
36	0.8866606	0.90280306	0.8710853	1.0
37	0.8294504	0.82532305	0.83361936	-0.2
38	0.87189853	0.86869353	0.8751273	0.6
39	0.83578473	0.83736163	0.8342138	0.4
40	0.8735797	0.8836168	0.86376816	0.0
41	0.86142534	0.8798507	0.8437558	-0.2
42	0.9197669	0.9241607	0.9154147	1.0
43	0.86363834	0.8680823	0.8592396	1.0
44	0.8959945	0.9034297	0.88868064	1.0
45	0.88041383	0.89087504	0.87019545	0.8
46	0.8677592	0.8828507	0.8531751	0.8
47	0.81317496	0.8186363	0.8077859	-0.2
48	0.8783534	0.8691829	0.8877196	0.6
49	0.8767034	0.88391626	0.86960727	0.8
50	0.89320487	0.9105712	0.87648845	0.0
51	0.8782526	0.8789467	0.87755954	0.6
52	0.8637346	0.86074394	0.86674607	0.0
53	0.880988	0.8664279	0.89604574	1.0
54	0.864694	0.89123905	0.8396844	0.6
55	0.86691326	0.8714964	0.8623782	0.0
56	0.86338186	0.84341353	0.88431877	0.6
57	0.8571588	0.8444547	0.8702508	0.4
58	0.83350146	0.8242334	0.8429803	0.8
59	0.8733282	0.8776854	0.869014	1.0
60	0.84818757	0.828421	0.86892045	0.4
61	0.8520497	0.8683019	0.83639455	0.6
62	0.8572429	0.88057953	0.83511126	0.2
63	0.85381895	0.87436044	0.8342204	0.2
64	0.9001885	0.9061115	0.8943426	1.0
65	0.8908086	0.8833136	0.89843184	0.4
66	0.8565124	0.84809697	0.8650967	0.2
67	0.9030259	0.89914703	0.9069384	1.0
68	0.8641803	0.87812126	0.85067505	0.4
69	0.8376442	0.83381	0.8415139	0.4
70	0.8956524	0.8928426	0.89848006	1.0
71	0.85521954	0.8411662	0.86975044	0.0
72	0.82072634	0.82285166	0.818612	0.6
73	0.8437855	0.83562267	0.85210943	0.6
74	0.8725411	0.8900991	0.8556624	0.6
75	0.88066196	0.888388	0.87306917	0.8
76	0.83654433	0.8642701	0.8105421	0.6
77	0.8658184	0.870529	0.86115855	0.2
78	0.8578763	0.859044	0.8567118	0.0
79	0.8462979	0.86424845	0.82907784	0.4
80	0.8755715	0.88742	0.8640351	0.6
81	0.8894969	0.8986091	0.88056767	0.8
82	0.86876994	0.87818	0.8595593	0.8
83	0.86215883	0.8960361	0.83074987	0.4
84	0.8105702	0.8021222	0.8191979	0.2
85	0.8512742	0.8614158	0.8413686	0.6
86	0.8895462	0.8991357	0.8801592	-0.2
87	0.8773625	0.8472286	0.90971905	-0.6
88	0.7991261	0.8056953	0.7926633	-1.0
89	0.90986097	0.89521056	0.92499894	0.0
90	0.8759263	0.87625176	0.87560105	0.2
91	0.8732604	0.8642645	0.8824456	0.4
92	0.8761194	0.89716285	0.85604054	0.4
93	0.83910197	0.8411372	0.83707654	0.0
94	0.87845933	0.880597	0.87633204	-0.2
95	0.8435123	0.85866654	0.8288836	-0.6
96	0.87065053	0.87299275	0.8683208	0.2
97	0.8870053	0.90494835	0.8697601	-0.2
98	0.9125553	0.91131604	0.9137978	0.4
99	0.8797914	0.8827966	0.8768065	0.8
100	0.84736377	0.84840924	0.8463208	0.2
101	0.86526006	0.87147856	0.85912967	0.0
102	0.90061677	0.929464	0.8735062	1.0
103	0.885868	0.9124533	0.8607881	0.5
104	0.88587886	0.8827244	0.88905597	-0.5
105	0.8862771	0.9039737	0.8692601	0.0
106	0.8780904	0.8736207	0.88260597	0.5
107	0.84963256	0.85488117	0.844448	0.0
108	0.8767952	0.88457525	0.86915076	0.5
109	0.8801984	0.89563483	0.86528504	0.0
110	0.8684437	0.8587783	0.8783292	1.0
111	0.83056456	0.82294565	0.83832574	0.0
112	0.8556135	0.8767526	0.83546984	1.0
113	0.8915105	0.9024324	0.8808499	0.0
114	0.8714083	0.88097495	0.8620472	0.0
115	0.8861189	0.87603694	0.89643556	0.5
116	0.89682585	0.9084884	0.88545895	0.5
117	0.8738447	0.8599279	0.88821936	0.0
118	0.86350524	0.8713515	0.8557991	0.0
119	0.87803364	0.90606654	0.85168344	0.0
120	0.8547303	0.8750948	0.8352921	0.0
121	0.83682185	0.8458758	0.8279597	-1.0
122	0.88193405	0.8864524	0.87746155	0.0
123	0.8984239	0.9070333	0.8899764	0.5
124	0.8472899	0.8534873	0.8411819	0.5
125	0.86116576	0.8622277	0.86010647	0.5
126	0.8348329	0.82232565	0.8477266	0.0
127	0.8597991	0.87026006	0.84958667	0.0
128	0.8478153	0.8382985	0.8575506	0.5
129	0.8838285	0.8890544	0.8786638	1.0
130	0.84881	0.874263	0.8247971	0.5
131	0.9013568	0.9026527	0.9000646	0.0
132	0.8581767	0.8832406	0.83449614	-0.5
133	0.82030797	0.80421734	0.8370557	-1.0
134	0.8917668	0.8876225	0.89594996	0.5
135	0.8718868	0.85527396	0.8891578	0.0
136	0.8417196	0.8447072	0.83875316	0.0
137	0.8733619	0.8936738	0.85395277	0.5
138	0.83660847	0.8309984	0.8422949	-0.5
139	0.85368663	0.85638857	0.85100156	0.0
140	0.86992633	0.86093247	0.87911004	0.5
141	0.8565775	0.84303874	0.8705582	1.0
142	0.8329846	0.8360573	0.8299344	-0.5
143	0.89162093	0.90829295	0.87555	1.0
144	0.8663192	0.89673746	0.8378968	1.0
145	0.93298596	0.94936776	0.91716	0.5
146	0.84711856	0.86393404	0.8309451	-0.5
147	0.94532573	0.94109	0.9495997	1.0
148	0.87182057	0.87051463	0.8731304	-0.5
149	0.87419045	0.8803099	0.8681554	0.5
150	0.8801402	0.8841554	0.8761612	0.0
151	0.8647607	0.86913913	0.86042607	0.0
152	0.87027395	0.8744884	0.86609995	0.5
153	0.88094944	0.8854785	0.8764665	1.0
154	0.84543544	0.8941121	0.8017851	0.5
155	0.89075893	0.90111166	0.8806414	0.0
156	0.8636251	0.8787112	0.84904826	0.0
157	0.8642132	0.8700145	0.8584888	-0.5
158	0.8967819	0.88739055	0.9063741	0.0
159	0.85582423	0.84992945	0.8618013	0.0
160	0.87546855	0.85885	0.8927429	0.0
161	0.8224054	0.8177966	0.8270665	0.0
162	0.8821999	0.8837688	0.8806366	0.0
163	0.8613472	0.8583108	0.86440516	0.5
164	0.85271317	0.8468062	0.858703	0.5
165	0.88481116	0.9025512	0.867755	0.0
166	0.90696794	0.92693603	0.8878419	0.5
167	0.85032964	0.85588527	0.8448456	-0.5
168	0.8691746	0.85091853	0.88823116	-0.5
169	0.9013365	0.90392315	0.89876467	0.0
170	0.8637834	0.8605105	0.8670813	-0.5
171	0.8688162	0.87095445	0.8666885	0.0
