candidate_id	similarity score	score
5978	0.000198186	1
5979	0.0001935	2
5980	0.000121519	1
5981	0.000406886	1
5982	0.000666384	2
5983	0.00040523	1
5984	7.31E-05	1
5985	6.93E-05	0
5986	0.000260275	2
5987	0.000247353	3
5988	0.000581652	3
5989	0.000202723	1
5990	0.000312463	3
5991	0.000369858	2
5992	0.000541942	1
5993	0.000237977	2
5994	0.000234297	2
5995	0.000218219	2
5996	0.000229985	1
5997	0.000249046	2
5998	0.000328047	2
5999	0.000153584	1
6000	0.000310024	2
6001	0.00026161	1
6002	0.000190974	2
6003	0.000640409	3
6004	0.000203491	1
6005	0.000295107	3
6006	0.000227924	2
6007	0.000330846	3
6008	0.000224711	1
6010	0.000376827	1
6011	0.000388629	1
6012	0.000151307	0
6013	0.000235518	1
6014	0.00058837	3
6015	0.000369041	2
6016	0.000332347	3
6017	0.000193535	1
6018	0.000383198	2
6019	0.000407006	1
6020	0.000586943	2
6021	0.000209711	2
6022	0.000270995	2
6023	0.000436825	2
6024	0.000243523	1
6025	0.000298784	1
6026	0.000366101	3
6027	0.000760894	3
6028	9.08E-05	2
6029	0.000258917	1
6030	0.000289824	3
6031	0.000716394	3
6032	0.000280081	2
6033	0.000555865	3
6034	0.000333918	2
6035	0.000221915	1
6036	0.000412546	2
6037	0.000283908	2
6038	0.000302609	2
6039	0.000168253	1
6040	0.00048423	1
6041	0.000146513	2
6042	0.000589875	2
6043	0.000265626	1
6044	7.50E-05	2
6045	0.000268306	2
6046	0.00025821	1
6047	9.71E-05	1
6048	0.000135653	1
6049	0.00024654	1
6050	0.000470166	3
6051	0.000255627	1
6052	0.000450083	2
6053	0.000316826	1
6054	0.00041911	1
6055	0.000162614	2
6056	0.000165008	1
6057	0.000428983	3
6058	0.000221083	2
6059	0.000476852	1
6060	0.000199142	1
6061	0.000583926	3
6062	0.000208579	1
6063	0.000267962	2
6064	0.000536405	2
6065	0.000232594	2
6066	0.000204514	1
6067	0.000248672	1
6068	0.000154102	2
6069	0.000168165	2
6070	0.000537238	2
6071	0.000197649	2
6072	0.000192156	2
6073	0.000275205	2
6074	9.03E-05	2
6075	0.000677094	3
6076	0.000198337	2
6077	0.000278548	1
6078	0.00025308	2
6079	0.000572873	3
6080	0.000272731	2
6081	0.000122878	2
6082	0.000306431	1
6083	0.000164127	1
6084	0.000208135	3
6085	0.00072145	3
6086	0.000294618	1
6087	0.000276219	2
6088	0.000102782	2
6089	0.000514302	3
6090	0.000370572	1
6091	0.000245681	3
6092	0.000229688	1
6093	0.000143883	1
6094	0.000172662	1
6095	0.000391664	3
6096	0.000269415	2
6097	0.000398927	1
6098	0.000281007	3
6099	0.000184778	1
6100	0.000722677	2
6102	0.000176467	2
6103	0.000246653	2
6104	0.000313465	1
6105	0.00032965	3
6106	0.000207598	1
6107	0.000124908	2
6108	0.000277077	1
6109	0.00019769	2
6110	0.000457596	2
6111	0.000125127	2
6112	0.00054625	1
6113	0.000395694	3
6114	0.000299562	1
6115	3.01E-05	2
6116	0.000103821	2
6117	0.000410341	1
6118	0.000124223	3
6119	0.000593852	1
6120	0.000356133	2
6121	0.00019768	3
6122	0.000328694	2
6123	0.000621494	3
6124	0.000225385	3
6125	0.000390091	2
6126	0.000213922	1
6127	0.000135583	3
6128	0.000374176	3
6129	0.000749678	2
6130	0.000282877	1
6131	0.000436643	1
6132	0.000166411	3
6133	0.000266977	1
6134	9.54E-05	2
6135	0.000322498	2
6136	0.00030013	1
6137	0.000136565	2
6138	0.000422724	2
6139	0.000261763	2
6140	0.000211349	1
6141	0.000208884	2
6142	0.000289709	2
6143	0.000422645	3
6144	0.000308576	3
6145	0.000520601	3
6146	0.000507108	2
6147	0.000193669	2
6148	0.000243045	2
6149	7.89E-05	2
6150	0.000194993	2
6151	0.000266452	2
6152	0.000320321	2
6153	0.000312109	2
6154	0.000121284	1
6155	0.00043611	1
6156	0.000296429	2
6157	0.000372427	3
6158	0.000468445	3
6159	0.00027557	2
6160	0.000229689	2
6161	0.000368707	2
6162	0.000192012	2
6163	0.00012947	1
6164	6.46E-05	2
6165	0.000210118	3
6166	0.000410975	1
6167	0.000162634	3
6168	0.000386203	2
6169	0.000400963	2
6170	0.000335755	1
6171	0.000163014	3
6172	0.000422217	2
6173	0.000490314	1
6174	8.54E-05	2
6175	0.000264258	1
6176	0.000373408	1
6177	0.000195761	2
6178	0.000698621	3
6179	0.000399228	2
6180	7.55E-05	3
6181	0.000282927	3
6182	0.000372941	3
6183	0.00039496	3
6184	0.000245738	1
6185	0.000207464	2
6186	0.000317731	2
6187	0.00017823	1
6188	0.000102914	0
6189	5.65E-05	1
6190	0.000132838	2
6191	0.00025089	2
