candidate_id	similarity score	score
5978	3.80E-08	1
5979	7.89E-08	2
5980	3.15E-08	1
5981	6.81E-08	1
5982	1.06E-07	2
5983	6.89E-08	1
5984	2.41E-08	1
5985	2.57E-08	0
5986	4.71E-08	2
5987	4.78E-08	3
5988	8.43E-08	3
5989	6.43E-08	1
5990	4.79E-08	3
5991	8.59E-08	2
5992	3.46E-08	1
5993	7.63E-08	2
5994	4.25E-08	2
5995	9.12E-08	2
5996	3.58E-08	1
5997	8.06E-08	2
5998	4.40E-08	2
5999	9.71E-09	1
6000	9.11E-08	2
6001	4.92E-08	1
6002	3.95E-08	2
6003	1.65E-07	3
6004	2.02E-08	1
6005	1.06E-07	3
6006	7.50E-08	2
6007	6.64E-08	3
6008	1.08E-07	1
6010	6.88E-08	1
6011	4.96E-08	1
6012	3.57E-08	0
6013	3.42E-08	1
6014	1.12E-07	3
6015	7.11E-08	2
6016	8.45E-08	3
6017	6.58E-08	1
6018	3.30E-08	2
6019	7.40E-08	1
6020	8.44E-08	2
6021	8.81E-08	2
6022	9.61E-08	2
6023	9.27E-08	2
6024	6.10E-08	1
6025	5.36E-08	1
6026	1.17E-07	3
6027	9.32E-08	3
6028	2.35E-08	2
6029	7.27E-08	1
6030	8.70E-08	3
6031	1.32E-07	3
6032	8.13E-08	2
6033	1.62E-07	3
6034	5.98E-08	2
6035	2.55E-08	1
6036	1.22E-07	2
6037	7.20E-08	2
6038	6.57E-08	2
6039	4.67E-08	1
6040	9.75E-08	1
6041	3.28E-08	2
6042	1.37E-07	2
6043	7.16E-08	1
6044	3.04E-08	2
6045	8.28E-08	2
6046	4.25E-08	1
6047	3.01E-08	1
6048	5.66E-08	1
6049	2.75E-08	1
6050	1.39E-07	3
6051	9.64E-08	1
6052	5.22E-08	2
6053	5.48E-08	1
6054	5.44E-08	1
6055	6.09E-08	2
6056	4.01E-08	1
6057	7.17E-08	3
6058	5.20E-08	2
6059	7.04E-08	1
6060	3.17E-08	1
6061	1.36E-07	3
6062	3.30E-08	1
6063	6.38E-08	2
6064	5.72E-08	2
6065	4.40E-08	2
6066	4.26E-08	1
6067	5.96E-08	1
6068	6.31E-08	2
6069	5.60E-08	2
6070	1.09E-07	2
6071	5.50E-08	2
6072	6.03E-08	2
6073	8.47E-08	2
6074	3.95E-08	2
6075	1.50E-07	3
6076	6.80E-08	2
6077	5.88E-08	1
6078	5.82E-08	2
6079	1.13E-07	3
6080	6.75E-08	2
6081	3.33E-08	2
6082	4.23E-08	1
6083	3.03E-08	1
6084	3.51E-08	3
6085	9.06E-08	3
6086	4.64E-08	1
6087	1.28E-07	2
6088	1.02E-07	2
6089	5.70E-08	3
6090	7.19E-08	1
6091	7.18E-08	3
6092	3.87E-08	1
6093	3.73E-08	1
6094	8.49E-08	1
6095	1.19E-07	3
6096	5.64E-08	2
6097	2.75E-08	1
6098	5.85E-08	3
6099	2.01E-08	1
6100	7.05E-08	2
6101	5.62E-08	2
6102	6.08E-08	2
6103	8.30E-08	2
6104	3.72E-08	1
6105	1.20E-07	3
6106	3.46E-08	1
6107	4.91E-08	2
6108	4.26E-08	1
6109	5.47E-08	2
6110	3.96E-08	2
6111	9.31E-08	2
6112	7.83E-08	1
6113	1.07E-07	3
6114	1.46E-08	1
6115	2.91E-08	2
6116	9.44E-08	2
6117	5.75E-08	1
6118	7.64E-08	3
6119	4.36E-08	1
6120	5.24E-08	2
6121	9.31E-08	3
6122	8.90E-08	2
6123	1.06E-07	3
6124	5.63E-08	3
6125	4.55E-08	2
6126	3.66E-08	1
6127	1.49E-07	3
6128	7.96E-08	3
6129	5.92E-08	2
6130	5.78E-08	1
6131	1.84E-08	1
6132	1.09E-07	3
6133	2.88E-08	1
6134	1.16E-07	2
6135	5.30E-08	2
6136	2.87E-08	1
6137	6.32E-08	2
6138	4.28E-08	2
6139	4.64E-08	2
6140	6.24E-08	1
6141	9.59E-08	2
6142	6.55E-08	2
6143	4.02E-08	3
6144	7.68E-08	3
6145	1.08E-07	3
6146	6.28E-08	2
6147	4.54E-08	2
6148	3.12E-08	2
6149	4.46E-08	2
6150	2.76E-08	2
6151	3.92E-08	2
6152	7.33E-08	2
6153	2.51E-08	2
6154	4.73E-08	1
6155	7.61E-08	1
6156	8.02E-08	2
6157	1.49E-07	3
6158	1.07E-07	3
6159	3.83E-08	2
6160	6.48E-08	2
6161	4.82E-08	2
6162	7.53E-08	2
6163	2.86E-08	1
6164	4.02E-08	2
6165	4.16E-08	3
6166	3.61E-08	1
6167	2.59E-08	3
6168	6.56E-08	2
6169	7.11E-08	2
6170	5.89E-08	1
6171	1.11E-07	3
6172	1.15E-07	2
6173	2.25E-08	1
6174	6.25E-08	2
6175	3.99E-08	1
6176	3.88E-08	1
6177	1.26E-07	2
6178	7.69E-08	3
6179	1.38E-08	2
6180	7.43E-08	3
6181	9.54E-08	3
6182	7.49E-08	3
6183	6.78E-08	3
6184	4.89E-08	1
6185	8.27E-08	2
6186	4.09E-08	2
6187	2.74E-08	1
6188	1.78E-08	0
6189	3.87E-08	1
6190	1.50E-07	2
6191	1.07E-07	2
6192	8.64E-08	3
6193	6.28E-08	1
6194	8.95E-08	3
6195	7.20E-08	3
6196	2.48E-08	1
6197	8.77E-08	2
6198	5.36E-08	3
6199	4.59E-08	2
6200	7.92E-08	0
6201	5.86E-08	2
6202	4.49E-08	1
6203	7.74E-08	3
6204	1.31E-07	1
6205	1.70E-08	2
6206	2.89E-08	0
6207	2.15E-08	0
6208	7.13E-08	3
6209	4.24E-08	2
6210	1.07E-07	2
6211	4.42E-08	1
6212	3.76E-08	2
6213	4.90E-08	1
6214	3.28E-08	1
6215	4.40E-08	1
6216	6.25E-08	2
6217	3.53E-08	1
6218	4.04E-08	2
6219	4.76E-08	2
6220	1.07E-07	2
6221	7.33E-08	2
6222	3.99E-08	2
6223	7.50E-08	3
6224	4.26E-08	2
6225	8.70E-08	3
6226	8.13E-08	3
6227	3.19E-08	1
6228	1.05E-07	3
6229	3.54E-08	1
6230	2.65E-08	1
6231	7.27E-08	2
6232	5.17E-08	1
6233	1.28E-08	2
6234	4.82E-08	1
6235	1.61E-08	1
6236	1.05E-07	2
6237	9.55E-08	2
6238	1.25E-08	0
6239	3.59E-08	2
6240	3.98E-08	3
6241	4.40E-08	1
6242	1.55E-08	1
6243	9.26E-08	2
6244	4.47E-08	1
6245	5.66E-08	3
6246	9.31E-08	1
6247	6.13E-08	3
6248	6.58E-08	1
6249	9.63E-08	3
6250	8.04E-08	3
6251	4.92E-08	1
6252	3.99E-08	1
6253	1.30E-07	3
6254	1.28E-07	3
6255	5.58E-08	1
6256	2.41E-08	1
6257	3.66E-08	1
6258	2.59E-08	1
6259	4.56E-08	3
6260	5.56E-08	2
6261	4.17E-08	1
6262	8.69E-08	3
6263	9.04E-08	3
6264	4.94E-08	3
6265	7.90E-08	2
6266	3.09E-08	1
6267	1.36E-07	3
6268	1.41E-07	3
6269	2.06E-08	1
6270	6.84E-08	3
6271	2.94E-08	2
6272	8.27E-08	2
6273	9.84E-08	1
6274	4.87E-08	1
6275	1.86E-08	1
6276	6.56E-08	3
6277	2.69E-08	1
