candidate_id	similarity score	score
5978	0.072689441	1
5979	0.080167751	2
5980	0.061616804	1
5981	0.087661307	1
5982	0.119555559	2
5983	0.092837336	1
5984	0.041134545	1
5985	0.054600618	0
5986	0.067757676	2
5987	0.089190096	3
5988	0.105043746	3
5989	0.073443529	1
5990	0.085862854	3
5991	0.102015337	2
5992	0.116344565	1
5993	0.078975989	2
5994	0.075969373	2
5995	0.076511395	2
5996	0.076480335	1
5997	0.080921129	2
5998	0.085845783	2
5999	0.070387593	1
6000	0.084263991	2
6001	0.077874543	1
6002	0.074859583	2
6003	0.116155818	3
6004	0.074738315	1
6005	0.077305851	3
6006	0.073864594	2
6007	0.086095518	3
6008	0.076165422	1
6010	0.090385019	1
6011	0.045061506	1
6012	0.057391551	0
6013	0.089663037	1
6014	0.102391054	3
6015	0.095703912	2
6016	0.081919755	3
6017	0.065833852	1
6018	0.092942621	2
6019	0.083901704	1
6020	0.103671193	2
6021	0.074311278	2
6022	0.082919731	2
6023	0.09311276	2
6024	0.082314216	1
6025	0.097089056	1
6026	0.085732081	3
6027	0.113715851	3
6028	0.060012416	2
6029	0.078831568	1
6030	0.089323376	3
6031	0.107309534	3
6032	0.087224563	2
6033	0.097837215	3
6034	0.088802141	2
6035	0.071782025	1
6036	0.095477647	2
6037	0.074655449	2
6038	0.083739371	2
6039	0.067396615	1
6040	0.09980378	1
6041	0.061733396	2
6042	0.101485784	2
6043	0.08137544	1
6044	0.034309621	2
6045	0.092811974	2
6046	0.087278462	1
6047	0.046101599	1
6048	0.062615083	1
6049	0.079706327	1
6050	0.097128184	3
6051	0.080028401	1
6052	0.122322154	2
6053	0.088840407	1
6054	0.086165502	1
6055	0.061736252	2
6056	0.074430681	1
6057	0.090873351	3
6058	0.067434789	2
6059	0.102238763	1
6060	0.081630988	1
6061	0.114297503	3
6062	0.072067336	1
6063	0.080342504	2
6064	0.094165477	2
6065	0.071146649	2
6066	0.071869412	1
6067	0.080508559	1
6068	0.071274816	2
6069	0.071132385	2
6070	0.10231882	2
6071	0.066501802	2
6072	0.063995188	2
6073	0.075421499	2
6074	0.040727502	2
6075	0.122500417	3
6076	0.082445554	2
6077	0.081732664	1
6078	0.068656013	2
6079	0.110287892	3
6080	0.078567604	2
6081	0.070023169	2
6082	0.086122823	1
6083	0.066467342	1
6084	0.077297999	3
6085	0.122191861	3
6086	0.092021689	1
6087	0.077425857	2
6088	0.050251385	2
6089	0.097441286	3
6090	0.094201607	1
6091	0.090177112	3
6092	0.071517808	1
6093	0.071385443	1
6094	0.072720677	1
6095	0.100478332	3
6096	0.092854181	2
6097	0.107989388	1
6098	0.068792665	3
6099	0.074722565	1
6100	0.120995071	2
6101	0.064262632	2
6102	0.0734228	2
6103	0.083755744	2
6104	0.069353077	1
6105	0.065110315	3
6106	0.057704612	1
6107	0.097409765	2
6108	0.090008624	1
6109	0.10509119	2
6110	0.069671161	2
6111	0.095280376	2
6112	0.084962166	1
6113	0.088829796	3
6114	0.027573077	1
6115	0.068337724	2
6116	0.089841115	2
6117	0.05948431	1
6118	0.115122591	3
6119	0.090792292	1
6120	0.070109601	2
6121	0.09553988	3
6122	0.109045706	2
6123	0.077902639	3
6124	0.09152568	3
6125	0.08944843	2
6126	0.060356995	1
6127	0.088698247	3
6128	0.122023095	3
6129	0.081997799	2
6130	0.091927397	1
6131	0.06642034	1
6132	0.064683242	3
6133	0.05462692	1
6134	0.075339797	2
6135	0.084073191	2
6136	0.058754682	1
6137	0.092175549	2
6138	0.091136343	2
6139	0.072054399	2
6140	0.069716009	1
6141	0.079997687	2
6142	0.096670038	2
6143	0.09058185	3
6144	0.108307906	3
6145	0.108016657	3
6146	0.078360664	2
6147	0.081121291	2
6148	0.043232361	2
6149	0.069103764	2
6150	0.083999279	2
6151	0.093833611	2
6152	0.08686135	2
6153	0.044728363	2
6154	0.071316564	1
6155	0.0842833	1
6156	0.089028016	2
6157	0.097435594	3
6158	0.084178451	3
6159	0.071978954	2
6160	0.092503579	2
6161	0.092227713	2
6162	0.067472663	2
6163	0.052872671	1
6164	0.078736598	2
6165	0.099384988	3
6166	0.069799948	1
6167	0.093537141	3
6168	0.087138926	2
6169	0.089941673	2
6170	0.062541125	1
6171	0.106782536	3
6172	0.10590682	2
6173	0.057893016	1
6174	0.087659781	2
6175	0.097319883	1
6176	0.065258625	1
6177	0.113266115	2
6178	0.091560164	3
6179	0.043460714	2
6180	0.077234113	3
6181	0.090926448	3
6182	0.089998689	3
6183	0.090741112	3
6184	0.068282366	1
6185	0.084212235	2
6186	0.074986553	2
6187	0.056883728	1
6188	0.042341169	0
6189	0.069459595	1
6190	0.08569358	2
6191	0.099577223	2
6192	0.101011274	3
6193	0.064904598	1
6194	0.079241835	3
6195	0.072672459	3
6196	0.067040227	1
6197	0.084208681	2
6198	0.081313418	3
6199	0.065543834	2
6200	0.07948856	0
6201	0.062340166	2
6202	0.083955331	1
6203	0.075156983	3
6204	0.100789953	1
6205	0.077115434	2
6206	0.057849802	0
6207	0.074732097	0
6208	0.095142881	3
6209	0.064607135	2
6210	0.095525508	2
6211	0.093922939	1
6212	0.09961258	2
6213	0.073979487	1
6214	0.083839315	1
6215	0.062170557	1
6216	0.094776292	2
6217	0.07245589	1
6218	0.075847429	2
6219	0.081709596	2
6220	0.080156761	2
6221	0.083100563	2
6222	0.067244617	2
6223	0.090845471	3
6224	0.090960793	2
6225	0.087527064	3
6226	0.082103025	3
6227	0.078528577	1
6228	0.092023685	3
6229	0.08403834	1
6230	0.069711986	1
6231	0.096806624	2
6232	0.10513605	1
6233	0.05847241	2
6234	0.077399409	1
6235	0.065817467	1
6236	0.085419917	2
6237	0.087331457	2
6238	0.044899507	0
6239	0.08456931	2
6240	0.064165522	3
6241	0.066005649	1
6242	0.078679045	1
6243	0.083020915	2
6244	0.068751395	1
6245	0.074329919	3
6246	0.087697597	1
6247	0.090962615	3
6248	0.083913667	1
6249	0.082729726	3
6250	0.070377995	3
6251	0.099158814	1
6252	0.06826866	1
6253	0.104385223	3
6254	0.104639632	3
6255	0.091712093	1
6256	0.047651673	1
6257	0.061182866	1
6258	0.068881684	1
6259	0.06776989	3
6260	0.059754297	2
6261	0.072264152	1
6262	0.081346905	3
6263	0.100080997	3
6264	0.070108999	3
6265	0.085681404	2
6266	0.053945759	1
6267	0.079646717	3
6268	0.11847116	3
6269	0.068761411	1
6270	0.083510326	3
6271	0.067210669	2
6272	0.09073406	2
6273	0.083773738	1
6274	0.067081526	1
6275	0.090567295	1
6276	0.080619504	3
6277	0.063412316	1
