LP	SYSTEM	BLEU P	HUMAN
cs-en	CUNI-Transformer.5560	0.45138708475148265	0.298
cs-en	online-A.0	0.3992984873174172	-0.023
cs-en	online-B.0	0.44436222954329613	0.115
cs-en	online-G.0	0.37577267021011335	-0.183
cs-en	uedin.5561	0.43475705298866957	0.165
de-en	JHU.5706	0.5685156439637173	0.317
de-en	LMU-nmt.5756	0.53204626631723	0.162
de-en	LMU-unsup.5650	0.31063198524159347	-0.835
de-en	MLLP-UPV.5554	0.5690742091992078	0.321
de-en	NJUNMT-private.5406	0.5095995977031369	0.149
de-en	NTT.5666	0.5781518799923613	0.359
de-en	online-A.0	0.5360848173768534	0.268
de-en	online-B.0	0.5583469304805272	0.34600000000000003
de-en	online-F.0	0.40370165265013785	-0.29600000000000004
de-en	online-G.0	0.4847286508699261	-0.07400000000000001
de-en	online-Y.0	0.5432172305703746	0.31
de-en	RWTH-UNSUPER.5482	0.3268915105199742	-0.752
de-en	RWTH.5636	0.5917528556242116	0.413
de-en	Ubiqus-NMT.5635	0.5552906293380002	0.315
de-en	UCAM.5690	0.5844255426753397	0.395
de-en	uedin.5766	0.5558360712751977	0.261
et-en	CUNI-Kocmi.5618	0.37449327853386905	0.006999999999999999
et-en	HY-NMT-et-en.5463	0.40372427613438655	0.106
et-en	M4t1ss.5692	0.4195665122259387	0.187
et-en	neurotolge.ee.5398	0.34674272418026303	-0.11699999999999999
et-en	NICT.5664	0.4459795180153353	0.23800000000000002
et-en	online-A.0	0.3749672503066008	0.063
et-en	online-B.0	0.3950633975266332	0.11699999999999999
et-en	online-G.0	0.32137250920440186	-0.341
et-en	talp-upc.5421	0.38235184500050956	0.106
et-en	tilde-c-nmt-comb.5718	0.4323906626961647	0.171
et-en	tilde-c-nmt.5715	0.43484877481283907	0.215
et-en	tilde-nc-nmt.5485	0.4489454265197249	0.326
et-en	uedin.5562	0.42922864806677097	0.18600000000000003
et-en	UnsupTartu.5722	0.13212970813581434	-0.95
fi-en	CUNI-Kocmi.5619	0.34726606230574253	0.083
fi-en	HY-NMT-fi-en.5569	0.3626418528205292	0.128
fi-en	JUCBNMT.5559	0.25093623452240416	-0.40399999999999997
fi-en	NICT.5515	0.37239745266376023	0.153
fi-en	online-A.0	0.33276763564598266	0.045
fi-en	online-B.0	0.34285237818202424	0.078
fi-en	online-G.0	0.3088702336668469	-0.134
fi-en	talp-upc.5423	0.3374747667904112	0.047
fi-en	uedin.5631	0.3607522749854472	0.10300000000000001
ru-en	afrl-ruen-syscomb.5440	0.4348467334546886	-0.013999999999999999
ru-en	Alibaba.5720	0.4815236359637908	0.215
ru-en	JHU.5675	0.4160965748753449	-0.027000000000000003
ru-en	online-A.0	0.43407451701465083	0.034
ru-en	online-B.0	0.4561540940513836	0.192
ru-en	online-F.0	0.3005113995878194	-0.39799999999999996
ru-en	online-G.0	0.4665296199231204	0.17
ru-en	uedin.5739	0.4561352118360834	0.11
tr-en	NICT.5708	0.4012278311871739	-0.055
tr-en	online-A.0	0.40789034499891597	0.04
tr-en	online-B.0	0.39620099350421256	-0.004
tr-en	online-G.0	0.40899398179132684	0.045
tr-en	uedin.5709	0.4051257888620338	-0.053
zh-en	Li-Muze.5736	0.4099045866845989	0.091
zh-en	NICT.5539	0.40372734565402596	0.08900000000000001
zh-en	NiuTrans.5740	0.41639888074107356	0.14
zh-en	online-A.0	0.3678348833846573	-0.061
zh-en	online-B.0	0.4187635174907842	0.111
zh-en	online-F.0	0.24880516758462962	-0.377
zh-en	online-G.0	0.3076553622203984	-0.327
zh-en	online-Y.0	0.38250540542185535	-0.005
zh-en	Tencent-ensemble-system.5742	0.42670900557285785	0.099
zh-en	UCAM.5586	0.4127127825602676	0.109
zh-en	uedin.5652	0.3763280349591128	-0.017
zh-en	UMD.5681	0.38762544161144424	0.078
zh-en	Unisound.5668	0.41817381144637483	0.094
zh-en	Unisound.5712	0.42264855072339186	0.10800000000000001
