LP	SYSTEM	BERTScore RoBERTa MNLI (idf) P	BERTScore RoBERTa MNLI (idf) R	BERTScore RoBERTa MNLI (idf) F1	HUMAN
cs-en	CUNI-Transformer.5560	0.671911358833313	0.6553195714950562	0.663700520992279	0.298
cs-en	online-A.0	0.5413534641265869	0.5672414898872375	0.5540814399719238	-0.023
cs-en	online-G.0	0.5049287676811218	0.5335612893104553	0.519359827041626	-0.183
cs-en	uedin.5561	0.6354948282241821	0.6170267462730408	0.62627112865448	0.165
cs-en	online-B.0	0.6371897459030151	0.612026035785675	0.624764621257782	0.115
de-en	RWTH.5636	0.7744603753089905	0.7573660612106323	0.7660501599311829	0.413
de-en	online-A.0	0.7163190245628357	0.7033135890960693	0.710016131401062	0.268
de-en	JHU.5706	0.7402159571647644	0.7283317446708679	0.7344732284545898	0.317
de-en	LMU-nmt.5756	0.7023085355758667	0.6842623949050903	0.6934941411018372	0.162
de-en	NTT.5666	0.7579421997070312	0.7450418472290039	0.7516674399375916	0.359
de-en	Ubiqus-NMT.5635	0.741671621799469	0.7188057899475098	0.7304180264472961	0.315
de-en	uedin.5766	0.7295615077018738	0.715531051158905	0.7227667570114136	0.261
de-en	online-B.0	0.7547580599784851	0.732952356338501	0.7440390586853027	0.34600000000000003
de-en	RWTH-UNSUPER.5482	0.31996047496795654	0.41150662302970886	0.36522457003593445	-0.752
de-en	online-G.0	0.6178490519523621	0.6128543019294739	0.6157134771347046	-0.07400000000000001
de-en	online-F.0	0.5094202160835266	0.5467182993888855	0.5284812450408936	-0.29600000000000004
de-en	NJUNMT-private.5406	0.6873039603233337	0.6715871095657349	0.6796199083328247	0.149
de-en	LMU-unsup.5650	0.3252979815006256	0.3499850332736969	0.3381604552268982	-0.835
de-en	online-Y.0	0.721217155456543	0.7147877812385559	0.7181843519210815	0.31
de-en	UCAM.5690	0.7666304111480713	0.7535508871078491	0.760256826877594	0.395
de-en	MLLP-UPV.5554	0.737736701965332	0.7287346124649048	0.7334399819374084	0.321
fi-en	uedin.5631	0.5688965320587158	0.5583529472351074	0.5638274550437927	0.10300000000000001
fi-en	talp-upc.5423	0.5322849750518799	0.5154463052749634	0.5240722894668579	0.047
fi-en	JUCBNMT.5559	0.1067495048046112	0.31920260190963745	0.20972014963626862	-0.40399999999999997
fi-en	HY-NMT-fi-en.5569	0.582904577255249	0.5585189461708069	0.570917010307312	0.128
fi-en	online-B.0	0.5466939806938171	0.5311276316642761	0.5391987562179565	0.078
fi-en	NICT.5515	0.5831682682037354	0.5707632899284363	0.5771121978759766	0.153
fi-en	online-A.0	0.5118796229362488	0.5120838284492493	0.5122003555297852	0.045
fi-en	online-G.0	0.4174700975418091	0.44677430391311646	0.43234729766845703	-0.134
fi-en	CUNI-Kocmi.5619	0.5471853613853455	0.5385475158691406	0.5430869460105896	0.083
ru-en	Alibaba.5720	0.687455415725708	0.6704277992248535	0.6791539192199707	0.215
ru-en	uedin.5739	0.655897319316864	0.6401670575141907	0.6482632160186768	0.11
ru-en	online-B.0	0.6720472574234009	0.6631492376327515	0.6678876876831055	0.192
ru-en	afrl-ruen-syscomb.5440	0.629234790802002	0.6006738543510437	0.6150747537612915	-0.013999999999999999
ru-en	online-G.0	0.6642451882362366	0.6499318480491638	0.6573764085769653	0.17
ru-en	online-F.0	0.4029747247695923	0.46150296926498413	0.4325750470161438	-0.39799999999999996
ru-en	JHU.5675	0.587384045124054	0.5779258608818054	0.582194983959198	-0.027000000000000003
ru-en	online-A.0	0.6182481050491333	0.619748592376709	0.618482768535614	0.034
et-en	CUNI-Kocmi.5618	0.5518515706062317	0.5493906140327454	0.5509940385818481	0.006999999999999999
et-en	NICT.5664	0.6339606046676636	0.6315869688987732	0.6330767273902893	0.23800000000000002
et-en	online-A.0	0.5406937599182129	0.5449191331863403	0.5431730151176453	0.063
et-en	tilde-c-nmt-comb.5718	0.6073663234710693	0.6086490154266357	0.6083164811134338	0.171
et-en	online-G.0	0.32450753450393677	0.42767825722694397	0.37558290362358093	-0.341
et-en	tilde-c-nmt.5715	0.6159209609031677	0.627756655216217	0.6221588850021362	0.215
et-en	talp-upc.5421	0.5679121017456055	0.5578566193580627	0.5632185935974121	0.106
et-en	uedin.5562	0.6174911260604858	0.612599790096283	0.6153416633605957	0.18600000000000003
et-en	online-B.0	0.5922199487686157	0.5835646390914917	0.5882940292358398	0.11699999999999999
et-en	neurotolge.ee.5398	0.49880775809288025	0.48840638995170593	0.49395468831062317	-0.11699999999999999
et-en	M4t1ss.5692	0.5957837104797363	0.6042268872261047	0.6003186702728271	0.187
et-en	UnsupTartu.5722	-0.02155408263206482	-0.009059782139956951	-0.01432274840772152	-0.95
et-en	HY-NMT-et-en.5463	0.5871665477752686	0.5766240358352661	0.582172691822052	0.106
et-en	tilde-nc-nmt.5485	0.655998170375824	0.6596159338951111	0.6580886244773865	0.326
zh-en	Unisound.5712	0.6014416813850403	0.5845581889152527	0.5931897759437561	0.10800000000000001
zh-en	online-Y.0	0.5626205205917358	0.5442129969596863	0.553068220615387	-0.005
zh-en	Unisound.5668	0.5980870127677917	0.5815001130104065	0.5900211930274963	0.094
zh-en	online-F.0	0.3377460837364197	0.3716627359390259	0.35528409481048584	-0.377
zh-en	UCAM.5586	0.5952821969985962	0.5826998353004456	0.5892286896705627	0.109
zh-en	NICT.5539	0.5921289920806885	0.554770827293396	0.573546290397644	0.08900000000000001
zh-en	uedin.5652	0.5792841911315918	0.5269898772239685	0.5531208515167236	-0.017
zh-en	online-A.0	0.5344196557998657	0.5135314464569092	0.5242723226547241	-0.061
zh-en	Li-Muze.5736	0.6048140525817871	0.5790063738822937	0.5920969247817993	0.091
zh-en	online-B.0	0.6032788753509521	0.5888283252716064	0.5963040590286255	0.111
zh-en	online-G.0	0.380075603723526	0.39915481209754944	0.39002296328544617	-0.327
zh-en	UMD.5681	0.5705527067184448	0.5461646318435669	0.5579577684402466	0.078
zh-en	Tencent-ensemble-system.5742	0.6028332710266113	0.5874938368797302	0.5953569412231445	0.099
zh-en	NiuTrans.5740	0.6046638488769531	0.5812521576881409	0.5931245684623718	0.14
tr-en	online-A.0	0.5827997326850891	0.5685117244720459	0.5760217905044556	0.04
tr-en	online-B.0	0.5822018384933472	0.5664147734642029	0.5746535062789917	-0.004
tr-en	uedin.5709	0.5672062039375305	0.5621082186698914	0.5649972558021545	-0.053
tr-en	online-G.0	0.581828773021698	0.5600835680961609	0.5711928606033325	0.045
tr-en	NICT.5708	0.564562976360321	0.5505198240280151	0.557842493057251	-0.055
