metric	correlation	cs-en	de-en	et-en	fi-en	ru-en	tr-en	zh-en
BLEU P	Spearman	0.9	0.973529412	0.97469806	1	0.952380952	0.7	0.89010989
BLEU P	Pearson	0.955957741	0.99256717	0.986984388	0.986351569	0.982251023	0.4953444	0.973139536
BLEU P	Kendall	0.8	0.916666667	0.906091177	1	0.857142857	0.6	0.78021978
ROUGE-1	Spearman	0.9	0.970588235	0.97469806	1	0.952380952	0.7	0.934065934
ROUGE-1	Pearson	0.96162483	0.991620744	0.982937044	0.995898138	0.975321634	0.605523445	0.9793392
ROUGE-1	Kendall	0.8	0.9	0.906091177	1	0.857142857	0.6	0.846153846
ROUGE-2	Spearman	0.9	0.961764706	0.97469806	1	0.904761905	0.6	0.907692308
ROUGE-2	Pearson	0.962191725	0.981540365	0.989579841	0.981073324	0.973593044	0.789633564	0.983798261
ROUGE-2	Kendall	0.8	0.883333333	0.906091177	1	0.785714286	0.4	0.78021978
ROUGE-L	Spearman	0.9	0.958823529	0.970297617	1	0.904761905	0	0.934065934
ROUGE-L	Pearson	0.964466667	0.987765887	0.98964889	0.993068992	0.975088514	0.153006115	0.985268499
ROUGE-L	Kendall	0.8	0.866666667	0.883991392	1	0.785714286	0	0.846153846
BERTScore RoBERTa MNLI (idf) P	Spearman	0.9	0.976470588	0.972497838	1	0.976190476	0.7	0.863736264
BERTScore RoBERTa MNLI (idf) P	Pearson	0.972445231	0.996772587	0.992188677	0.987760057	0.982226826	0.915169744	0.983254194
BERTScore RoBERTa MNLI (idf) P	Kendall	0.8	0.9	0.906091177	1	0.928571429	0.6	0.736263736
BERTScore RoBERTa MNLI (idf) R	Spearman	1	0.991176471	0.981298724	1	1	0.4	0.916483516
BERTScore RoBERTa MNLI (idf) R	Pearson	0.996528804	0.997470238	0.984337571	0.996888213	0.994792756	0.568682102	0.988922145
BERTScore RoBERTa MNLI (idf) R	Kendall	1	0.966666667	0.928190962	1	1	0.4	0.824175824
BERTScore RoBERTa MNLI (idf) F1	Spearman	1	0.988235294	0.981298724	1	1	0.7	0.907692308
BERTScore RoBERTa MNLI (idf) F1	Pearson	0.985619941	0.998652247	0.991568968	0.993300783	0.990829245	0.81243178	0.989380573
BERTScore RoBERTa MNLI (idf) F1	Kendall	1	0.95	0.928190962	1	1	0.6	0.78021978
BERT_WMS	Spearman	0.9	0.944117647	0.893289869	0.933333333	0.904761905	0.7	0.898901099
BERT_WMS	Pearson	0.938020439	0.90278131	0.894092815	0.926341464	0.95035586	0.76894562	0.846702833
BERT_WMS	Kendall	0.8	0.85	0.773492468	0.833333333	0.785714286	0.6	0.78021978
BERT_SMS	Spearman	0.9	0.955882353	0.939494518	1	0.904761905	0.3	0.894505495
BERT_SMS	Pearson	0.963712665	0.935698926	0.940747602	0.951706338	0.979437578	0.578405558	0.955490816
BERT_SMS	Kendall	0.8	0.866666667	0.861891607	1	0.785714286	0.2	0.758241758
BERT_S+WMS	Spearman	0.9	0.944117647	0.906491198	0.933333333	0.904761905	0.7	0.89010989
BERT_S+WMS	Pearson	0.944521519	0.910937601	0.905092645	0.940328487	0.960190126	0.762734372	0.876748224
BERT_S+WMS	Kendall	0.8	0.85	0.817692038	0.833333333	0.785714286	0.6	0.758241758
ELMO_S+WMS	Spearman	0.9	0.944117647	0.91089164	0.933333333	0.904761905	0.4	0.876923077
ELMO_S+WMS	Pearson	0.949696283	0.904438558	0.912158686	0.949347573	0.972235076	0.588082741	0.892800602
ELMO_S+WMS	Kendall	0.8	0.85	0.839791823	0.833333333	0.785714286	0.4	0.714285714
ELMO_SMS	Spearman	0.9	0.941176471	0.970297617	1	1	0.6	0.903296703
ELMO_SMS	Pearson	0.965698542	0.932904874	0.957749803	0.975651983	0.989044952	0.400113299	0.976149579
ELMO_SMS	Kendall	0.8	0.833333333	0.906091177	1	1	0.4	0.78021978
ELMO_WMS	Spearman	0.9	0.926470588	0.873487877	0.866666667	0.880952381	0.4	0.854945055
ELMO_WMS	Pearson	0.949340346	0.8986404	0.899712549	0.935751428	0.960756496	0.654983789	0.845892704
ELMO_WMS	Kendall	0.8	0.833333333	0.773492468	0.722222222	0.714285714	0.4	0.67032967
GLOVE_S+WMS	Spearman	0.9	0.976470588	0.968097395	0.983333333	0.976190476	0.8	0.894505495
GLOVE_S+WMS	Pearson	0.929983183	0.981250299	0.982700102	0.991249685	0.991687089	0.866017781	0.97796707
GLOVE_S+WMS	Kendall	0.8	0.916666667	0.883991392	0.944444444	0.928571429	0.6	0.802197802
GLOVE_SMS	Spearman	0.9	0.979411765	0.979098502	0.983333333	0.976190476	0.1	0.894505495
GLOVE_SMS	Pearson	0.945544929	0.985580901	0.98474149	0.986977443	0.993832165	0.205217833	0.984748585
GLOVE_SMS	Kendall	0.8	0.933333333	0.928190962	0.944444444	0.928571429	0	0.78021978
GLOVE_WMS	Spearman	0.7	0.976470588	0.968097395	0.983333333	0.976190476	0.6	0.912087912
GLOVE_WMS	Pearson	0.911882736	0.97499938	0.976148796	0.990307551	0.991687819	0.870613232	0.973357211
GLOVE_WMS	Kendall	0.6	0.916666667	0.883991392	0.944444444	0.928571429	0.4	0.824175824
