metric	correlation	cs-en	de-en	et-en	fi-en	ru-en	tr-en	zh-en
BLEU P	Spearman	0.8999999999999998	0.9735294117647059	0.9746980595574354	1.0	0.9523809523809524	0.7	0.8901098901098902
BLEU P	Pearson	0.9559577409671646	0.9925671701280542	0.9869843880443752	0.9863515685013531	0.9822510231156384	0.49534439994883817	0.9731395361499741
BLEU P	Kendall	0.7999999999999999	0.9166666666666666	0.9060911769801211	1.0	0.8571428571428571	0.6	0.7802197802197802
ROUGE-1	Spearman	0.8999999999999998	0.9705882352941176	0.9746980595574354	1.0	0.9523809523809524	0.7	0.9340659340659341
ROUGE-1	Pearson	0.9616248299844116	0.9916207441865611	0.982937043659092	0.9958981382471709	0.9753216344808029	0.6055234445394777	0.9793391997163913
ROUGE-1	Kendall	0.7999999999999999	0.9	0.9060911769801211	1.0	0.8571428571428571	0.6	0.8461538461538461
ROUGE-2	Spearman	0.8999999999999998	0.961764705882353	0.9746980595574354	1.0	0.9047619047619048	-0.6	0.9076923076923077
ROUGE-2	Pearson	0.9621917251818711	0.9815403648905583	0.9895798407753655	0.9810733238111389	0.9735930437395687	-0.7896335643709513	0.983798260741371
ROUGE-2	Kendall	0.7999999999999999	0.8833333333333333	0.9060911769801211	1.0	0.7857142857142856	-0.39999999999999997	0.7802197802197802
ROUGE-L	Spearman	0.8999999999999998	0.9588235294117649	0.9702976168506299	1.0	0.9047619047619048	0.0	0.9340659340659341
ROUGE-L	Pearson	0.9644666668041016	0.9877658867416004	0.9896488902574606	0.9930689917504968	0.9750885138936687	-0.1530061154361582	0.9852684988240933
ROUGE-L	Kendall	0.7999999999999999	0.8666666666666667	0.8839913921757279	1.0	0.7857142857142856	0.0	0.8461538461538461
BERTScore RoBERTa MNLI (idf) P	Spearman	0.8999999999999998	0.976470588235294	0.9724978382040325	1.0	0.9761904761904763	0.7	0.8637362637362638
BERTScore RoBERTa MNLI (idf) P	Pearson	0.972445231325584	0.9967725874936029	0.9921886765299909	0.9877600569601553	0.9822268259931579	0.9151697439057763	0.9832541936923815
BERTScore RoBERTa MNLI (idf) P	Kendall	0.7999999999999999	0.9	0.9060911769801211	1.0	0.9285714285714285	0.6	0.7362637362637363
BERTScore RoBERTa MNLI (idf) R	Spearman	0.9999999999999999	0.9911764705882352	0.9812987236176437	1.0	1.0	0.39999999999999997	0.9164835164835166
BERTScore RoBERTa MNLI (idf) R	Pearson	0.9965288040887311	0.9974702378169488	0.9843375706927617	0.996888213205998	0.9947927556449485	0.5686821022479825	0.9889221445707667
BERTScore RoBERTa MNLI (idf) R	Kendall	0.9999999999999999	0.9666666666666667	0.9281909617845142	1.0	0.9999999999999998	0.39999999999999997	0.8241758241758242
BERTScore RoBERTa MNLI (idf) F1	Spearman	0.9999999999999999	0.988235294117647	0.9812987236176437	1.0	1.0	0.7	0.9076923076923077
BERTScore RoBERTa MNLI (idf) F1	Pearson	0.9856199412577933	0.9986522468957545	0.9915689680926704	0.9933007833465468	0.9908292447913818	0.8124317798447831	0.9893805733785663
BERTScore RoBERTa MNLI (idf) F1	Kendall	0.9999999999999999	0.9500000000000001	0.9281909617845142	1.0	0.9999999999999998	0.6	0.7802197802197802
BERT_WMS	Spearman	0.8999999999999998	0.9441176470588234	0.8932898694815322	0.9333333333333332	0.9047619047619048	0.7	0.8989010989010989
BERT_WMS	Pearson	0.9380204388390407	0.9027813103355955	0.8940928150329931	0.9263414635456695	0.9503558598335137	0.7689456199899831	0.8467028327857181
BERT_WMS	Kendall	0.7999999999999999	0.8499999999999999	0.7734924681537618	0.8333333333333334	0.7857142857142856	0.6	0.7802197802197802
BERT_SMS	Spearman	0.8999999999999998	0.9558823529411766	0.9394945179029908	1.0	0.9047619047619048	0.3	0.8945054945054945
BERT_SMS	Pearson	0.9637126652964361	0.9356989258917703	0.9407476022158848	0.9517063381838495	0.9794375776180864	0.5784055580252683	0.9554908156894741
BERT_SMS	Kendall	0.7999999999999999	0.8666666666666667	0.8618916073713346	1.0	0.7857142857142856	0.19999999999999998	0.7582417582417583
BERT_S+WMS	Spearman	0.8999999999999998	0.9441176470588234	0.906491197601949	0.9333333333333332	0.9047619047619048	0.7	0.8901098901098902
BERT_S+WMS	Pearson	0.9445215187392357	0.9109376012072323	0.9050926449121229	0.940328486791485	0.9601901260728128	0.7627343717880253	0.8767482244555381
BERT_S+WMS	Kendall	0.7999999999999999	0.8499999999999999	0.8176920377625482	0.8333333333333334	0.7857142857142856	0.6	0.7582417582417583
ELMO_S+WMS	Spearman	0.8999999999999998	0.9441176470588234	0.9108916403087545	0.9333333333333332	0.9047619047619048	0.39999999999999997	0.8769230769230769
ELMO_S+WMS	Pearson	0.9496962825171165	0.9044385581642396	0.912158686379176	0.9493475729736327	0.9722350757059922	0.588082740533469	0.892800602330242
ELMO_S+WMS	Kendall	0.7999999999999999	0.8499999999999999	0.8397918225669414	0.8333333333333334	0.7857142857142856	0.39999999999999997	0.7142857142857144
ELMO_SMS	Spearman	0.8999999999999998	0.9411764705882352	0.9702976168506299	1.0	1.0	-0.6	0.9032967032967033
ELMO_SMS	Pearson	0.9656985424099475	0.9329048735695045	0.9577498026969151	0.9756519828947721	0.9890449523342119	-0.40011329941234863	0.976149579442627
ELMO_SMS	Kendall	0.7999999999999999	0.8333333333333333	0.9060911769801211	1.0	0.9999999999999998	-0.39999999999999997	0.7802197802197802
ELMO_WMS	Spearman	0.8999999999999998	0.9264705882352942	0.8734878773009072	0.8666666666666667	0.880952380952381	0.39999999999999997	0.8549450549450549
ELMO_WMS	Pearson	0.9493403455814678	0.8986404001585053	0.8997125490795862	0.9357514283490328	0.9607564957850155	0.6549837892993375	0.8458927037311514
ELMO_WMS	Kendall	0.7999999999999999	0.8333333333333333	0.7734924681537618	0.7222222222222222	0.7142857142857142	0.39999999999999997	0.6703296703296704
GLOVE_S+WMS	Spearman	0.8999999999999998	0.976470588235294	0.968097395497227	0.9833333333333333	0.9761904761904763	0.7999999999999999	0.8945054945054945
GLOVE_S+WMS	Pearson	0.9299831832591703	0.9812502986440981	0.982700101783629	0.9912496850945236	0.9916870888036404	0.8660177810121098	0.9779670701562896
GLOVE_S+WMS	Kendall	0.7999999999999999	0.9166666666666666	0.8839913921757279	0.9444444444444445	0.9285714285714285	0.6	0.8021978021978022
GLOVE_SMS	Spearman	0.8999999999999998	0.9794117647058824	0.9790985022642409	0.9833333333333333	0.9761904761904763	-0.09999999999999999	0.8945054945054945
GLOVE_SMS	Pearson	0.9455449291692117	0.9855809008524177	0.9847414904881588	0.986977442656942	0.9938321645354539	0.20521783329484802	0.9847485847994165
GLOVE_SMS	Kendall	0.7999999999999999	0.9333333333333332	0.9281909617845142	0.9444444444444445	0.9285714285714285	0.0	0.7802197802197802
GLOVE_WMS	Spearman	0.7	0.976470588235294	0.968097395497227	0.9833333333333333	0.9761904761904763	0.6	0.9120879120879121
GLOVE_WMS	Pearson	0.9118827355028182	0.9749993799194552	0.9761487963677444	0.9903075507841156	0.9916878193730942	0.8706132316422341	0.9733572110046246
GLOVE_WMS	Kendall	0.6	0.9166666666666666	0.8839913921757279	0.9444444444444445	0.9285714285714285	0.39999999999999997	0.8241758241758242
