metric	correlation	cs-en	de-en	et-en	fi-en	ru-en	tr-en	zh-en
BLEU P	Spearman	0.03738607346849874	2.276897655666222e-10	3.5871579424553766e-09	0.0	0.00026040002438725105	0.1881204043741873	1.998540422478126e-05
BLEU P	Pearson	0.011021689354988701	3.295568580200825e-14	6.825520234052077e-11	9.650497903239362e-07	1.3793063722756082e-05	0.3961436862913648	5.117326997859062e-09
BLEU P	Kendall	0.08333333333333333	1.3894896500716607e-09	6.930135402225925e-06	5.5114638447971785e-06	0.001736111111111111	0.23333333333333334	1.9192943300086156e-05
ROUGE-1	Spearman	0.03738607346849874	4.723401127287032e-10	3.5871579424553766e-09	0.0	0.00026040002438725105	0.1881204043741873	1.0279787693084366e-06
ROUGE-1	Pearson	0.008972087585726578	7.606883398954193e-14	3.434669309786548e-10	1.4495640365890275e-08	3.6882132859686445e-05	0.2791454822790613	1.0741596981912156e-09
ROUGE-1	Kendall	0.08333333333333333	4.725564828078056e-09	6.930135402225925e-06	5.5114638447971785e-06	0.001736111111111111	0.23333333333333334	1.5144366582858646e-06
ROUGE-2	Spearman	0.03738607346849874	2.895080134041856e-09	3.5871579424553766e-09	0.0	0.0020082755054294677	0.28475697986529375	7.3017039968523426e-06
ROUGE-2	Pearson	0.008774769674077572	1.86541778949612e-11	1.8072611359584844e-11	3.0149396600465356e-06	4.512879898454325e-05	0.1120975535420736	2.521946247933427e-10
ROUGE-2	Kendall	0.08333333333333333	1.437179274894222e-08	6.930135402225925e-06	5.5114638447971785e-06	0.005505952380952381	0.48333333333333334	1.9192943300086156e-05
ROUGE-L	Spearman	0.03738607346849874	4.825540771378695e-09	9.298982888193624e-09	0.0	0.0020082755054294677	1.0	1.0279787693084366e-06
ROUGE-L	Pearson	0.007997594206612882	1.0650332203472997e-12	1.7368438645200138e-11	9.065554526116532e-08	3.79305520240659e-05	0.8059493804799239	1.4296332148537683e-10
ROUGE-L	Kendall	0.08333333333333333	3.983092142401005e-08	1.153645938791122e-05	5.5114638447971785e-06	0.005505952380952381	1.1833333333333333	1.5144366582858646e-06
BERTScore RoBERTa MNLI (idf) P	Spearman	0.03738607346849874	1.0061504401171986e-10	5.887887404083159e-09	0.0	3.3143960262001043e-05	0.1881204043741873	6.846377605646043e-05
BERTScore RoBERTa MNLI (idf) P	Pearson	0.005467965938483092	9.69698971197463e-17	3.2252181737216328e-12	6.600631431888403e-07	1.384929987237659e-05	0.029278933606007435	3.0710914914363105e-10
BERTScore RoBERTa MNLI (idf) P	Kendall	0.08333333333333333	4.725564828078056e-09	6.930135402225925e-06	5.5114638447971785e-06	0.0003968253968253968	0.23333333333333334	7.724287672204338e-05
BERTScore RoBERTa MNLI (idf) R	Spearman	1.4042654220543672e-24	1.090829151044044e-13	5.932685085427746e-10	0.0	0.0	0.5046315754686911	4.084158819686066e-06
BERTScore RoBERTa MNLI (idf) R	Pearson	0.00024537272641069797	1.7660773671961383e-17	2.060752304345036e-10	5.5176841613982465e-09	3.5161405503923907e-07	0.31711296972567304	2.6055191541198152e-11
BERTScore RoBERTa MNLI (idf) R	Kendall	0.016666666666666666	1.290458879744594e-11	4.115209452987626e-06	5.5114638447971785e-06	4.96031746031746e-05	0.48333333333333334	3.7950961810088793e-06
BERTScore RoBERTa MNLI (idf) F1	Spearman	1.4042654220543672e-24	8.108881053980581e-13	5.932685085427746e-10	0.0	0.0	0.1881204043741873	7.3017039968523426e-06
BERTScore RoBERTa MNLI (idf) F1	Pearson	0.0020655506555047123	2.1581061800964605e-19	5.092337694027711e-12	8.049874497303399e-08	1.9149762955196293e-06	0.09472397176452982	2.0239276085447145e-11
BERTScore RoBERTa MNLI (idf) F1	Kendall	0.016666666666666666	7.637604777155041e-11	4.115209452987626e-06	5.5114638447971785e-06	4.96031746031746e-05	0.23333333333333334	1.9192943300086156e-05
BERT_WMS	Spearman	0.03738607346849874	3.933929195107234e-08	1.6876611511701088e-05	0.00023589981215941676	0.0020082755054294677	0.1881204043741873	1.2358700865600781e-05
BERT_WMS	Pearson	0.01834962864948723	1.6964230574945752e-06	1.6157847505140145e-05	0.0003321235227300947	0.00029459940406940753	0.12860241732783992	0.00013353171436628197
BERT_WMS	Kendall	0.08333333333333333	1.0202702466674028e-07	0.0001240921452037769	0.0008542768959435626	0.005505952380952381	0.23333333333333334	1.9192943300086156e-05
