metric	correlation	cs-en	de-en	et-en	fi-en	ru-en	tr-en	zh-en
BLEU P	Spearman	0.9	0.973529412	0.97469806	1.0	0.9523809520000001	0.7	0.89010989
BLEU P	Pearson	0.955957741	0.99256717	0.986984388	0.9863515690000001	0.982251023	0.4953444	0.9731395359999999
BLEU P	Kendall	0.8	0.916666667	0.9060911770000001	1.0	0.857142857	0.6	0.78021978
ROUGE-1	Spearman	0.8999999999999998	0.9705882352941176	0.9746980595574354	1.0	0.9523809523809524	0.7	0.9340659340659341
ROUGE-1	Pearson	0.9616248299844116	0.9916207441865612	0.9829370436590921	0.9958981382471708	0.9753216344808028	0.6055234445394778	0.9793391997163912
ROUGE-1	Kendall	0.7999999999999999	0.9	0.9060911769801212	1.0	0.8571428571428571	0.6	0.8461538461538461
ROUGE-2	Spearman	0.8999999999999998	0.9617647058823532	0.9746980595574354	1.0	0.9047619047619048	-0.6	0.9076923076923076
ROUGE-2	Pearson	0.9621917251818708	0.9815403648905584	0.9895798407753652	0.9810733238111388	0.9735930437395688	-0.7896335643709506	0.9837982607413708
ROUGE-2	Kendall	0.7999999999999999	0.8833333333333333	0.9060911769801212	1.0	0.7857142857142856	-0.4	0.7802197802197802
ROUGE-L	Spearman	0.8999999999999998	0.9588235294117649	0.9702976168506301	1.0	0.9047619047619048	0.0	0.9340659340659341
ROUGE-L	Pearson	0.9644666668041016	0.9877658867416002	0.9896488902574604	0.9930689917504968	0.9750885138936684	-0.15300611543615827	0.9852684988240936
ROUGE-L	Kendall	0.7999999999999999	0.8666666666666667	0.8839913921757279	1.0	0.7857142857142856	0.0	0.8461538461538461
BERTScore RoBERTa MNLI (idf) P	Spearman	0.8999999999999998	0.9764705882352941	0.9724978382040323	1.0	0.9761904761904764	0.7	0.8637362637362638
BERTScore RoBERTa MNLI (idf) P	Pearson	0.972445231325584	0.9967725874936032	0.992188676529991	0.9877600569601552	0.9822268259931578	0.9151697439057764	0.9832541936923814
BERTScore RoBERTa MNLI (idf) P	Kendall	0.7999999999999999	0.9	0.9060911769801212	1.0	0.9285714285714284	0.6	0.7362637362637363
BERTScore RoBERTa MNLI (idf) R	Spearman	1.0	0.9911764705882352	0.9812987236176436	1.0	1.0	0.4	0.9164835164835166
BERTScore RoBERTa MNLI (idf) R	Pearson	0.9965288040887312	0.9974702378169488	0.9843375706927618	0.996888213205998	0.9947927556449484	0.5686821022479827	0.9889221445707668
BERTScore RoBERTa MNLI (idf) R	Kendall	1.0	0.9666666666666668	0.9281909617845142	1.0	0.9999999999999998	0.4	0.8241758241758242
BERTScore RoBERTa MNLI (idf) F1	Spearman	1.0	0.988235294117647	0.9812987236176436	1.0	1.0	0.7	0.9076923076923076
BERTScore RoBERTa MNLI (idf) F1	Pearson	0.9856199412577936	0.9986522468957544	0.9915689680926704	0.9933007833465468	0.9908292447913816	0.8124317798447831	0.9893805733785664
BERTScore RoBERTa MNLI (idf) F1	Kendall	1.0	0.95	0.9281909617845142	1.0	0.9999999999999998	0.6	0.7802197802197802
BERT_WMS	Spearman	0.9	0.944117647	0.8932898690000001	0.933333333	0.904761905	0.7	0.898901099
BERT_WMS	Pearson	0.9380204390000001	0.90278131	0.894092815	0.9263414640000001	0.95035586	0.76894562	0.8467028329999999
BERT_WMS	Kendall	0.8	0.85	0.7734924679999999	0.833333333	0.7857142859999999	0.6	0.78021978
BERT_SMS	Spearman	0.9	0.955882353	0.939494518	1.0	0.904761905	0.3	0.894505495
BERT_SMS	Pearson	0.963712665	0.9356989259999999	0.9407476020000001	0.9517063379999999	0.979437578	0.5784055579999999	0.955490816
BERT_SMS	Kendall	0.8	0.8666666670000001	0.861891607	1.0	0.7857142859999999	0.2	0.7582417579999999
BERT_S+WMS	Spearman	0.9	0.944117647	0.906491198	0.933333333	0.904761905	0.7	0.89010989
BERT_S+WMS	Pearson	0.944521519	0.910937601	0.905092645	0.940328487	0.960190126	0.762734372	0.8767482240000001
BERT_S+WMS	Kendall	0.8	0.85	0.817692038	0.833333333	0.7857142859999999	0.6	0.7582417579999999
ELMO_S+WMS	Spearman	0.9	0.944117647	0.91089164	0.933333333	0.904761905	0.4	0.876923077
ELMO_S+WMS	Pearson	0.949696283	0.904438558	0.9121586859999999	0.949347573	0.9722350759999999	0.588082741	0.892800602
ELMO_S+WMS	Kendall	0.8	0.85	0.839791823	0.833333333	0.7857142859999999	0.4	0.7142857140000001
ELMO_SMS	Spearman	0.9	0.9411764709999999	0.9702976170000001	1.0	1.0	-0.6	0.903296703
ELMO_SMS	Pearson	0.965698542	0.9329048740000001	0.957749803	0.975651983	0.989044952	-0.400113299	0.9761495790000001
ELMO_SMS	Kendall	0.8	0.833333333	0.9060911770000001	1.0	1.0	-0.4	0.78021978
ELMO_WMS	Spearman	0.9	0.9264705879999999	0.8734878770000001	0.8666666670000001	0.880952381	0.4	0.854945055
ELMO_WMS	Pearson	0.949340346	0.8986404	0.8997125490000001	0.935751428	0.9607564959999999	0.654983789	0.845892704
ELMO_WMS	Kendall	0.8	0.833333333	0.7734924679999999	0.7222222220000001	0.7142857140000001	0.4	0.67032967
GLOVE_S+WMS	Spearman	0.9	0.976470588	0.968097395	0.9833333329999999	0.976190476	0.8	0.894505495
GLOVE_S+WMS	Pearson	0.9299831829999999	0.981250299	0.982700102	0.991249685	0.991687089	0.8660177809999999	0.97796707
GLOVE_S+WMS	Kendall	0.8	0.916666667	0.883991392	0.944444444	0.9285714290000001	0.6	0.802197802
GLOVE_SMS	Spearman	0.9	0.979411765	0.979098502	0.9833333329999999	0.976190476	-0.1	0.894505495
GLOVE_SMS	Pearson	0.9455449290000001	0.985580901	0.98474149	0.986977443	0.993832165	0.20521783300000002	0.984748585
