LP	SYSTEM	BLEU P	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore RoBERTa MNLI (idf) P	BERTScore RoBERTa MNLI (idf) R	BERTScore RoBERTa MNLI (idf) F1	BERT_WMS	BERT_SMS	BERT_S+WMS	ELMO_S+WMS	ELMO_SMS	ELMO_WMS	GLOVE_S+WMS	GLOVE_SMS	GLOVE_WMS	HUMAN
cs-en	CUNI-Transformer.5560	0.4513870847514826	0.6074158548619967	0.36784170077419104	0.5874048805890362	0.671911358833313	0.6553195714950562	0.6637005209922789	0.029120613969156564	0.056616763061847236	0.03310118270827317	0.0293772536578665	0.06461637596340677	0.024007449908026727	0.2936875753736042	0.4652488112353277	0.20259677807449394	0.298
cs-en	online-A.0	0.3992984873174172	0.5604336841392408	0.3011088421242033	0.5342349392262732	0.5413534641265869	0.5672414898872375	0.5540814399719238	0.016183977088998974	0.033817326311738116	0.01840485017258064	0.016922746256526268	0.04123231793554827	0.01389893671266309	0.2522596616395855	0.4273179924581298	0.16398336943989794	-0.023
cs-en	online-B.0	0.4443622295432961	0.5998779384670888	0.3568018623592198	0.5772654476934796	0.6371897459030151	0.612026035785675	0.624764621257782	0.02782158246642557	0.0520865373682817	0.03129014518273777	0.02670326076769908	0.0589713352768545	0.021653604816517968	0.2919138724087094	0.4604540177276099	0.20426957217663927	0.115
cs-en	online-G.0	0.37577267021011335	0.5315027030933751	0.2594438692976161	0.4967092395103586	0.5049287676811218	0.5335612893104553	0.5193598270416261	0.009182300619746021	0.021158907097235283	0.010445206299792448	0.00931023539052768	0.02864508561891615	0.007495556861527619	0.2376222218535544	0.4171272508203849	0.1486837861667725	-0.183
cs-en	uedin.5561	0.4347570529886696	0.5928890369822769	0.3467467466119276	0.5699358179740976	0.6354948282241821	0.6170267462730408	0.62627112865448	0.02276761419973513	0.04708526612043465	0.02612058881930389	0.02205577196923409	0.0532645901897004	0.017788268273451518	0.2788550125615683	0.4531145183767169	0.1886899377147724	0.165
de-en	JHU.5706	0.5685156439637173	0.6949990535263678	0.4775363268129867	0.6756253374642258	0.7402159571647644	0.7283317446708679	0.7344732284545898	0.043083692977172065	0.08440415890892965	0.05003905491007785	0.04422874477722034	0.09542653585684928	0.033954502326290964	0.3816646130420692	0.5282839787313096	0.29315802240433525	0.317
de-en	LMU-nmt.5756	0.5320462663172301	0.6710414703621491	0.4383284504149997	0.6485560482048478	0.7023085355758667	0.6842623949050903	0.6934941411018372	0.03494908354656926	0.07139104313595275	0.040894767484614535	0.035790680519057406	0.08068978042131708	0.027506380202457062	0.3582218361159069	0.5129946808083818	0.2678217480576247	0.162
de-en	LMU-unsup.5650	0.3106319852415935	0.4806685930296944	0.20204711198364744	0.452638647892253	0.3252979815006256	0.3499850332736969	0.3381604552268982	0.0030341160252454155	0.00970620912827852	0.0037632876904202827	0.0035462214040384204	0.015691467185327324	0.002551382120470497	0.1807217562563688	0.37283107407303706	0.0975082253687172	-0.835
de-en	MLLP-UPV.5554	0.5690742091992078	0.6959451827841078	0.4776771166469153	0.6744258818402435	0.737736701965332	0.7287346124649048	0.7334399819374084	0.04597251416435517	0.08724204915890241	0.052795874186185546	0.045782965513068576	0.09678817906456903	0.03546379974068113	0.3848711315896569	0.5315876044657107	0.2957152741696611	0.321
de-en	NJUNMT-private.5406	0.5095995977031369	0.6536006132960261	0.414989296472831	0.6317897824501642	0.6873039603233337	0.6715871095657349	0.6796199083328247	0.02725431271502277	0.06044375755610229	0.032440835743590926	0.02976519414483605	0.07118569307569968	0.022634140518618718	0.3345573415038491	0.4964104399045912	0.2422399128419685	0.149
de-en	NTT.5666	0.5781518799923613	0.7046144984873242	0.4910197267844214	0.6855058807497234	0.7579421997070312	0.7450418472290039	0.7516674399375916	0.048645986166125685	0.09256592475286207	0.05597585171977164	0.048343160380822266	0.10300795493437076	0.0370700955906101	0.3953601080011861	0.5396083120949656	0.3067283023634512	0.359
de-en	RWTH-UNSUPER.5482	0.3268915105199742	0.4900227005136588	0.21380416884752626	0.4594205351239763	0.3199604749679565	0.4115066230297089	0.3652245700359345	0.005357923730670872	0.014556660550519497	0.006271152390083993	0.005659644756579985	0.020120363428669324	0.004444540773890478	0.19290794958119167	0.3859192662183887	0.10682431022638686	-0.752
de-en	RWTH.5636	0.5917528556242116	0.7156530112951116	0.5070804374835053	0.6985041309291956	0.7744603753089905	0.7573660612106323	0.7660501599311829	0.05508916045633828	0.10073381603994017	0.0626755675503419	0.05496347164685377	0.1123885041339217	0.04236016054449896	0.40932254467499374	0.5481444864415989	0.3234631340796084	0.413
de-en	UCAM.5690	0.5844255426753397	0.7129605864023534	0.5008786034291602	0.6939975047478613	0.7666304111480713	0.7535508871078491	0.7602568268775941	0.05039518627417985	0.09641936727391227	0.0576498694380601	0.050849486049755935	0.10743139870966736	0.03850803784949605	0.40311357926328295	0.5440477017941313	0.316164060325438	0.395
de-en	Ubiqus-NMT.5635	0.5552906293380002	0.692271242879934	0.4712202637636136	0.6722538423854322	0.7416716217994691	0.7188057899475098	0.7304180264472961	0.04112573788991227	0.08308328058331799	0.04818878779880805	0.04407521575656646	0.09602012172401128	0.03346827117501632	0.3780632555031089	0.5274171376600338	0.2888250724494399	0.315
de-en	online-A.0	0.5360848173768534	0.6746378610240193	0.4394239379524351	0.6523449114447297	0.7163190245628357	0.7033135890960693	0.710016131401062	0.03257970795315072	0.06958538928114763	0.0385147663059822	0.03397083592576852	0.08016449379282377	0.02565241852663577	0.3637283322179578	0.517119275577557	0.2725204029366362	0.268
de-en	online-B.0	0.5583469304805272	0.6945646324757347	0.4694058419524185	0.6720739004357712	0.7547580599784851	0.732952356338501	0.7440390586853027	0.040601003716980964	0.08174468152094072	0.0471172025872937	0.04187147190533129	0.0937211382911884	0.031669477371524174	0.38379475063799495	0.5332209439170142	0.29365134683166083	0.34600000000000003
de-en	online-F.0	0.40370165265013785	0.5533912572749172	0.2668850670192868	0.5136225042695262	0.5094202160835266	0.5467182993888855	0.5284812450408936	0.006314740135554977	0.017712061854768587	0.0076002185014859315	0.00635283880482032	0.024317846023012332	0.004748735394920402	0.2382287897899449	0.4267022827151845	0.14445694985802626	-0.29600000000000004
de-en	online-G.0	0.4847286508699261	0.6140876821702366	0.3490898175447508	0.5813563387847198	0.6178490519523621	0.6128543019294739	0.6157134771347046	0.018193038256004216	0.04110301423878605	0.021309606296632446	0.016620517235911555	0.04669923072077566	0.012561213343134096	0.3184114631615145	0.4843980702960612	0.22463799692940373	-0.07400000000000001
