LP	SYSTEM	ROUGE-1	ROUGE-2	ROUGE-L	HUMAN
cs-en	CUNI-Transformer.5560	0.6074158548619967	0.367841700774191	0.5874048805890362	0.298
cs-en	online-A.0	0.5604336841392408	0.3011088421242033	0.5342349392262732	-0.023
cs-en	online-B.0	0.5998779384670888	0.3568018623592198	0.5772654476934796	0.115
cs-en	online-G.0	0.5315027030933751	0.2594438692976161	0.4967092395103586	-0.183
cs-en	uedin.5561	0.592889036982277	0.3467467466119276	0.5699358179740976	0.165
de-en	JHU.5706	0.6949990535263678	0.47753632681298674	0.6756253374642258	0.317
de-en	LMU-nmt.5756	0.6710414703621491	0.43832845041499974	0.6485560482048478	0.162
de-en	LMU-unsup.5650	0.48066859302969434	0.20204711198364744	0.45263864789225305	-0.835
de-en	MLLP-UPV.5554	0.6959451827841078	0.47767711664691526	0.6744258818402435	0.321
de-en	NJUNMT-private.5406	0.6536006132960261	0.414989296472831	0.6317897824501642	0.149
de-en	NTT.5666	0.704614498487324	0.49101972678442135	0.6855058807497234	0.359
de-en	online-A.0	0.6746378610240193	0.43942393795243506	0.6523449114447297	0.268
de-en	online-B.0	0.6945646324757347	0.46940584195241847	0.6720739004357712	0.34600000000000003
de-en	online-F.0	0.5533912572749172	0.26688506701928677	0.5136225042695262	-0.29600000000000004
de-en	online-G.0	0.6140876821702366	0.34908981754475077	0.5813563387847198	-0.07400000000000001
de-en	online-Y.0	0.6664220153417026	0.43787681410703844	0.6467326599963504	0.31
de-en	RWTH-UNSUPER.5482	0.49002270051365876	0.21380416884752623	0.4594205351239763	-0.752
de-en	RWTH.5636	0.7156530112951116	0.5070804374835053	0.6985041309291956	0.413
de-en	Ubiqus-NMT.5635	0.692271242879934	0.4712202637636136	0.6722538423854322	0.315
de-en	UCAM.5690	0.7129605864023534	0.5008786034291602	0.6939975047478613	0.395
de-en	uedin.5766	0.6870999637075947	0.46476831842498045	0.6659504724630066	0.261
et-en	CUNI-Kocmi.5618	0.5303562956842045	0.26659048633417626	0.5006610479945616	0.006999999999999999
et-en	HY-NMT-et-en.5463	0.5651343777582439	0.3016540788093488	0.532437251021322	0.106
et-en	M4t1ss.5692	0.570975264017141	0.31156258875363574	0.5397135871844762	0.187
et-en	neurotolge.ee.5398	0.5058195315229719	0.23630900352073872	0.47680024157944473	-0.11699999999999999
et-en	NICT.5664	0.5929416299169155	0.3384163008074481	0.5636488475771236	0.23800000000000002
et-en	online-A.0	0.5346802580470917	0.25838983546494615	0.5002224967212422	0.063
et-en	online-B.0	0.5529974280946509	0.2866501032536309	0.5225316876734888	0.11699999999999999
et-en	online-G.0	0.4854907821695561	0.19003586045487383	0.4330471166657516	-0.341
et-en	talp-upc.5421	0.5403675836591426	0.27205619839469874	0.5100273141256024	0.106
et-en	tilde-c-nmt-comb.5718	0.5840990196424951	0.3237255579826752	0.5535143596277227	0.171
et-en	tilde-c-nmt.5715	0.5844028531891252	0.3282758340858134	0.5546114880497164	0.215
et-en	tilde-nc-nmt.5485	0.5987049282565047	0.3417918598177654	0.5678239169744173	0.326
et-en	uedin.5562	0.5801582557847019	0.32519130899954624	0.5507392008096945	0.18600000000000003
et-en	UnsupTartu.5722	0.26892179793168725	0.024488590733288348	0.22829940886202857	-0.95
fi-en	CUNI-Kocmi.5619	0.506408362391744	0.2475401735604258	0.4767831996775369	0.083
fi-en	HY-NMT-fi-en.5569	0.5220544694548035	0.26667786284776035	0.49467423660272536	0.128
fi-en	JUCBNMT.5559	0.3929849771854739	0.13754781768122062	0.3593563394597534	-0.40399999999999997
fi-en	NICT.5515	0.5272297617458479	0.27848429957873816	0.5006420428513916	0.153
fi-en	online-A.0	0.4934377929571848	0.23081505675233915	0.46522254982288974	0.045
fi-en	online-B.0	0.5029838818825821	0.24385005364606385	0.4753197653347323	0.078
fi-en	online-G.0	0.45178212012628927	0.18426339093095703	0.4131310453509812	-0.134
fi-en	talp-upc.5423	0.4948358909022853	0.23843036753977503	0.46675034403887516	0.047
fi-en	uedin.5631	0.5173648642232102	0.26536293285422796	0.4898553512111465	0.10300000000000001
ru-en	afrl-ruen-syscomb.5440	0.5838774655118011	0.32948251460595723	0.5557365633615583	-0.013999999999999999
ru-en	Alibaba.5720	0.6225483952909323	0.38104546798245625	0.5976586133558933	0.215
ru-en	JHU.5675	0.561878460783487	0.3038886357591745	0.5347644349052112	-0.027000000000000003
ru-en	online-A.0	0.5831674104145292	0.32489746403262626	0.5542250069215892	0.034
ru-en	online-B.0	0.6028879698747258	0.3514610584805976	0.575115042279627	0.192
ru-en	online-F.0	0.4532413269000373	0.17076895937906772	0.4192405515858026	-0.39799999999999996
ru-en	online-G.0	0.6001862725716353	0.34789274997127595	0.5729735444812617	0.17
ru-en	uedin.5739	0.602833511404222	0.35631298986018767	0.5757675237898098	0.11
tr-en	NICT.5708	0.5434850218049277	0.2916656039504459	0.5026552198703033	-0.055
tr-en	online-A.0	0.5485957468232601	0.28371259858135917	0.5016249824344122	0.04
tr-en	online-B.0	0.5502456913875448	0.28398580661687917	0.5054005566949289	-0.004
tr-en	online-G.0	0.5491031269811686	0.2869970887943902	0.5074478717077037	0.045
tr-en	uedin.5709	0.5481252792894789	0.2969094765696559	0.5087074022276593	-0.053
zh-en	Li-Muze.5736	0.5510238333807812	0.3086030969223641	0.5124729407629277	0.091
zh-en	NICT.5539	0.5426794348701972	0.3006628996411484	0.5051649343987499	0.08900000000000001
zh-en	NiuTrans.5740	0.5562257525316977	0.31615484748955064	0.5193644784241752	0.14
zh-en	online-A.0	0.5110582191801305	0.2577383560427689	0.4696516782569506	-0.061
zh-en	online-B.0	0.5594557702843203	0.31921001292886214	0.5268527069150568	0.111
zh-en	online-F.0	0.3978131340624509	0.1302993650875571	0.34795818474851253	-0.377
zh-en	online-G.0	0.4464783822244015	0.17542680998963625	0.3805816899759762	-0.327
zh-en	online-Y.0	0.5264011568786112	0.27737800059720624	0.490962024749731	-0.005
zh-en	Tencent-ensemble-system.5742	0.5649865593414393	0.3253978773654335	0.5280499170242346	0.099
zh-en	UCAM.5586	0.552205514041729	0.3095813279302072	0.5134425975223574	0.109
zh-en	uedin.5652	0.5258615912515363	0.2841950098215348	0.49073732106867113	-0.017
zh-en	UMD.5681	0.5306732765510125	0.28421121950719613	0.49172838559936044	0.078
zh-en	Unisound.5668	0.5539432236545532	0.3154825938299797	0.5167827554830787	0.094
zh-en	Unisound.5712	0.5562102513532894	0.319484223383625	0.5189052604099214	0.10800000000000001
