cand id	BLEU	ROUGE-1	ROUGE-2	ROUGE-L	BERTScore_P	BERTScore_R	BERTScore_F1	bert_s+wms	bert_sms	bert_wms	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	score
5978	0.013423096	0.211320752	0.022813685	0.153005462	0.8578831	0.8099575	0.8332317	0.00000304	0.000180753	6.04E-07	1.20E-06	0.000177326	1.55E-07	0.007999328	0.065978649	0.003364186	1
5979	0.15422082	0.26086956	0.056555265	0.189393934	0.8179324	0.8325504	0.82517666	0.00000335	0.000153315	8.19E-07	1.98E-06	0.000263197	2.72E-07	0.010893386	0.075575599	0.004926774	2
5980	0.04697066	0.201298697	0.013071891	0.171171167	0.81391674	0.8047818	0.80932343	0.00000168	8.28E-05	3.03E-07	1.18E-06	0.000142945	1.40E-07	0.00856881	0.056377805	0.003698471	1
5981	0.053226102	0.259136208	0.026755849	0.178403752	0.8007915	0.80512017	0.80294997	0.00000186	7.53E-05	3.96E-07	2.28E-06	0.000234718	2.86E-07	0.00669574	0.058971957	0.002497294	1
5982	0.117173257	0.288184433	0.034782604	0.189655168	0.8127353	0.81713855	0.814931	0.00000533	0.000282924	1.15E-06	2.39E-06	0.000320452	2.78E-07	0.009951461	0.084844051	0.00386042	2
5983	0.030186704	0.18947368	0.02120141	0.128078814	0.833264	0.8160415	0.8245628	0.00000218	8.84E-05	4.97E-07	1.46E-06	0.000154363	1.85E-07	0.008218208	0.062934966	0.003330245	1
5984	0.005851047	0.179687497	0.015748029	0.17297297	0.85668737	0.80740047	0.8313141	0.00000171	7.49E-05	3.46E-07	6.92E-07	8.27E-05	9.03E-08	0.00493979	0.03890419	0.002069297	1
5985	0.059395928	0.185185181	0.012422356	0.148148144	0.7982646	0.8003029	0.7992825	0.000000945	3.26E-05	2.44E-07	8.08E-07	7.96E-05	1.38E-07	0.005905657	0.045352733	0.002690486	0
5986	0.059714162	0.241830061	0.026315785	0.216216212	0.84241164	0.8226094	0.8323928	0.00000557	0.000206037	1.18E-06	1.05E-06	0.000141239	1.27E-07	0.006634162	0.056770719	0.002633914	2
5987	0.128421094	0.236263731	0.033149166	0.198412694	0.82064205	0.8252519	0.82294047	0.00000324	0.000164747	6.20E-07	1.57E-06	0.000197626	1.64E-07	0.012305307	0.073681476	0.005300283	3
5988	0.124181393	0.244274804	0.010230174	0.159999995	0.8155572	0.8290054	0.82222635	0.00000352	0.000175206	6.90E-07	2.65E-06	0.000280232	3.41E-07	0.010253567	0.06806166	0.004382716	3
5989	0.079011544	0.28478964	0.032573286	0.205607472	0.84804547	0.81765544	0.8325732	0.00000357	0.000160523	7.27E-07	1.97E-06	0.000214914	2.53E-07	0.008886167	0.056801317	0.003950227	1
5990	0.096545939	0.250712246	0.017191972	0.176470584	0.8326387	0.8201471	0.8263457	0.00000412	0.000164137	8.20E-07	1.52E-06	0.000192041	1.71E-07	0.009019672	0.06636171	0.003630786	3
5991	0.060879472	0.269360265	0.033898301	0.177339898	0.8556582	0.8229873	0.83900476	0.000006	0.000284136	1.14E-06	2.16E-06	0.000323067	2.36E-07	0.010237509	0.091209054	0.003901955	2
5992	0.027625003	0.18947368	0.02120141	0.163461534	0.82357997	0.81723976	0.8203976	0.00000252	0.000172393	5.06E-07	1.26E-06	0.000230122	1.19E-07	0.011069196	0.082007379	0.004449828	1
5993	0.111890555	0.283185836	0.029673586	0.206896547	0.83332866	0.8207691	0.82700115	0.00000334	0.000137544	7.06E-07	1.88E-06	0.000213383	2.31E-07	0.0096329	0.06899182	0.004037852	2
5994	0.074511312	0.232704398	0.00632911	0.191304343	0.82864106	0.81465054	0.82158625	0.00000346	0.000141606	6.69E-07	1.12E-06	0.000149272	1.24E-07	0.008707207	0.065684971	0.003490785	2
5995	0.080344616	0.270440247	0.044303793	0.203539819	0.8491384	0.8259245	0.83737063	0.00000386	0.000139803	7.97E-07	2.29E-06	0.000214513	3.03E-07	0.011861337	0.070044441	0.005381289	2
5996	0.056422487	0.210526312	0.019867545	0.150234738	0.8402572	0.8152633	0.82757163	0.00000398	0.000217901	8.33E-07	1.33E-06	0.000236749	1.50E-07	0.008096184	0.070305948	0.003261714	1
5997	0.067224149	0.237623758	0.033222587	0.174311922	0.8489044	0.8288099	0.8387368	0.00000368	0.000189154	6.48E-07	2.15E-06	0.000251367	2.59E-07	0.01077741	0.074575271	0.004515043	2
5998	0.014546947	0.203773582	0.030418248	0.17708333	0.84066164	0.8100321	0.8250627	0.00000265	0.000188534	5.70E-07	1.26E-06	0.000254897	1.25E-07	0.009664038	0.07752845	0.003934078	2
5999	0.001612297	0.145748985	0.032653059	0.124293783	0.8262736	0.80569506	0.81585455	0.0000011	9.54E-05	2.70E-07	5.10E-07	0.000128734	5.13E-08	0.004938914	0.0635831	0.001709465	1
6000	0.092296511	0.247058819	0.017751475	0.196721307	0.82998043	0.8263937	0.8281832	0.00000478	0.000221945	9.78E-07	2.63E-06	0.000293815	3.06E-07	0.012394323	0.075502155	0.005406376	2
6001	0.024469081	0.210909087	0.014652011	0.172588829	0.8356621	0.8131985	0.8242772	0.00000332	0.000106835	7.23E-07	1.07E-06	0.000124731	1.30E-07	0.008432388	0.066155367	0.003379304	1
6002	0.105668357	0.262195117	0.018404903	0.183406109	0.84164846	0.8253108	0.83339953	0.00000215	0.000125969	4.32E-07	1.40E-06	0.000174487	1.78E-07	0.008979077	0.065887947	0.003853215	2
6003	0.184281524	0.307304781	0.045569615	0.185873601	0.84634554	0.83827823	0.8422926	0.0000096	0.000447049	1.96E-06	3.71E-06	0.000371044	4.65E-07	0.019231069	0.098508386	0.009212339	3
6004	0.002402337	0.102766796	0	0.055865919	0.8109055	0.79539293	0.80307436	0.000000536	3.11E-05	1.06E-07	8.97E-07	0.000105836	1.27E-07	0.005928774	0.046287388	0.002510175	1
6005	0.141465724	0.276041662	0.020942403	0.181818177	0.8206397	0.820687	0.8206634	0.00000443	0.000160857	9.19E-07	2.57E-06	0.000211469	3.49E-07	0.013175556	0.064631708	0.00633409	3
6006	0.08146183	0.298013241	0.053333329	0.196261678	0.86429757	0.83000606	0.8468048	0.00000422	0.000187543	8.65E-07	2.01E-06	0.000247567	2.36E-07	0.010603388	0.069067198	0.004579392	2
6007	0.113215664	0.24501424	0.040114608	0.188524585	0.8495612	0.8326818	0.8410368	0.00000405	0.000212769	7.18E-07	1.76E-06	0.000239874	1.94E-07	0.010872261	0.079461748	0.004440093	3
6008	0.126748152	0.276836153	0.028409086	0.219409278	0.8271823	0.8222079	0.8246876	0.00000539	0.000157797	1.33E-06	2.49E-06	0.00022578	3.67E-07	0.010307112	0.064169959	0.004781797	1
6010	0.073632993	0.264516125	0.012987009	0.179245279	0.85746163	0.8272082	0.8420633	0.00000484	0.00025511	7.89E-07	2.14E-06	0.000259307	2.35E-07	0.012320179	0.075512614	0.005332466	1
6011	9.57E-06	0.060344826	0	0.048192769	0.8087544	0.7954923	0.80206853	0.0000054	0.000212184	1.09E-06	9.57E-07	0.000132707	9.89E-08	0.003406333	0.041411735	0.00106294	1
6012	0.033779559	0.161616158	0.006779657	0.126829264	0.8097894	0.79330987	0.80146486	0.00000147	5.55E-05	3.79E-07	9.59E-07	8.61E-05	1.53E-07	0.005385414	0.042832756	0.002300934	0
6013	0.005684772	0.163424122	0.023529409	0.17297297	0.84896326	0.81197655	0.8300581	0.00000255	0.000158517	4.59E-07	1.32E-06	0.000246149	1.49E-07	0.008000163	0.074305502	0.003126466	1
6014	0.136095685	0.284946232	0.027027022	0.21259842	0.8490343	0.8339301	0.84141445	0.00000527	0.000322995	1.11E-06	3.02E-06	0.000409977	3.78E-07	0.011356686	0.090103161	0.004807627	3
6015	0.093488231	0.248520705	0.0297619	0.173913039	0.8646087	0.8337957	0.84892267	0.00000464	0.000271281	8.52E-07	2.28E-06	0.000304583	2.45E-07	0.009954869	0.088200509	0.003674962	2
6016	0.177613269	0.312796204	0.033333328	0.242857138	0.8295322	0.8310636	0.8302972	0.0000035	0.000202138	7.08E-07	2.25E-06	0.000265521	3.04E-07	0.011363354	0.075206831	0.005077208	3
