cand id	BERTScore_F1	BERTScore_P	BERTScore_R	bert_s+wms	bert_sms	bert_wms	BLEU	elmo_s+wms	elmo_sms	elmo_wms	glove_s+wms	glove_sms	glove_wms	ROUGE-1	ROUGE-2	ROUGE-L	SentBERT	score
5979	0.82517666	0.8179324	0.8325504	1.25E-05	0.000173933	8.87E-07	0.15422082	3.91E-06	0.0001935	7.89E-08	0.020063146	0.080167751	0.00496904	0.26086956	0.056555265	0.189393934	6.27E-10	2
5980	0.80932343	0.81391674	0.8047818	5.57E-06	9.64E-05	3.20E-07	0.04697066	1.97E-06	0.000121519	3.15E-08	0.015182135	0.061616804	0.003699838	0.201298697	0.013071891	0.171171167	8.45E-11	1
5985	0.7992825	0.7982646	0.8003029	3.62E-06	4.81E-05	2.69E-07	0.059395928	1.34E-06	6.93E-05	2.57E-08	0.012148105	0.054600618	0.002691012	0.185185181	0.012422356	0.148148144	3.35E-11	0
5986	0.8323928	0.84241164	0.8226094	1.43E-05	0.000207972	9.74E-07	0.059714162	3.50E-06	0.000260275	4.71E-08	0.01336119	0.067757676	0.002634704	0.241830061	0.026315785	0.216216212	8.33E-10	2
5987	0.82294047	0.82064205	0.8252519	9.45E-06	0.000168978	5.27E-07	0.128421094	3.44E-06	0.000247353	4.78E-08	0.021772415	0.089190096	0.005302088	0.236263731	0.033149166	0.198412694	6.67E-10	3
5988	0.82222635	0.8155572	0.8290054	1.46E-05	0.000308275	6.83E-07	0.124181393	7.00E-06	0.000581652	8.43E-08	0.021584956	0.105043746	0.004383535	0.244274804	0.010230174	0.159999995	4.49E-10	3
5989	0.8325732	0.84804547	0.81765544	1.19E-05	0.000188528	7.49E-07	0.079011544	3.61E-06	0.000202723	6.43E-08	0.017095448	0.073443529	0.003951828	0.28478964	0.032573286	0.205607472	6.69E-10	1
5990	0.8263457	0.8326387	0.8201471	1.13E-05	0.00018677	6.80E-07	0.096545939	3.87E-06	0.000312463	4.79E-08	0.017687656	0.085862854	0.003631704	0.250712246	0.017191972	0.176470584	4.50E-10	3
5991	0.83900476	0.8556582	0.8229873	1.93E-05	0.000315256	1.18E-06	0.060879472	5.64E-06	0.000369858	8.59E-08	0.019962569	0.102015337	0.003903515	0.269360265	0.033898301	0.177339898	3.02E-10	2
5993	0.82700115	0.83332866	0.8207691	1.15E-05	0.000186673	7.03E-07	0.111890555	4.27E-06	0.000237977	7.63E-08	0.017912596	0.078975989	0.004039436	0.283185836	0.029673586	0.206896547	2.54E-10	2
5994	0.82158625	0.82864106	0.81465054	1.04E-05	0.000161707	6.63E-07	0.074511312	3.15E-06	0.000234297	4.25E-08	0.016364532	0.075969373	0.003492024	0.232704398	0.00632911	0.191304343	4.41E-10	2
5995	0.83737063	0.8491384	0.8259245	1.05E-05	0.000145816	7.53E-07	0.080344616	4.47E-06	0.000218219	9.12E-08	0.020334016	0.076511395	0.005383653	0.270440247	0.044303793	0.203539819	3.86E-10	2
5996	0.82757163	0.8402572	0.8152633	1.40E-05	0.000240488	8.13E-07	0.056422487	2.88E-06	0.000229985	3.58E-08	0.015800395	0.076480335	0.003262938	0.210526312	0.019867545	0.150234738	2.69E-10	1
5997	0.8387368	0.8489044	0.8288099	1.14E-05	0.000207476	6.08E-07	0.067224149	4.48E-06	0.000249046	8.06E-08	0.019227286	0.080921129	0.004516815	0.237623758	0.033222587	0.174311922	3.94E-10	2
