Score	Spearman Rank Correlation	Spearman p-value	Pearson Rank Correlation	Pearson p-value	Kendall Rank Correlation	Kendall p-value
BERTScore_F1	0.30675474540238423	6.284086279017866e-39	0.32820773181704405	1.2510258235806092e-44	0.23763395335053472	6.346436142941344e-38
BERTScore_P	-0.06481049986347671	0.007071809179658008	-0.042818448013869685	0.0753339164175521	-0.053507412211077014	0.003747205882626271
BERTScore_R	0.6752361746891674	3.7906563289660697e-230	0.6627475718740364	8.156669960116543e-219	0.5513029335333092	5.428091315179125e-196
bert_s+wms	0.4635742970782349	1.099934571861709e-92	0.4622936226011084	4.0507394667664673e-92	0.36636662173479995	1.7407700257053249e-87
bert_sms	0.4290210416297611	3.1611468744840937e-78	0.43182451923219944	2.4440971641973663e-79	0.3366939087298574	2.5091691667512524e-74
bert_wms	0.4851443871098078	1.362648428030319e-102	0.4842196795358941	3.748125441189546e-102	0.38498239181029165	1.919938729358278e-96
BLEU	0.7174703880848917	5.239050125127626e-273	0.7149525288007914	3.111885600655678e-270	0.5919291842035911	1.302133055561609e-225
elmo_s+wms	0.5549370810338085	5.426369881509074e-140	0.5419765920513806	2.2763919805875188e-132	0.44297046661014783	9.487603751305052e-127
elmo_sms	0.42631163957859497	3.6672153515867225e-77	0.4170628484646191	1.3352725310792842e-73	0.3336796025704914	4.877474064623388e-73
elmo_wms	0.56019971632762	3.485702480471159e-143	0.5474973636026848	1.415891221488946e-135	0.4481851760788191	8.595486254619815e-130
glove_s+wms	0.5714113216336563	3.524483379232139e-150	0.5623318820635553	1.7083137309490222e-144	0.4565515990898686	4.714807525977957e-135
glove_sms	0.3977037180794812	1.686283669986232e-66	0.4067601898416951	9.18792879638212e-70	0.31149767686418206	6.875724346307603e-64
glove_wms	0.5742166377425201	5.6789537553310615e-152	0.5597697054151065	6.386746698966934e-143	0.458570189808118	3.1212778374608616e-136
ROUGE-1	0.6350503495853657	1.5454969884760537e-195	0.6112602934012017	2.2896707126149933e-177	0.5117619210452882	4.225995771204703e-169
ROUGE-2	0.29834341001957115	8.083184057593434e-37	0.3069031707002634	5.75961017791162e-39	0.2311716858821169	6.374512513207341e-36
ROUGE-L	0.5314503438037832	2.0303602139662967e-126	0.5190434085060932	1.138921122543873e-119	0.4203897106862409	1.0807134223066263e-114
