Score	Spearman Rank Correlation	Spearman p-value	Pearson Rank Correlation	Pearson p-value	Kendall Rank Correlation	Kendall p-value
BERTScore_F1	0.147088571	1.10E-06	0.170533537	1.51E-08	0.114860673	1.03E-06
BERTScore_P	-0.134749718	8.20E-06	-0.133656882	9.71E-06	-0.106976931	5.35E-06
BERTScore_R	0.535776572	7.29E-82	0.539282174	4.08E-83	0.434314898	3.26E-76
bert_s+wms	0.413584646	3.35E-46	0.411689261	9.38E-46	0.329414108	1.30E-44
bert_sms	0.411753085	9.06E-46	0.407899241	7.19E-45	0.326403488	7.81E-44
bert_wms	0.36768276	3.66E-36	0.367783004	3.50E-36	0.292130048	1.86E-35
BLEU	0.615384242	2.28E-114	0.608878082	2.32E-111	0.50144166	5.90E-101
elmo_s+wms	0.483205391	9.83E-65	0.464691936	2.23E-59	0.386649547	1.09E-60
elmo_sms	0.438046702	3.15E-52	0.413498503	3.52E-46	0.347724753	1.65E-49
elmo_wms	0.440361084	7.99E-53	0.430138013	3.18E-50	0.350948046	2.58E-50
glove_s+wms	0.487563548	4.82E-66	0.481961986	2.30E-64	0.390098508	7.63E-62
glove_sms	0.449472188	3.23E-55	0.450377962	1.85E-55	0.357338882	3.48E-52
glove_wms	0.428561145	7.85E-50	0.417213214	4.60E-47	0.341446245	8.43E-48
ROUGE-1	0.485191578	2.50E-65	0.469249149	1.15E-60	0.387756068	4.28E-61
ROUGE-2	0.216941545	4.69E-13	0.213694505	1.06E-12	0.170008683	4.90E-13
ROUGE-L	0.336633487	3.09E-30	0.329738819	5.23E-29	0.264461222	2.49E-29
SentBERT	0.296916687	1.39E-23	0.248647795	8.56E-17	0.233911975	2.51E-23
