candidate_id	similarity score	score
5978	0.013423096	1
5979	0.15422082	2
5980	0.04697066	1
5981	0.053226102	1
5982	0.117173257	2
5983	0.030186704	1
5984	0.005851047	1
5985	0.059395928	0
5986	0.059714162	2
5987	0.128421094	3
5988	0.124181393	3
5989	0.079011544	1
5990	0.096545939	3
5991	0.060879472	2
5992	0.027625003	1
5993	0.111890555	2
5994	0.074511312	2
5995	0.080344616	2
5996	0.056422487	1
5997	0.067224149	2
5998	0.014546947	2
5999	0.001612297	1
6000	0.092296511	2
6001	0.024469081	1
6002	0.105668357	2
6003	0.184281524	3
6004	0.002402337	1
6005	0.141465724	3
6006	0.08146183	2
6007	0.113215664	3
6008	0.126748152	1
6010	0.073632993	1
6011	9.57E-06	1
6012	0.033779559	0
6013	0.005684772	1
6014	0.136095685	3
6015	0.093488231	2
6016	0.177613269	3
6017	0.04459591	1
6018	0.050798565	2
6019	0.036648209	1
6020	0.117100607	2
6021	0.017371829	2
6022	0.100406579	2
6023	0.140485587	2
6024	0.034166952	1
6025	0.00972981	1
6026	0.16638981	3
6027	0.17582846	3
6028	0.03119438	2
6029	0.070158587	1
6030	0.161599138	3
6031	0.162942716	3
6032	0.031944646	2
6033	0.181239293	3
6034	0.101767586	2
6035	0.045854656	1
6036	0.136884051	2
6037	0.048714345	2
6038	0.101195939	2
6039	0.090703737	1
6040	0.055218898	1
6041	0.006969928	2
6042	0.099583698	2
6043	0.024937232	1
6044	1.73E-06	2
6045	0.08952235	2
6046	0.073747074	1
6047	0.023969338	1
6048	0.106648164	1
6049	0.015830527	1
6050	0.138183237	3
6051	0.137662551	1
6052	0.093529973	2
6053	0.017055494	1
6054	0.042088195	1
6055	0.13759281	2
6056	0.068919238	1
6057	0.137622083	3
6058	0.098156243	2
6059	0.004040863	1
6060	0.010777526	1
6061	0.17291701	3
6062	0.042467574	1
6063	0.080151656	2
6064	0.063168782	2
6065	0.083713809	2
6066	0.032755024	1
6067	0.024797995	1
6068	0.039517897	2
6069	0.112985467	2
6070	0.072819042	2
6071	0.086409959	2
6072	0.060824934	2
6073	0.11937213	2
6074	0.029319796	2
6075	0.184405667	3
6076	0.160107955	2
6077	0.062403877	1
6078	0.057738156	2
6079	0.124750747	3
6080	0.102495604	2
6081	0.004503681	2
6082	0.033654484	1
6083	0.000793835	1
6084	0.071013478	3
6085	0.154787918	3
6086	0.046620987	1
6087	0.050322509	2
6088	0.103978188	2
6089	0.113391608	3
6090	0.05755572	1
6091	0.119010939	3
6092	0.007598703	1
6093	0.002655199	1
6094	0.102075533	1
6095	0.175964937	3
6096	0.086895084	2
6097	0.0044787	1
6098	0.110571965	3
6099	0.008662783	1
6100	0.12489121	2
6101	0.080151656	2
6102	0.105442901	2
6103	0.131833995	2
6104	0.002070407	1
6105	0.148194178	3
6106	0.029652934	1
6107	0.090235544	2
6108	0.027242221	1
6109	0.126787903	2
6110	0.071647668	2
6111	0.08339393	2
6112	0.050701415	1
6113	0.138688477	3
6114	0.00037228	1
6115	0.009555039	2
6116	0.174370625	2
6117	0.103966192	1
6118	0.142977101	3
6119	0.049558726	1
6120	0.088224899	2
6121	0.151348626	3
6122	0.062918025	2
6123	0.123572237	3
6124	0.108846162	3
6125	0.033268473	2
6126	0.05485234	1
6127	0.179963273	3
6128	0.15765685	3
6129	0.086984079	2
6130	0.052482411	1
6131	0.01753651	1
6132	0.106193364	3
6133	0.011380237	1
6134	0.110946401	2
6135	0.068458204	2
6136	0.032886071	1
6137	0.110665541	2
6138	0.089445983	2
6139	0.07905029	2
6140	0.100326069	1
6141	0.070812312	2
6142	0.144905002	2
6143	0.110839791	3
6144	0.124788505	3
6145	0.153877616	3
6146	0.129903269	2
6147	0.02700133	2
6148	0.0213126	2
6149	0.074936106	2
6150	0.094799973	2
6151	0.100406579	2
6152	0.11067619	2
6153	0.062533154	2
6154	1.92E-05	1
6155	0.053055198	1
6156	0.109241812	2
6157	0.174083069	3
6158	0.155235799	3
6159	0.099044866	2
6160	0.093541161	2
