cand id	similarity score	score
5978	0.211320752	1
5979	0.26086956	2
5980	0.201298697	1
5981	0.259136208	1
5982	0.288184433	2
5983	0.18947368	1
5984	0.179687497	1
5985	0.185185181	0
5986	0.241830061	2
5987	0.236263731	3
5988	0.244274804	3
5989	0.28478964	1
5990	0.250712246	3
5991	0.269360265	2
5992	0.18947368	1
5993	0.283185836	2
5994	0.232704398	2
5995	0.270440247	2
5996	0.210526312	1
5997	0.237623758	2
5998	0.203773582	2
5999	0.145748985	1
6000	0.247058819	2
6001	0.210909087	1
6002	0.262195117	2
6003	0.307304781	3
6004	0.102766796	1
6005	0.276041662	3
6006	0.298013241	2
6007	0.24501424	3
6008	0.276836153	1
6010	0.264516125	1
6011	0.060344826	1
6012	0.161616158	0
6013	0.163424122	1
6014	0.284946232	3
6015	0.248520705	2
6016	0.312796204	3
6017	0.250871076	1
6018	0.248322144	2
6019	0.231578944	1
6020	0.275862064	2
6021	0.161172158	2
6022	0.249258156	2
6023	0.282608691	2
6024	0.234042549	1
6025	0.135849053	1
6026	0.327014213	3
6027	0.315789469	3
6028	0.144329893	2
6029	0.233438481	1
6030	0.308080803	3
6031	0.310077514	3
6032	0.204225348	2
6033	0.310344823	3
6034	0.223495697	2
6035	0.204620458	1
6036	0.27493261	2
6037	0.245733784	2
6038	0.242253516	2
6039	0.240963851	1
6040	0.260869561	1
6041	0.162162159	2
6042	0.286604357	2
6043	0.226277369	1
6044	0.08695652	2
6045	0.280373827	2
6046	0.22641509	1
6047	0.142348751	1
6048	0.262390666	1
6049	0.16296296	1
6050	0.290909086	3
6051	0.288888884	1
6052	0.221606643	2
6053	0.191881915	1
6054	0.235294114	1
6055	0.31791907	2
6056	0.234920631	1
6057	0.271468139	3
6058	0.226086952	2
6059	0.117647056	1
6060	0.140740737	1
6061	0.314655167	3
6062	0.208754205	1
6063	0.228395057	2
6064	0.2745098	2
6065	0.245398768	2
6066	0.190140841	1
6067	0.199999996	1
6068	0.232394362	2
6069	0.294117642	2
6070	0.267973852	2
6071	0.273885346	2
6072	0.228013025	2
6073	0.247368416	2
6074	0.191489358	2
6075	0.276923072	3
6076	0.305825238	2
6077	0.220064721	1
6078	0.274914085	2
6079	0.293255127	3
6080	0.290030207	2
6081	0.149606297	2
6082	0.190140841	1
6083	0.081300811	1
6084	0.218749996	3
6085	0.269767437	3
6086	0.222222218	1
6087	0.254295529	2
6088	0.208955219	2
6089	0.265957442	3
6090	0.253333329	1
6091	0.277456643	3
6092	0.176245208	1
6093	0.159362547	1
6094	0.272997028	1
6095	0.314159287	3
6096	0.22629969	2
6097	0.157480312	1
6098	0.282420745	3
6099	0.134831457	1
6100	0.250639381	2
6101	0.249240117	2
6102	0.249999995	2
6103	0.261580377	2
6104	0.103585655	1
6105	0.272321424	3
6106	0.143344706	1
6107	0.212290498	2
6108	0.185714282	1
6109	0.337209298	2
6110	0.205607472	2
6111	0.256880729	2
6112	0.255033553	1
6113	0.293478256	3
6114	0.107438014	1
6115	0.166666664	2
6116	0.336043356	2
6117	0.272189344	1
6118	0.297082223	3
6119	0.193771622	1
6120	0.278637766	2
6121	0.284122558	3
6122	0.232704398	2
6123	0.256267405	3
6124	0.24929178	3
6125	0.249999996	2
6126	0.229508193	1
6127	0.344999995	3
6128	0.291105116	3
6129	0.275862065	2
6130	0.198675493	1
6131	0.175824172	1
6132	0.26822157	3
6133	0.165413531	1
6134	0.232432428	2
6135	0.215873011	2
6136	0.202090589	1
6137	0.259887001	2
6138	0.241176466	2
6139	0.231249996	2
6140	0.241887901	1
6141	0.269736838	2
6142	0.30939226	2
6143	0.242744058	3
6144	0.252525248	3
6145	0.309278346	3
6146	0.252688167	2
6147	0.177935939	2
6148	0.19565217	2
6149	0.222222218	2
6150	0.256880729	2
6151	0.262686563	2
6152	0.275659819	2
6153	0.256578943	2
6154	0.085836908	1
6155	0.214765097	1
6156	0.290801182	2
6157	0.301176466	3
6158	0.279999995	3
6159	0.210826206	2
6160	0.262195117	2
6161	0.203821652	2
6162	0.299741597	2
6163	0.136882126	1
6164	0.206249996	2
6165	0.286432156	3
6166	0.132231403	1
6167	0.139534881	3
6168	0.268292678	2
6169	0.303341897	2
6170	0.320441984	1
6171	0.284153001	3
6172	0.289017336	2
6173	0.151515148	1
6174	0.251655625	2
6175	0.196610165	1
6176	0.211538457	1
6177	0.312655082	2
6178	0.251572323	3
6179	0.116666665	2
6180	0.282460132	3
6181	0.284883716	3
6182	0.326424866	3
6183	0.273504269	3
6184	0.261484095	1
6185	0.260317456	2
6186	0.194945845	2
6187	0.150197626	1
6188	0.078260868	0
6189	0.135714282	1
6190	0.326139084	2
6191	0.272980497	2
6192	0.308900519	3
6193	0.271777	1
6194	0.256658591	3
6195	0.263929614	3
6196	0.269736838	1
6197	0.255813949	2
6198	0.285714281	3
6199	0.191570878	2
6200	0.287179482	0
6201	0.11952191	2
6202	0.178988324	1
6203	0.308080803	3
6204	0.300970869	1
6205	0.147859919	2
6206	0.152727269	0
6207	0.074999998	0
6208	0.318302382	3
6209	0.19016393	2
6210	0.28656716	2
6211	0.203389826	1
6212	0.239766077	2
6213	0.181818179	1
6214	0.261744962	1
6215	0.191881915	1
6216	0.27659574	2
6217	0.141176468	1
6218	0.280373827	2
6219	0.266666662	2
6220	0.278074861	2
6221	0.273809519	2
6222	0.264026398	2
6223	0.33417721	3
6224	0.183206104	2
6225	0.315492953	3
6226	0.241830061	3
6227	0.205673755	1
6228	0.329177052	3
6229	0.144578311	1
6230	0.112449797	1
6231	0.189274444	2
6232	0.304985333	1
6233	0.111587981	2
6234	0.200668892	1
6235	0.07377049	1
6236	0.334310846	2
6237	0.317460313	2
6238	0.082644626	0
6239	0.257372649	2
6240	0.243478256	3
6241	0.157894734	1
6242	0.034934497	1
6243	0.31428571	2
6244	0.25242718	1
6245	0.252631574	3
6246	0.257372649	1
6247	0.302521004	3
6248	0.246478869	1
6249	0.299516903	3
6250	0.253588512	3
6251	0.212014131	1
6252	0.159999997	1
6253	0.350785335	3
6254	0.320802	3
6255	0.159090906	1
6256	0.134387349	1
6257	0.092436973	1
6258	0.090534977	1
6259	0.15384615	3
6260	0.185567006	2
6261	0.206896548	1
6262	0.306878302	3
6263	0.271844655	3
6264	0.249999995	3
6265	0.265372164	2
6266	0.155642021	1
6267	0.306172835	3
6268	0.324455201	3
6269	0.178294571	1
6270	0.297435892	3
6271	0.195121947	2
6272	0.26086956	2
6273	0.266233762	1
6274	0.237623758	1
6275	0.152610439	1
6276	0.284182301	3
6277	0.107883815	1
6278	0.140350873	1
6279	0.279635254	2
6280	0.152249131	3
6281	0.264423072	1
6282	0.3046683	3
6283	0.130769228	1
6284	0.317948713	3
6285	0.243323437	2
6286	0.286419748	3
6287	0.26815642	3
6288	0.216949149	2
6289	0.182456137	2
6290	0.230215824	1
6291	0.265372164	2
6292	0.28501228	3
6293	0.26822157	2
6294	0.263852238	1
6295	0.153846151	2
6296	0.166666664	0
6297	0.251700676	1
6298	0.176470585	1
6299	0.261398172	2
6300	0.306010924	3
6301	0.321678317	3
6302	0.253246749	2
6303	0.097744358	1
6304	0.218978099	1
6305	0.338888884	3
6306	0.216606495	1
6307	0.256410252	2
6308	0.284337344	3
6309	0.162790695	1
6310	0.28061224	3
6311	0.191126276	2
6312	0.335260111	2
6313	0.294573638	3
6314	0.128301884	1
6315	0.195804192	2
6316	0.287390025	1
6317	0.309523805	2
6318	0.205673755	1
6319	0.259587016	1
6320	0.187050356	1
6321	0.158844762	1
6322	0.238596487	2
6323	0.197802194	1
6324	0.076271185	1
6325	0.206185563	2
6326	0.159362547	1
6327	0.277634956	2
6328	0.281345561	2
6329	0.306748462	2
6330	0.297520656	3
6331	0.31658291	3
6332	0.102564101	3
6333	0.239520953	3
6334	0.252307688	2
6335	0.254335255	3
6336	0.269129283	3
6337	0.217252392	2
6338	0.243654817	2
6339	0.287581695	2
6340	0.286486482	3
6341	0.239263799	2
6342	0.164794004	1
6343	0.235955051	1
6344	0.251612899	2
6345	0.293749996	2
6346	0.228758166	2
6347	0.198675493	3
6348	0.248322144	1
6349	0.312328762	3
6350	0.279069763	2
6351	0.270270266	3
6352	0.319327726	2
6353	0.297082223	3
6354	0.210144924	1
6355	0.28656716	2
6356	0	1
6357	0.139917693	2
6358	0.227941173	2
6359	0.07563025	1
6360	0.247191006	2
6361	0.253687311	2
6362	0.191693286	1
6363	0.282238438	3
6364	0.266666662	3
6365	0.199312711	2
6366	0.281449888	3
6367	0.209459455	2
6368	0.114285711	1
6369	0.187725628	1
6370	0.097560973	0
6371	0.311881183	3
6372	0.208333329	2
6373	0.169741694	2
6374	0.271739126	2
6375	0.237410068	1
6376	0.276729555	2
6377	0.32258064	3
6378	0.325699741	3
6379	0.299999995	3
6380	0.25249169	1
6381	0.282666662	3
6382	0.171874997	1
6383	0.235668785	2
6384	0.290322576	3
6385	0.267973852	2
6386	0.23173803	2
6387	0.296703292	3
6388	0.314432985	3
6389	0.276657056	2
6390	0.184818478	2
6391	0.219780216	1
6392	0.345679007	3
6393	0.223021579	1
6394	0.026905829	1
6395	0.233333329	2
6396	0.334999995	3
6397	0.169934636	2
6398	0.278317148	2
6399	0.161764702	2
6400	0.238410592	2
6401	0.188405794	2
6402	0.226148406	2
6403	0.033195019	0
6404	0.272151894	1
6405	0.234920631	3
6406	0.251396643	2
6407	0.193771622	2
6408	0.296983754	3
6409	0.164285711	2
6410	0.336322865	3
6411	0.081967211	1
6412	0.259351616	1
6413	0.250871076	2
6414	0.155477028	1
6415	0.197452225	2
6416	0.135458165	1
6417	0.283367552	3
6418	0.224089631	2
6419	0.328571424	3
6420	0.171003714	1
6421	0.170370367	1
6422	0.085106381	1
6423	0.243902434	3
6424	0.244186042	2
6425	0.18315018	2
6426	0.171617158	2
6427	0.186046507	1
6428	0.130909087	2
6429	0.130136982	1
6430	0.187050356	1
6431	0.205128202	1
6432	0.273195871	3
6433	0.291545185	2
