candidate_id	reference_id	similarity score	dist	score
5978	1	3.04E-06	12.70336819	1
5979	1	3.35E-06	12.60769939	2
5980	1	1.68E-06	13.29850101	1
5981	1	1.86E-06	13.19442654	1
5982	1	5.33E-06	12.14145374	2
5983	1	2.18E-06	13.03725433	1
5984	1	1.71E-06	13.28076553	1
5985	1	9.45E-07	13.87176037	0
5986	1	5.57E-06	12.09898949	2
5987	1	3.24E-06	12.64027309	3
5988	1	3.52E-06	12.55759621	3
5989	1	3.57E-06	12.54340744	1
5990	1	4.12E-06	12.3984766	3
5991	1	6.00E-06	12.02444649	2
5992	1	2.52E-06	12.88956928	1
5993	1	3.34E-06	12.60883617	2
5994	1	3.46E-06	12.57411575	2
5995	1	3.86E-06	12.46526814	2
5996	1	3.98E-06	12.4335804	1
5997	1	3.68E-06	12.5125618	2
5998	1	2.65E-06	12.84047604	2
5999	1	1.10E-06	13.71895123	1
6000	1	4.78E-06	12.25042534	2
6001	1	3.32E-06	12.61470985	1
6002	1	2.15E-06	13.05004978	2
6003	1	9.60E-06	11.55373001	3
6004	1	5.36E-07	14.43846512	1
6005	1	4.43E-06	12.32687569	3
6006	1	4.22E-06	12.37536335	2
6007	1	4.05E-06	12.41602707	3
6008	1	5.39E-06	12.13056374	1
6010	1	4.84E-06	12.23809528	1
6011	1	5.40E-06	12.12919903	1
6012	1	1.47E-06	13.43357372	0
6013	1	2.55E-06	12.87955761	1
6014	1	5.27E-06	12.15391922	3
6015	1	4.64E-06	12.28103065	2
6016	1	3.50E-06	12.56229305	3
6017	1	4.43E-06	12.32692909	1
6018	1	2.36E-06	12.95829201	2
6019	1	4.79E-06	12.24936295	1
6020	1	6.45E-06	11.95074749	2
6021	1	3.79E-06	12.48199463	2
6022	1	2.79E-06	12.7898159	2
6023	1	6.44E-06	11.95324802	2
6024	1	4.42E-06	12.33011055	1
6025	1	1.64E-06	13.31974888	1
6026	1	3.38E-06	12.5966301	3
6027	1	4.29E-06	12.3599844	3
6028	1	2.76E-06	12.79980373	2
6029	1	3.67E-06	12.5165062	1
6030	1	5.82E-06	12.05506516	3
6031	1	5.63E-06	12.08768845	3
6032	1	2.04E-06	13.10359097	2
6033	1	6.23E-06	11.98545265	3
6034	1	4.34E-06	12.3476944	2
6035	1	1.71E-06	13.27772713	1
6036	1	4.11E-06	12.40150738	2
6037	1	4.75E-06	12.2569313	2
6038	1	2.35E-06	12.96014118	2
6039	1	3.13E-06	12.67472172	1
6040	1	7.25E-06	11.83392811	1
6041	1	2.47E-06	12.91105461	2
6042	1	9.51E-06	11.56309509	2
6043	1	3.32E-06	12.61448765	1
6044	1	1.22E-06	13.6183815	2
6045	1	4.24E-06	12.3713541	2
6046	1	3.28E-06	12.62842655	1
6047	1	2.14E-06	13.05242157	1
6048	1	3.29E-06	12.62363243	1
6049	1	3.68E-06	12.5119524	1
6050	1	6.17E-06	11.99619675	3
6051	1	4.26E-06	12.36723042	1
6052	1	3.81E-06	12.47878265	2
6053	1	3.82E-06	12.47458458	1
6054	1	1.97E-06	13.1372757	1
6055	1	1.94E-06	13.15310097	2
6056	1	2.46E-06	12.91354179	1
6057	1	4.78E-06	12.25118446	3
6058	1	3.91E-06	12.45234585	2
6059	1	2.49E-06	12.90440083	1
6060	1	2.61E-06	12.85443878	1
6061	1	6.54E-06	11.93787098	3
6062	1	2.23E-06	13.01191807	1
6063	1	6.23E-06	11.98540878	2
6064	1	3.78E-06	12.48704529	2
6065	1	2.40E-06	12.94064999	2
6066	1	1.96E-06	13.1429863	1
6067	1	2.77E-06	12.79732513	1
6068	1	4.50E-06	12.31166267	2
6069	1	2.34E-06	12.96734238	2
6070	1	7.84E-06	11.75662804	2
6071	1	5.41E-06	12.12800503	2
6072	1	2.76E-06	12.80015087	2
6073	1	2.97E-06	12.72740841	2
6074	1	2.28E-06	12.990345	2
6075	1	5.66E-06	12.08172226	3
6076	1	2.82E-06	12.77876759	2
6077	1	2.33E-06	12.97146702	1
6078	1	4.02E-06	12.42484856	2
6079	1	7.04E-06	11.86418247	3
6080	1	5.22E-06	12.16248989	2
6081	1	3.09E-06	12.68606091	2
6082	1	2.81E-06	12.78265953	1
6083	1	2.05E-06	13.0969286	1
6084	1	3.28E-06	12.62706947	3
6085	1	3.76E-06	12.49166298	3
6086	1	4.10E-06	12.40349007	1
6087	1	4.05E-06	12.41676807	2
6088	1	4.88E-06	12.23130703	2
6089	1	2.83E-06	12.77671814	3
6090	1	2.24E-06	13.00728893	1
6091	1	3.29E-06	12.62454414	3
6092	1	1.84E-06	13.20701981	1
6093	1	3.74E-06	12.49526691	1
6094	1	3.59E-06	12.5374794	1
6095	1	4.82E-06	12.24274731	3
6096	1	4.46E-06	12.32083035	2
6097	1	2.67E-06	12.83212852	1
6098	1	1.75E-06	13.25862408	3
6099	1	1.03E-06	13.79002094	1
6100	1	3.27E-06	12.63034725	2
6101	1	3.50E-06	12.56239223	2
6102	1	2.43E-06	12.92927456	2
6103	1	3.69E-06	12.50904465	2
6104	1	2.93E-06	12.74099255	1
6105	1	5.59E-06	12.09462166	3
6106	1	2.67E-06	12.835042	1
6107	1	3.03E-06	12.70727825	2
6108	1	3.58E-06	12.53971386	1
6109	1	3.17E-06	12.66137218	2
6110	1	1.98E-06	13.13210106	2
6111	1	4.72E-06	12.26366329	2
6112	1	4.57E-06	12.29514408	1
6113	1	4.82E-06	12.24357414	3
6114	1	1.63E-06	13.32440281	1
6115	1	1.47E-06	13.43144417	2
6116	1	2.31E-06	12.97620106	2
6117	1	2.49E-06	12.90428829	1
6118	1	3.97E-06	12.43646431	3
6119	1	3.41E-06	12.58985615	1
6120	1	3.21E-06	12.64976692	2
6121	1	5.43E-06	12.12359619	3
6122	1	4.14E-06	12.39535809	2
6123	1	3.17E-06	12.66327763	3
6124	1	3.86E-06	12.46534538	3
6125	1	4.15E-06	12.39266968	2
6126	1	3.18E-06	12.6587429	1
6127	1	4.00E-06	12.42900467	3
6128	1	4.18E-06	12.38539314	3
6129	1	2.94E-06	12.73671436	2
6130	1	3.32E-06	12.61624146	1
6131	1	2.15E-06	13.04887104	1
6132	1	3.74E-06	12.49544048	3
6133	1	1.90E-06	13.17197704	1
6134	1	3.38E-06	12.59688091	2
6135	1	3.13E-06	12.67365646	2
6136	1	2.78E-06	12.79133415	1
6137	1	3.38E-06	12.5985527	2
6138	1	4.51E-06	12.30823517	2
6139	1	3.15E-06	12.66663933	2
6140	1	2.93E-06	12.7420435	1
6141	1	7.59E-06	11.78923225	2
6142	1	4.29E-06	12.36020756	2
6143	1	2.53E-06	12.88849831	3
6144	1	3.13E-06	12.67329597	3
6145	1	7.13E-06	11.85176945	3
6146	1	3.88E-06	12.46043587	2
6147	1	1.84E-06	13.20442867	2
6148	1	1.74E-06	13.26431847	2
6149	1	2.94E-06	12.73729992	2
6150	1	2.98E-06	12.72507954	2
6151	1	2.15E-06	13.04891396	2
6152	1	4.38E-06	12.33950233	2
6153	1	1.55E-06	13.37596798	2
6154	1	4.17E-06	12.38641167	1
6155	1	3.88E-06	12.45963001	1
6156	1	2.98E-06	12.72436714	2
6157	1	4.60E-06	12.28959274	3
6158	1	6.06E-06	12.01427555	3
6159	1	1.93E-06	13.15958595	2
6160	1	4.60E-06	12.28932476	2
6161	1	2.41E-06	12.93768597	2
6162	1	2.72E-06	12.8132515	2
6163	1	2.89E-06	12.75481224	1
6164	1	3.20E-06	12.65271854	2
6165	1	2.53E-06	12.88840961	3
6166	1	1.97E-06	13.13730526	1
6167	1	1.44E-06	13.45285416	3
6168	1	3.02E-06	12.70890808	2
6169	1	3.59E-06	12.53608513	2
6170	1	2.69E-06	12.82431889	1
6171	1	6.91E-06	11.88218689	3
6172	1	5.99E-06	12.02592182	2
6173	1	2.36E-06	12.95602226	1
6174	1	2.92E-06	12.74444199	2
6175	1	2.98E-06	12.72279549	1
6176	1	1.79E-06	13.23271561	1
6177	1	3.78E-06	12.48677254	2
6178	1	6.66E-06	11.91931057	3
6179	1	1.82E-06	13.21928215	2
6180	1	4.83E-06	12.24051666	3
6181	1	4.26E-06	12.3657465	3
6182	1	3.96E-06	12.43847561	3
6183	1	5.32E-06	12.14432907	3
6184	1	4.45E-06	12.32195282	1
6185	1	3.21E-06	12.64914799	2
6186	1	2.01E-06	13.11643982	2
6187	1	2.63E-06	12.84799099	1
6188	1	1.49E-06	13.41730499	0
6189	1	1.00E-06	13.81510067	1
6190	1	4.28E-06	12.36120033	2
6191	1	5.62E-06	12.09003448	2
6192	1	6.14E-06	12.00013447	3
6193	1	3.74E-06	12.49608707	1
6194	1	3.36E-06	12.60221577	3
6195	1	4.47E-06	12.31900692	3
6196	1	1.77E-06	13.24337959	1
6197	1	3.64E-06	12.52489662	2
6198	1	4.12E-06	12.40039063	3
6199	1	2.52E-06	12.89134502	2
6200	1	3.75E-06	12.49270153	0
6201	1	2.25E-06	13.0050211	2
6202	1	2.61E-06	12.85515881	1
6203	1	4.08E-06	12.40862942	3
6204	1	5.20E-06	12.16636181	1
6205	1	2.72E-06	12.81457043	2
