candidate_id	reference_id	similarity score	dist	score
5978	1	1.20E-06	13.63170433	1
5979	1	1.98E-06	13.13137817	2
5980	1	1.18E-06	13.65313148	1
5981	1	2.28E-06	12.99078846	1
5982	1	2.39E-06	12.94400978	2
5983	1	1.46E-06	13.44002438	1
5984	1	6.92E-07	14.18307495	1
5985	1	8.08E-07	14.0291996	0
5986	1	1.05E-06	13.76292896	2
5987	1	1.57E-06	13.36604404	3
5988	1	2.65E-06	12.84219551	3
5989	1	1.97E-06	13.13733006	1
5990	1	1.52E-06	13.39486313	3
5991	1	2.16E-06	13.04699612	2
5992	1	1.26E-06	13.58052731	1
5993	1	1.88E-06	13.18507767	2
5994	1	1.12E-06	13.70439911	2
5995	1	2.29E-06	12.98911762	2
5996	1	1.33E-06	13.5310955	1
5997	1	2.15E-06	13.04950333	2
5998	1	1.26E-06	13.58775616	2
5999	1	5.10E-07	14.48971748	1
6000	1	2.63E-06	12.84850788	2
6001	1	1.07E-06	13.74682903	1
6002	1	1.40E-06	13.47672844	2
6003	1	3.71E-06	12.50551987	3
6004	1	8.97E-07	13.924613	1
6005	1	2.57E-06	12.87334251	3
6006	1	2.01E-06	13.11533833	2
6007	1	1.76E-06	13.25167751	3
6008	1	2.49E-06	12.90250587	1
6010	1	2.14E-06	13.05339336	1
6011	1	9.57E-07	13.85954571	1
6012	1	9.59E-07	13.85693836	0
6013	1	1.32E-06	13.53478432	1
6014	1	3.02E-06	12.71006107	3
6015	1	2.28E-06	12.99135399	2
6016	1	2.25E-06	13.00499058	3
6017	1	2.15E-06	13.04935074	1
6018	1	9.96E-07	13.8193779	2
6019	1	1.95E-06	13.14643574	1
6020	1	2.07E-06	13.08699894	2
6021	1	2.17E-06	13.04196548	2
6022	1	2.04E-06	13.1034174	2
6023	1	2.75E-06	12.80342007	2
6024	1	1.66E-06	13.30690193	1
6025	1	1.72E-06	13.27346325	1
6026	1	2.62E-06	12.8532095	3
6027	1	2.52E-06	12.88985062	3
6028	1	7.64E-07	14.0842886	2
6029	1	1.58E-06	13.35673904	1
6030	1	2.03E-06	13.1097393	3
6031	1	3.20E-06	12.65351677	3
6032	1	1.44E-06	13.45193195	2
6033	1	3.04E-06	12.70312405	3
6034	1	2.03E-06	13.10885525	2
6035	1	7.39E-07	14.11775112	1
6036	1	2.76E-06	12.80123138	2
6037	1	1.88E-06	13.18684101	2
6038	1	1.67E-06	13.30163193	2
6039	1	1.41E-06	13.47462082	1
6040	1	2.51E-06	12.89353848	1
6041	1	1.09E-06	13.72890759	2
6042	1	3.05E-06	12.69933605	2
6043	1	1.93E-06	13.15583611	1
6044	1	6.57E-07	14.23549843	2
6045	1	2.23E-06	13.01509476	2
6046	1	1.15E-06	13.67788887	1
6047	1	7.22E-07	14.14164066	1
6048	1	1.57E-06	13.36633492	1
6049	1	1.15E-06	13.67638683	1
6050	1	2.90E-06	12.75073147	3
6051	1	2.50E-06	12.90030289	1
6052	1	1.94E-06	13.15531445	2
6053	1	1.86E-06	13.19409561	1
6054	1	1.61E-06	13.33777809	1
6055	1	1.29E-06	13.56014061	2
6056	1	1.56E-06	13.37009716	1
6057	1	1.87E-06	13.19220161	3
6058	1	1.49E-06	13.41492653	2
6059	1	1.34E-06	13.52604485	1
6060	1	8.91E-07	13.93090343	1
6061	1	3.87E-06	12.46215057	3
6062	1	8.91E-07	13.93060207	1
6063	1	2.13E-06	13.05845451	2
6064	1	1.39E-06	13.48943138	2
6065	1	1.48E-06	13.42169762	2
6066	1	1.17E-06	13.65485764	1
6067	1	1.90E-06	13.17620659	1
6068	1	1.41E-06	13.46921921	2
6069	1	2.17E-06	13.04224968	2
6070	1	3.07E-06	12.69363594	2
6071	1	1.33E-06	13.53405857	2
