candidate_id	reference_id	similarity score	dist	score
5978	1	1.55E-07	15.68285179	1
5979	1	2.72E-07	15.11597824	2
5980	1	1.40E-07	15.77914333	1
5981	1	2.86E-07	15.06737804	1
5982	1	2.78E-07	15.09600258	2
5983	1	1.85E-07	15.50432491	1
5984	1	9.03E-08	16.22026253	1
5985	1	1.38E-07	15.79743671	0
5986	1	1.27E-07	15.87683582	2
5987	1	1.64E-07	15.62313175	3
5988	1	3.41E-07	14.89175034	3
5989	1	2.53E-07	15.18880653	1
5990	1	1.71E-07	15.58386135	3
5991	1	2.36E-07	15.25774193	2
5992	1	1.19E-07	15.94294453	1
5993	1	2.31E-07	15.27994537	2
5994	1	1.24E-07	15.89896584	2
5995	1	3.03E-07	15.00814342	2
5996	1	1.50E-07	15.71095562	1
5997	1	2.59E-07	15.1651783	2
5998	1	1.25E-07	15.89651394	2
5999	1	5.13E-08	16.7851944	1
6000	1	3.06E-07	15.00033092	2
6001	1	1.30E-07	15.85772514	1
6002	1	1.78E-07	15.53988934	2
6003	1	4.65E-07	14.58214474	3
6004	1	1.27E-07	15.88100052	1
6005	1	3.49E-07	14.86787987	3
6006	1	2.36E-07	15.25978661	2
6007	1	1.94E-07	15.4569521	3
6008	1	3.67E-07	14.81814766	1
6010	1	2.35E-07	15.26274586	1
6011	1	9.89E-08	16.12913513	1
6012	1	1.53E-07	15.69007969	0
6013	1	1.49E-07	15.71644115	1
6014	1	3.78E-07	14.78864479	3
6015	1	2.45E-07	15.22089481	2
6016	1	3.04E-07	15.00731087	3
6017	1	2.56E-07	15.17730141	1
6018	1	1.21E-07	15.92752934	2
6019	1	2.27E-07	15.29938221	1
6020	1	2.62E-07	15.15502834	2
6021	1	2.66E-07	15.13796329	2
6022	1	3.01E-07	15.01750565	2
6023	1	3.47E-07	14.87463379	2
6024	1	1.83E-07	15.51250172	1
6025	1	1.89E-07	15.48191357	1
6026	1	3.79E-07	14.78489113	3
6027	1	2.93E-07	15.04224968	3
6028	1	1.02E-07	16.09917068	2
6029	1	1.90E-07	15.47834969	1
6030	1	2.55E-07	15.18084526	3
6031	1	3.60E-07	14.83632851	3
6032	1	1.82E-07	15.5207901	2
6033	1	4.14E-07	14.69685268	3
6034	1	2.22E-07	15.32110119	2
6035	1	8.52E-08	16.27841568	1
6036	1	3.61E-07	14.83335114	2
6037	1	2.50E-07	15.2006855	2
6038	1	2.32E-07	15.27592087	2
6039	1	1.79E-07	15.53430176	1
6040	1	2.68E-07	15.13371468	1
6041	1	1.42E-07	15.76698875	2
6042	1	3.55E-07	14.85227299	2
6043	1	2.35E-07	15.26447487	1
6044	1	9.57E-08	16.1617527	2
6045	1	2.93E-07	15.04325294	2
6046	1	1.27E-07	15.87542629	1
6047	1	1.20E-07	15.93278694	1
6048	1	2.31E-07	15.27884197	1
6049	1	9.76E-08	16.14282417	1
6050	1	3.85E-07	14.77061462	3
6051	1	3.25E-07	14.94087601	1
6052	1	2.28E-07	15.29511356	2
6053	1	1.83E-07	15.51200485	1
6054	1	1.61E-07	15.64105511	1
6055	1	2.10E-07	15.3761425	2
6056	1	1.61E-07	15.63900661	1
6057	1	2.14E-07	15.35893631	3
6058	1	1.88E-07	15.48740101	2
6059	1	1.32E-07	15.8368721	1
6060	1	1.22E-07	15.92253876	1
6061	1	4.83E-07	14.54391479	3
6062	1	1.09E-07	16.03302193	1
6063	1	2.03E-07	15.41189575	2
6064	1	1.87E-07	15.49022198	2
6065	1	1.99E-07	15.43050289	2
6066	1	1.66E-07	15.60967541	1
6067	1	2.05E-07	15.4005146	1
6068	1	2.03E-07	15.41055775	2
6069	1	2.82E-07	15.0822134	2
6070	1	3.18E-07	14.96144009	2
6071	1	1.61E-07	15.64007759	2
6072	1	1.87E-07	15.48985767	2
6073	1	2.64E-07	15.14587212	2
6074	1	1.22E-07	15.91738701	2
6075	1	4.19E-07	14.68436813	3
6076	1	2.23E-07	15.31510639	2
6077	1	2.07E-07	15.38846493	1
6078	1	1.65E-07	15.61516285	2
6079	1	3.99E-07	14.73375034	3
6080	1	2.44E-07	15.22694397	2
6081	1	1.30E-07	15.85362911	2
6082	1	1.42E-07	15.76533031	1
6083	1	9.41E-08	16.17932129	1
6084	1	1.54E-07	15.68372536	3
6085	1	2.74E-07	15.11068439	3
6086	1	1.86E-07	15.49817276	1
6087	1	3.04E-07	15.00463295	2
6088	1	3.80E-07	14.7840271	2
6089	1	2.10E-07	15.37685966	3
6090	1	1.98E-07	15.43299389	1
6091	1	2.36E-07	15.25876713	3
6092	1	1.34E-07	15.82459545	1
6093	1	1.65E-07	15.61892319	1
6094	1	2.51E-07	15.19902802	1
6095	1	4.68E-07	14.57394886	3
6096	1	1.66E-07	15.61071968	2
6097	1	1.43E-07	15.76151276	1
6098	1	1.87E-07	15.49446964	3
6099	1	7.51E-08	16.40503693	1
6100	1	2.55E-07	15.18387032	2
6101	1	1.76E-07	15.55019665	2
6102	1	2.27E-07	15.29976654	2
6103	1	2.45E-07	15.22287655	2
6104	1	1.23E-07	15.91267204	1
6105	1	4.09E-07	14.70959949	3
6106	1	1.38E-07	15.79328632	1
6107	1	1.49E-07	15.71719837	2
6108	1	1.31E-07	15.84838772	1
6109	1	1.49E-07	15.71874428	2
6110	1	1.58E-07	15.66095638	2
6111	1	2.35E-07	15.26166725	2
6112	1	2.09E-07	15.37939358	1
6113	1	3.74E-07	14.79924393	3
6114	1	7.29E-08	16.4341259	1
6115	1	1.22E-07	15.91560459	2
6116	1	3.36E-07	14.90655136	2
6117	1	2.18E-07	15.33737564	1
6118	1	2.71E-07	15.12064266	3
6119	1	1.30E-07	15.8571167	1
6120	1	1.88E-07	15.48624802	2
6121	1	3.17E-07	14.96369267	3
6122	1	2.90E-07	15.0539732	2
6123	1	2.97E-07	15.02871895	3
6124	1	2.07E-07	15.38871956	3
6125	1	1.87E-07	15.49304295	2
6126	1	1.83E-07	15.5160408	1
6127	1	4.40E-07	14.63574409	3
6128	1	2.69E-07	15.13019943	3
6129	1	2.11E-07	15.37316322	2
6130	1	2.11E-07	15.37198925	1
6131	1	7.13E-08	16.45585823	1
6132	1	2.13E-07	15.36046791	3
6133	1	1.47E-07	15.73362637	1
6134	1	3.27E-07	14.93425083	2
6135	1	1.46E-07	15.73910046	2
6136	1	1.25E-07	15.8989172	1
6137	1	2.69E-07	15.1273737	2
6138	1	1.34E-07	15.82902336	2
6139	1	1.30E-07	15.85400391	2
6140	1	2.60E-07	15.16402626	1
6141	1	2.20E-07	15.33112526	2
6142	1	2.54E-07	15.1866436	2
6143	1	1.71E-07	15.58015442	3
6144	1	2.36E-07	15.26072788	3
6145	1	3.41E-07	14.89126205	3
6146	1	2.52E-07	15.19285393	2
6147	1	1.70E-07	15.58796024	2
6148	1	1.11E-07	16.01328468	2
6149	1	1.85E-07	15.50463009	2
6150	1	1.28E-07	15.87050915	2
6151	1	1.53E-07	15.69584846	2
6152	1	2.55E-07	15.18021297	2
6153	1	9.34E-08	16.18673134	2
6154	1	1.48E-07	15.72341919	1
6155	1	2.30E-07	15.2848568	1
6156	1	2.49E-07	15.20779514	2
6157	1	4.45E-07	14.62520885	3
6158	1	3.60E-07	14.8374424	3
6159	1	1.24E-07	15.90356731	2
6160	1	2.26E-07	15.3039484	2
6161	1	2.07E-07	15.38836384	2
6162	1	2.80E-07	15.08800411	2
6163	1	1.52E-07	15.70182228	1
6164	1	1.42E-07	15.76483917	2
6165	1	1.09E-07	16.03497887	3
6166	1	1.67E-07	15.60383987	1
6167	1	5.76E-08	16.66998863	3
6168	1	1.92E-07	15.46684647	2
6169	1	2.57E-07	15.17485332	2
6170	1	2.02E-07	15.41503906	1
6171	1	3.50E-07	14.86585808	3
6172	1	2.88E-07	15.05936146	2
6173	1	9.10E-08	16.21224594	1
