candidate_id	reference_id	similarity score	dist	score
5978	1	0.065978649	2.718424082	1
5979	1	0.075575599	2.582621813	2
5980	1	0.056377805	2.875679731	1
5981	1	0.058971957	2.830693245	1
5982	1	0.084844051	2.466940403	2
5983	1	0.062934966	2.765653372	1
5984	1	0.03890419	3.246653318	1
5985	1	0.045352733	3.093284845	0
5986	1	0.056770719	2.868734598	2
5987	1	0.073681476	2.608003855	3
5988	1	0.06806166	2.687341213	3
5989	1	0.056801317	2.868195772	1
5990	1	0.06636171	2.71263504	3
5991	1	0.091209054	2.394601107	2
5992	1	0.082007379	2.500946045	1
5993	1	0.06899182	2.673767328	2
5994	1	0.065684971	2.722885132	2
5995	1	0.070044441	2.658625364	2
5996	1	0.070305948	2.654898882	1
5997	1	0.074575271	2.595946312	2
5998	1	0.07752845	2.55711031	2
5999	1	0.0635831	2.755407572	1
6000	1	0.075502155	2.583594084	2
6001	1	0.066155367	2.715749264	1
6002	1	0.065887947	2.719799757	2
6003	1	0.098508386	2.317613602	3
6004	1	0.046287388	3.072885752	1
6005	1	0.064631708	2.73905015	3
6006	1	0.069067198	2.672675371	2
6007	1	0.079461748	2.532479525	3
6008	1	0.064169959	2.746220112	1
6010	1	0.075512614	2.583455563	1
6011	1	0.041411735	3.184190989	1
6012	1	0.042832756	3.150452137	0
6013	1	0.074305502	2.599570274	1
6014	1	0.090103161	2.406800032	3
6015	1	0.088200509	2.428142548	2
6016	1	0.075206831	2.587513208	3
6017	1	0.059158463	2.827535629	1
6018	1	0.053170082	2.934259415	2
6019	1	0.068529647	2.680488825	1
6020	1	0.080309296	2.521869898	2
6021	1	0.067288047	2.698772669	2
6022	1	0.062522832	2.772223473	2
6023	1	0.086008856	2.453305006	2
6024	1	0.074943551	2.591020107	1
6025	1	0.073050167	2.616608858	1
6026	1	0.070358701	2.654148817	3
6027	1	0.082382834	2.496378183	3
6028	1	0.048817057	3.019675493	2
6029	1	0.069227656	2.670354843	1
6030	1	0.07153394	2.637583256	3
6031	1	0.081770731	2.503835917	3
6032	1	0.071056465	2.644280434	2
6033	1	0.069702762	2.663515329	3
6034	1	0.076872207	2.565610886	2
6035	1	0.059199606	2.826840401	1
6036	1	0.06563533	2.723641157	2
6037	1	0.068031209	2.687788725	2
6038	1	0.054937945	2.901551008	2
6039	1	0.059829195	2.81626153	1
6040	1	0.082337867	2.496924162	1
6041	1	0.055947512	2.883341312	2
6042	1	0.092404056	2.381584406	2
6043	1	0.073838182	2.605879307	1
6044	1	0.031623062	3.453868628	2
6045	1	0.073290893	2.61331892	2
6046	1	0.071344284	2.640238047	1
6047	1	0.041886	3.17280364	1
6048	1	0.058062167	2.846240997	1
6049	1	0.072130113	2.629283667	1
6050	1	0.07984405	2.52767992	3
6051	1	0.069635673	2.664478302	1
6052	1	0.073859434	2.605591536	2
6053	1	0.080591216	2.518365622	1
6054	1	0.076509151	2.570344925	1
6055	1	0.048870556	3.018580198	2
6056	1	0.06766506	2.693185329	1
6057	1	0.078817661	2.540618181	3
6058	1	0.059199253	2.826846361	2
6059	1	0.089688116	2.411417007	1
6060	1	0.050240771	2.990928411	1
6061	1	0.091343783	2.393125057	3
6062	1	0.065063575	2.732390404	1
6063	1	0.072425562	2.62519598	2
6064	1	0.059878156	2.815443516	2
6065	1	0.055697926	2.887812376	2
6066	1	0.054796601	2.904127121	1
6067	1	0.069477085	2.666758299	1
6068	1	0.057446981	2.856892824	2
6069	1	0.063929324	2.749977112	2
6070	1	0.090075002	2.407112598	2
6071	1	0.060655175	2.802550316	2
6072	1	0.049541182	3.004951	2
6073	1	0.068669879	2.678444624	2
6074	1	0.037428479	3.285323381	2
6075	1	0.092828239	2.377004385	3
6076	1	0.070164098	2.656918526	2
6077	1	0.074981422	2.590514898	1
6078	1	0.063664558	2.754127264	2
6079	1	0.08128692	2.509770155	3
6080	1	0.0672535	2.699286222	2
6081	1	0.064306374	2.744096518	2
6082	1	0.078525899	2.544326782	1
6083	1	0.059904772	2.814999104	1
6084	1	0.062762392	2.768399239	3
6085	1	0.099719058	2.305398464	3
6086	1	0.077670058	2.555285454	1
6087	1	0.070444439	2.652930975	2
6088	1	0.048929502	3.017374754	2
6089	1	0.071838627	2.633332968	3
6090	1	0.077270305	2.560445547	1
6091	1	0.079408701	2.533147335	3
6092	1	0.055187586	2.897017241	1
6093	1	0.065477875	2.726042986	1
6094	1	0.067153695	2.700771332	1
6095	1	0.085194522	2.462818146	3
6096	1	0.074055793	2.602936506	2
6097	1	0.094679922	2.357253313	1
6098	1	0.052778665	2.941648245	3
6099	1	0.046690081	3.064223528	1
6100	1	0.09898794	2.312757254	2
6101	1	0.060568051	2.803987741	2
6102	1	0.066040326	2.717489719	2
6103	1	0.076001856	2.576997519	2
6104	1	0.063275836	2.76025176	1
6105	1	0.058880484	2.832245588	3
6106	1	0.047378781	3.049580812	1
6107	1	0.06844575	2.68171382	2
6108	1	0.071001834	2.645049572	1
6109	1	0.065713464	2.722451448	2
6110	1	0.058659853	2.835999727	2
6111	1	0.072776284	2.620365143	2
6112	1	0.066943755	2.703902483	1
6113	1	0.081186515	2.511006117	3
6114	1	0.025547853	3.667201996	1
6115	1	0.053408341	2.929788351	2
6116	1	0.072305996	2.626848221	2
6117	1	0.05414134	2.916157246	1
6118	1	0.057854657	2.849821329	3
6119	1	0.063892465	2.750553846	1
6120	1	0.064656938	2.738659859	2
6121	1	0.07634157	2.572537661	3
6122	1	0.090183928	2.405904055	2
6123	1	0.068912368	2.674919605	3
6124	1	0.078202228	2.548457146	3
6125	1	0.080437934	2.520269394	2
6126	1	0.056177212	2.879244089	1
6127	1	0.079888912	2.527118206	3
6128	1	0.091432332	2.392156124	3
6129	1	0.059893947	2.815179825	2
6130	1	0.072811498	2.619881392	1
6131	1	0.06157128	2.787559748	1
6132	1	0.056059631	2.881339312	3
6133	1	0.050896479	2.97796154	1
6134	1	0.061091502	2.7953825	2
6135	1	0.065240937	2.72966814	2
6136	1	0.051449502	2.967154503	1
6137	1	0.073207485	2.614457607	2
6138	1	0.083925371	2.477827311	2
6139	1	0.062597768	2.771025658	2
6140	1	0.062904798	2.766132832	1
6141	1	0.073934206	2.604579687	2
6142	1	0.083159527	2.486994505	2
6143	1	0.080136143	2.524028301	3
6144	1	0.078126045	2.549431801	3
6145	1	0.076515955	2.570255995	3
6146	1	0.06895824	2.674254179	2
6147	1	0.065369732	2.727695942	2
6148	1	0.033475437	3.396943331	2
6149	1	0.058582116	2.837325811	2
6150	1	0.078512963	2.544491529	2
6151	1	0.075746627	2.580361366	2
6152	1	0.066373863	2.712451935	2
6153	1	0.039784942	3.224266768	2
6154	1	0.06453881	2.740488529	1
6155	1	0.07663289	2.568728924	1
6156	1	0.07762026	2.5559268	2
6157	1	0.070343991	2.65435791	3
6158	1	0.074901073	2.591587067	3
6159	1	0.055998437	2.882431507	2
6160	1	0.077588307	2.556338549	2
6161	1	0.062521252	2.772248745	2
6162	1	0.06346707	2.757234097	2
6163	1	0.050038363	2.994965315	1
6164	1	0.071819926	2.633593321	2
6165	1	0.087974845	2.430704355	3
6166	1	0.062764622	2.768363714	1
6167	1	0.083011929	2.488770962	3
6168	1	0.078426642	2.545591593	2
6169	1	0.072089694	2.629844189	2
6170	1	0.052570068	2.945608377	1
6171	1	0.091468765	2.391757727	3
6172	1	0.08179019	2.503597975	2
6173	1	0.053858948	2.921386719	1
6174	1	0.079787818	2.528384447	2
6175	1	0.058698997	2.835332632	1
6176	1	0.05601844	2.882074356	1
6177	1	0.097924424	2.323559284	2
6178	1	0.083026655	2.488593578	3
6179	1	0.039968443	3.219665051	2
6180	1	0.069885955	2.660890579	3
6181	1	0.079006008	2.538231373	3
6182	1	0.082905143	2.490058184	3
6183	1	0.08157375	2.506247759	3
6184	1	0.063490377	2.756866932	1
6185	1	0.064198682	2.7457726	2
6186	1	0.061273812	2.792402744	2
6187	1	0.051951786	2.957439184	1
6188	1	0.039356925	3.235083342	0
6189	1	0.063507348	2.756599665	1
6190	1	0.073821812	2.606101036	2
6191	1	0.070787104	2.648078442	2
6192	1	0.081842604	2.502957344	3
6193	1	0.060817402	2.799879313	1
6194	1	0.074857655	2.592166901	3
6195	1	0.059357062	2.824184179	3
6196	1	0.05741067	2.85752511	1
6197	1	0.074408946	2.598179102	2
6198	1	0.057267606	2.860020161	3
6199	1	0.063101094	2.763017178	2
6200	1	0.063014888	2.76438427	0
6201	1	0.058474947	2.839156866	2
6202	1	0.057598183	2.854264259	1
6203	1	0.064437641	2.742057323	3
6204	1	0.084981533	2.465321302	1
6205	1	0.060020328	2.813071966	2
6206	1	0.053255719	2.932650089	0
6207	1	0.068160669	2.685887575	0
6208	1	0.077878312	2.552607775	3
6209	1	0.054655633	2.906702995	2
6210	1	0.077588196	2.556339979	2
6211	1	0.074863795	2.592084885	1
6212	1	0.085530329	2.458884239	2
6213	1	0.066156234	2.715736151	1
6214	1	0.073882153	2.605283976	1
6215	1	0.057022203	2.864314556	1
6216	1	0.079683127	2.529697418	2
6217	1	0.0672074	2.699971914	1
6218	1	0.065863163	2.720175982	2
6219	1	0.066419438	2.711765528	2
6220	1	0.069349737	2.66859293	2
6221	1	0.066257242	2.71421051	2
6222	1	0.062362003	2.774799109	2
6223	1	0.079426291	2.532925844	3
6224	1	0.070519739	2.651862621	2
6225	1	0.081718869	2.504470348	3
6226	1	0.065536114	2.725153923	3
6227	1	0.044216527	3.118656635	1
6228	1	0.079527079	2.531657696	3
6229	1	0.074878075	2.59189415	1
6230	1	0.062661662	2.770005465	1
6231	1	0.082895043	2.490180016	2
6232	1	0.086291402	2.45002532	1
6233	1	0.053126479	2.935079813	2
6234	1	0.046813183	3.061590433	1
6235	1	0.059968592	2.813934326	1
6236	1	0.074541177	2.596403599	2
6237	1	0.063148878	2.762260199	2
6238	1	0.042618187	3.155474186	0
6239	1	0.07082578	2.647532225	2
6240	1	0.057344104	2.858685255	3
6241	1	0.055922361	2.88379097	1
6242	1	0.070655822	2.649934769	1
6243	1	0.071583297	2.636893511	2
6244	1	0.063151076	2.762225389	1
6245	1	0.06379745	2.752042055	3
6246	1	0.060648899	2.80265379	1
6247	1	0.077209958	2.561226845	3
6248	1	0.064290906	2.744337082	1
6249	1	0.076688983	2.567997217	3
6250	1	0.060040366	2.81273818	3
6251	1	0.075722792	2.580676079	1
6252	1	0.055911175	2.883991003	1
6253	1	0.092756471	2.377777815	3
6254	1	0.077688467	2.555048466	3
