candidate_id	reference_id	similarity score	dist	score
5979	1	8.86E-07	13.93668461	2
5980	1	5.06E-07	14.49694347	1
5985	1	2.26E-07	15.30069351	0
5986	1	1.32E-06	13.54118729	2
5987	1	1.55E-06	13.37453651	3
5988	1	1.24E-06	13.59667015	3
5989	1	8.88E-07	13.93455124	1
5990	1	1.22E-06	13.61943626	3
5991	1	1.09E-06	13.72910404	2
5993	1	1.03E-06	13.78968525	2
5994	1	7.46E-07	14.10874367	2
5995	1	1.11E-06	13.70951271	2
5996	1	1.14E-06	13.68712425	1
5997	1	1.24E-06	13.60415554	2
6000	1	1.46E-06	13.44017982	2
6002	1	9.40E-07	13.87730503	2
6003	1	2.42E-06	12.93017101	3
6005	1	9.84E-07	13.83137703	3
6006	1	1.33E-06	13.5317831	2
6007	1	1.19E-06	13.63959885	3
6008	1	8.13E-07	14.02269554	1
6010	1	1.79E-06	13.23590183	1
6012	1	3.45E-07	14.8785181	0
6014	1	2.38E-06	12.94761181	3
6015	1	1.72E-06	13.27459049	2
6016	1	1.26E-06	13.58752918	3
6017	1	1.21E-06	13.62262154	1
6020	1	1.65E-06	13.31433773	2
6021	1	9.71E-07	13.84470272	2
6022	1	1.12E-06	13.70189381	2
6023	1	1.84E-06	13.20587444	2
6026	1	1.63E-06	13.3246336	3
6027	1	1.66E-06	13.31016636	3
6028	1	4.66E-07	14.57946777	2
6029	1	7.27E-07	14.13456631	1
6030	1	2.10E-06	13.07291508	3
6031	1	1.51E-06	13.40460968	3
6032	1	8.50E-07	13.97809505	2
6033	1	1.90E-06	13.17163086	3
6034	1	9.59E-07	13.85742188	2
6035	1	6.38E-07	14.26491165	1
6036	1	9.62E-07	13.85375023	2
6037	1	9.73E-07	13.84313679	2
6038	1	2.22E-07	15.31889915	2
6039	1	7.99E-07	14.04036522	1
6042	1	2.56E-06	12.87469196	2
6043	1	1.18E-06	13.64833355	1
6045	1	6.75E-07	14.20795631	2
6046	1	8.47E-07	13.98151779	1
6047	1	3.57E-07	14.84560585	1
6048	1	7.06E-07	14.16349602	1
6051	1	9.17E-07	13.90260601	1
6055	1	7.39E-07	14.11863899	2
6056	1	9.32E-07	13.88543892	1
6057	1	1.54E-06	13.3810997	3
6058	1	7.04E-07	14.16650105	2
6061	1	1.88E-06	13.18530464	3
6062	1	7.17E-07	14.14861679	1
6063	1	1.10E-06	13.72422695	2
6065	1	7.90E-07	14.05075264	2
6067	1	7.20E-07	14.14382648	1
6068	1	1.07E-06	13.75063515	2
6069	1	8.17E-07	14.0170536	2
6071	1	1.32E-06	13.53514385	2
6072	1	1.33E-06	13.53072357	2
6073	1	1.01E-06	13.80543041	2
6074	1	5.55E-07	14.40366745	2
6075	1	2.23E-06	13.01233864	3
6076	1	7.35E-07	14.12281132	2
6077	1	1.08E-06	13.74114513	1
6078	1	1.07E-06	13.7510376	2
6079	1	1.75E-06	13.25390053	3
6080	1	1.02E-06	13.79270172	2
6084	1	8.26E-07	14.00708866	3
6085	1	2.02E-06	13.11235523	3
6087	1	1.19E-06	13.63836479	2
6088	1	6.25E-07	14.28622723	2
6089	1	8.52E-07	13.97531986	3
6091	1	1.37E-06	13.5003643	3
6094	1	9.74E-07	13.84154797	1
6095	1	2.57E-06	12.87000847	3
6096	1	1.00E-06	13.81125259	2
6098	1	1.13E-06	13.69038391	3
6100	1	1.19E-06	13.63926792	2
6101	1	4.19E-07	14.68647861	2
6102	1	8.77E-07	13.94693089	2
6103	1	1.18E-06	13.64928913	2
6106	1	5.68E-07	14.38095093	1
6107	1	9.22E-07	13.8969698	2
6110	1	8.59E-07	13.96766949	2
6111	1	9.92E-07	13.82306099	2
6113	1	1.03E-06	13.78639889	3
6116	1	1.18E-06	13.65065193	2
6117	1	8.29E-07	14.00282192	1
6120	1	8.33E-07	13.99792385	2
6121	1	1.59E-06	13.35161686	3
6122	1	2.01E-06	13.11676502	2
6123	1	1.21E-06	13.62835312	3
6124	1	1.13E-06	13.6933527	3
6126	1	6.09E-07	14.31206608	1
6127	1	1.64E-06	13.32164669	3
6129	1	8.07E-07	14.03026485	2
6132	1	7.80E-07	14.06348133	3
6134	1	1.04E-06	13.78055668	2
6135	1	7.46E-07	14.10802174	2
6136	1	5.73E-07	14.37228107	1
6138	1	1.14E-06	13.688097	2
6139	1	8.17E-07	14.01738358	2
6140	1	9.22E-07	13.89690113	1
6141	1	1.34E-06	13.52439308	2
6142	1	2.06E-06	13.09374046	2
6143	1	8.45E-07	13.98426819	3
6144	1	6.26E-07	14.28343582	3
6145	1	1.54E-06	13.38384342	3
6146	1	8.61E-07	13.96471024	2
6148	1	2.78E-07	15.09417343	2
