candidate_id	reference_id	similarity score	dist	score
5979	1	0.000145352	8.836354256	2
5980	1	6.75E-05	9.60322094	1
5985	1	3.10E-05	10.38261795	0
5986	1	0.000215687	8.441681862	2
5987	1	0.000275325	8.197557449	3
5988	1	0.000331183	8.012838364	3
5989	1	0.000106843	9.144150734	1
5990	1	0.000222701	8.409679413	3
5991	1	0.000187094	8.583901405	2
5993	1	0.000172796	8.663396835	2
5994	1	0.00014818	8.817083359	2
5995	1	9.06E-05	9.30890274	2
5996	1	0.000208382	8.476138115	1
5997	1	0.000179844	8.623420715	2
6000	1	0.000235165	8.355223656	2
6002	1	0.000154903	8.772708893	2
6003	1	0.000328629	8.020582199	3
6005	1	0.000162226	8.726520538	3
6006	1	0.000151228	8.796722412	2
6007	1	0.000158334	8.750801086	3
6008	1	0.000123157	9.002049446	1
6010	1	0.000259609	8.256332397	1
6012	1	6.12E-05	9.701141357	0
6014	1	0.000348965	7.96053791	3
6015	1	0.000307503	8.087025642	2
6016	1	0.000171289	8.672158241	3
6017	1	0.000108009	9.133293152	1
6020	1	0.000407345	7.805850506	2
6021	1	8.46E-05	9.377264023	2
6022	1	0.000188196	8.578024864	2
6023	1	0.000295595	8.126520157	2
6026	1	0.000239069	8.338759422	3
6027	1	0.000463539	7.67662096	3
6028	1	8.03E-05	9.429171562	2
6029	1	0.000104726	9.164158821	1
6030	1	0.000283294	8.169026375	3
6031	1	0.000342075	7.980480671	3
6032	1	0.000110454	9.11091423	2
6033	1	0.000332196	8.009785652	3
6034	1	0.000193696	8.549219131	2
6035	1	0.000153281	8.783238411	1
6036	1	0.000186517	8.586988449	2
6037	1	0.00014315	8.851615906	2
6038	1	5.47E-05	9.813568115	2
6039	1	0.00012823	8.961686134	1
6042	1	0.000331792	8.011002541	2
6043	1	0.000124177	8.993804932	1
6045	1	0.000133975	8.917854309	2
6046	1	0.000161855	8.728808403	1
6047	1	3.56E-05	10.24425602	1
6048	1	7.93E-05	9.442336082	1
6051	1	0.000117088	9.052581787	1
6055	1	8.03E-05	9.429462433	2
6056	1	0.000159724	8.742060661	1
6057	1	0.000306657	8.089781761	3
6058	1	0.000117553	9.048624992	2
6061	1	0.000473613	7.655120373	3
6062	1	0.00012403	8.994988441	1
6063	1	0.000160307	8.738417625	2
6065	1	0.000123878	8.996213913	2
6067	1	9.70E-05	9.240866661	1
6068	1	0.000147678	8.820473671	2
6069	1	0.000103823	9.172821045	2
6071	1	0.000150625	8.800717354	2
6072	1	0.000147578	8.821153641	2
6073	1	0.000134474	8.914136887	2
6074	1	4.36E-05	10.0399437	2
6075	1	0.00046722	7.668710709	3
6076	1	0.000102779	9.182930946	2
6077	1	0.000200837	8.513017654	1
6078	1	0.000155991	8.765712738	2
6079	1	0.000380753	7.873360157	3
6080	1	0.000182198	8.610416412	2
6084	1	0.000153572	8.781338692	3
6085	1	0.000480612	7.640450001	3
6087	1	0.000142645	8.855153084	2
6088	1	6.83E-05	9.592311859	2
6089	1	0.000276199	8.19438839	3
6091	1	0.000263649	8.240893364	3
6094	1	9.12E-05	9.302419662	1
6095	1	0.000400527	7.822730541	3
6096	1	0.000186453	8.587329865	2
6098	1	0.000202676	8.503904343	3
6100	1	0.000355095	7.943123817	2
6101	1	7.98E-05	9.435744286	2
6102	1	0.000134447	8.914343834	2
6103	1	0.000149771	8.806402206	2
6106	1	9.71E-05	9.239545822	1
6107	1	0.000274634	8.200070381	2
6110	1	0.000125576	8.982600212	2
6111	1	0.000249173	8.297362328	2
6113	1	0.00016025	8.738775253	3
6116	1	0.000247141	8.305552483	2
6117	1	7.75E-05	9.464696884	1
6120	1	9.98E-05	9.211977005	2
6121	1	0.000193158	8.552000046	3
6122	1	0.000401156	7.821160793	2
6123	1	0.000171265	8.672300339	3
6124	1	0.00023338	8.362843513	3
6126	1	0.000121115	9.018769264	1
6127	1	0.00022735	8.389018059	3
6129	1	0.000161747	8.729475021	2
6132	1	0.000130309	8.945603371	3
6134	1	0.000144949	8.839127541	2
6135	1	0.000142602	8.855456352	2
6136	1	7.99E-05	9.434796333	1
6138	1	0.000220338	8.420349121	2
6139	1	0.00012801	8.963403702	2
6140	1	0.00012694	8.971792221	1
6141	1	0.000190519	8.565758705	2
6142	1	0.000344471	7.973499775	2
6143	1	0.000198422	8.525115967	3
6144	1	0.00014581	8.833205223	3
6145	1	0.000327232	8.024840355	3
6146	1	0.000133479	8.921567917	2
6148	1	3.20E-05	10.35113716	2
