candidate_id	reference_id	similarity score	dist	score
5979	1	5.39E-09	19.03923988	2
5980	1	3.77E-09	19.39735413	1
5985	1	1.66E-09	20.21876907	0
5986	1	8.03E-09	18.64069557	2
5987	1	8.77E-09	18.55151558	3
5988	1	4.68E-09	19.18050003	3
5989	1	7.38E-09	18.72495079	1
5990	1	6.65E-09	18.82919312	3
5991	1	6.35E-09	18.87430763	2
5993	1	6.09E-09	18.9165554	2
5994	1	3.75E-09	19.40040398	2
5995	1	1.36E-08	18.11017799	2
5996	1	6.20E-09	18.89811325	1
5997	1	8.49E-09	18.58489418	2
6000	1	9.01E-09	18.52513695	2
6002	1	5.70E-09	18.98234177	2
6003	1	1.79E-08	17.83976173	3
6005	1	5.97E-09	18.93625259	3
6006	1	1.16E-08	18.27025986	2
6007	1	8.98E-09	18.52839661	3
6008	1	5.37E-09	19.04333878	1
6010	1	1.23E-08	18.21547318	1
6012	1	1.95E-09	20.05589676	0
6014	1	1.63E-08	17.93468857	3
6015	1	9.59E-09	18.46215439	2
6016	1	9.21E-09	18.50290108	3
6017	1	1.36E-08	18.11195183	1
6020	1	6.69E-09	18.82282639	2
6021	1	1.11E-08	18.31214142	2
6022	1	6.67E-09	18.8257618	2
6023	1	1.15E-08	18.28522873	2
6026	1	1.12E-08	18.31050682	3
6027	1	5.93E-09	18.94371223	3
6028	1	2.70E-09	19.72976112	2
6029	1	5.04E-09	19.10497475	1
6030	1	1.56E-08	17.97680283	3
6031	1	6.65E-09	18.82873535	3
6032	1	6.53E-09	18.84614754	2
6033	1	1.08E-08	18.34691429	3
6034	1	4.75E-09	19.16562462	2
6035	1	2.63E-09	19.75537682	1
6036	1	4.97E-09	19.12081909	2
6037	1	6.61E-09	18.83465767	2
6038	1	9.04E-10	20.82425499	2
6039	1	4.86E-09	19.14208603	1
6042	1	1.98E-08	17.73838234	2
6043	1	1.13E-08	18.30286217	1
6045	1	3.40E-09	19.49806213	2
6046	1	4.43E-09	19.23422623	1
6047	1	3.56E-09	19.45455933	1
6048	1	6.19E-09	18.89978218	1
6051	1	7.16E-09	18.75448036	1
6055	1	6.79E-09	18.80781555	2
6056	1	5.44E-09	19.02881241	1
6057	1	7.77E-09	18.67241478	3
6058	1	4.22E-09	19.28438187	2
6061	1	7.45E-09	18.71549225	3
6062	1	4.14E-09	19.30224419	1
6063	1	7.49E-09	18.71003532	2
6065	1	5.04E-09	19.10529327	2
6067	1	5.35E-09	19.04678726	1
6068	1	7.64E-09	18.69020462	2
6069	1	6.44E-09	18.86128616	2
6071	1	1.16E-08	18.27473259	2
6072	1	1.20E-08	18.2407589	2
6073	1	7.59E-09	18.69672012	2
6074	1	7.04E-09	18.77168274	2
6075	1	1.07E-08	18.35596848	3
6076	1	5.26E-09	19.06329918	2
6077	1	5.78E-09	18.96927452	1
6078	1	7.28E-09	18.73832512	2
6079	1	8.08E-09	18.63444138	3
6080	1	5.74E-09	18.97498894	2
6084	1	4.44E-09	19.23283386	3
6085	1	8.49E-09	18.58425903	3
6087	1	9.99E-09	18.42157364	2
6088	1	5.67E-09	18.98797226	2
6089	1	2.63E-09	19.75624847	3
6091	1	7.12E-09	18.7598362	3
6094	1	1.04E-08	18.38113403	1
6095	1	1.65E-08	17.91728592	3
6096	1	5.41E-09	19.03517532	2
6098	1	6.34E-09	18.87686348	3
6100	1	4.01E-09	19.33541489	2
6101	1	2.19E-09	19.94146538	2
6102	1	5.72E-09	18.97951698	2
6103	1	9.31E-09	18.49217796	2
6106	1	3.32E-09	19.52235222	1
6107	1	3.09E-09	19.59387016	2
6110	1	5.87E-09	18.95273781	2
6111	1	3.95E-09	19.34875679	2
6113	1	6.61E-09	18.83402252	3
6116	1	5.63E-09	18.99575043	2
6117	1	8.80E-09	18.54902077	1
6120	1	6.94E-09	18.78579712	2
6121	1	1.31E-08	18.15123367	3
6122	1	1.01E-08	18.4140873	2
6123	1	8.43E-09	18.59132195	3
6124	1	5.47E-09	19.02386093	3
6126	1	3.06E-09	19.60536766	1
6127	1	1.18E-08	18.25427246	3
6129	1	4.02E-09	19.33105469	2
6132	1	4.67E-09	19.18136024	3
6134	1	7.40E-09	18.72198296	2
6135	1	3.91E-09	19.36058426	2
6136	1	4.11E-09	19.30976486	1
6138	1	5.86E-09	18.95584297	2
6139	1	5.22E-09	19.07136345	2
6140	1	6.69E-09	18.82208633	1
6141	1	9.40E-09	18.4830265	2
6142	1	1.23E-08	18.21397972	2
6143	1	3.60E-09	19.4434185	3
6144	1	2.69E-09	19.73366737	3
6145	1	7.25E-09	18.74284554	3
