cand id	bleu	R1f	R1p	R1r	R2f	R2p	R2r	RLf	RLp	RLr	glove_wms	glove_sms	glove_s+wms	elmo_wms	elmo_sms	elmo_s+wms	bert_wms	bert_sms	bert_s+wms	bertscore-p	bertscore-r	bertscore-f1	SentBERT	score
0	0.009985315	0.229166662	0.239130435	0.22	0.085106378	0.088888889	0.081632653	0.273972598	0.3125	0.243902439	0.005934015	0.068943444	0.020360445	7.73E-08	0.000204367	3.97E-06	1.74E-06	0.000420987	2.70E-05	0.8742096	0.8719703	0.87308854	1.33E-08	0.6
1	0.012818662	0.277777773	0.277777778	0.277777778	0.028571424	0.028571429	0.028571429	0.212121207	0.212121212	0.212121212	0.013627594	0.089214022	0.03486792	3.17E-07	0.000634821	1.42E-05	1.28E-06	0.000428351	2.34E-05	0.8763441	0.88878614	0.8825213	1.80E-09	1
2	0.014286756	0.458715592	0.378787879	0.581395349	0.261682238	0.215384615	0.333333333	0.478260865	0.407407407	0.578947368	0.010183602	0.062395109	0.025234191	2.99E-07	0.000179729	7.45E-06	2.27E-06	0.00029076	2.61E-05	0.8667645	0.90051425	0.8833172	4.63E-10	0.4
3	0	0.26086956	0.25	0.272727273	0.059701488	0.057142857	0.0625	0.258064511	0.242424242	0.275862069	0.011799651	0.090709575	0.032716059	2.35E-07	0.00038594	9.55E-06	1.40E-05	0.001173844	0.000129474	0.9107667	0.91330713	0.9120352	3.42E-08	1
4	0.007756598	0.333333328	0.288135593	0.395348837	0.079999995	0.068965517	0.095238095	0.302325576	0.270833333	0.342105263	0.007690054	0.088928119	0.026421087	1.02E-07	0.000159074	4.02E-06	1.63E-06	0.000302679	2.24E-05	0.8524495	0.8816541	0.86680585	6.26E-10	0.4
5	0	0.249999995	0.25	0.25	0.064516124	0.064516129	0.064516129	0.313725485	0.380952381	0.266666667	0.006740412	0.070505752	0.021799949	2.09E-08	6.86E-05	1.20E-06	1.48E-06	0.000280877	2.04E-05	0.8586588	0.85452414	0.8565865	5.79E-10	0.4
6	0.018348431	0.382022467	0.34	0.435897436	0.114942524	0.102040816	0.131578947	0.383561639	0.358974359	0.411764706	0.012632386	0.133230465	0.041024596	7.85E-07	0.001355366	3.26E-05	5.11E-06	0.001046499	7.32E-05	0.9051488	0.90546507	0.9053069	2.08E-08	1
7	0.012464958	0.4047619	0.447368421	0.369565217	0.121951215	0.135135135	0.111111111	0.343749995	0.44	0.282051282	0.008995778	0.107494721	0.031097591	1.57E-07	0.000475776	8.64E-06	1.56E-06	0.000455324	2.68E-05	0.8854593	0.85462666	0.8697698	2.30E-08	-0.2
8	0.010854323	0.4054054	0.357142857	0.46875	0.123287666	0.108433735	0.142857143	0.319327726	0.31147541	0.327586207	0.013993829	0.093061005	0.03608711	1.71E-07	0.000295915	7.12E-06	8.91E-07	0.000289984	1.61E-05	0.87332225	0.8917551	0.8824424	8.94E-10	0.6
9	0.019970629	0.206896547	0.260869565	0.171428571	0.035087715	0.044444444	0.028985507	0.185567006	0.236842105	0.152542373	0.008698617	0.062397564	0.023342358	4.45E-08	0.000172942	2.77E-06	4.34E-07	0.000158067	8.30E-06	0.8667053	0.84672743	0.85659987	2.28E-10	-0.2
10	0	0.268907559	0.470588235	0.188235294	0.102564099	0.181818182	0.071428571	0.268041233	0.419354839	0.196969697	0.006044363	0.061594552	0.019467099	5.58E-08	0.000103817	2.41E-06	8.49E-07	0.000213035	1.35E-05	0.89795935	0.85402125	0.87543935	2.41E-10	0.8
11	0.015251346	0.307692303	0.295081967	0.321428571	0.104347821	0.1	0.109090909	0.291666662	0.29787234	0.285714286	0.005755889	0.083538544	0.021928032	7.02E-08	0.000241123	4.11E-06	1.51E-06	0.000657596	3.15E-05	0.85780233	0.8357255	0.84662	5.72E-10	0.8
12	0.00936438	0.316831678	0.326530612	0.307692308	0.121212116	0.125	0.117647059	0.282608691	0.282608696	0.282608696	0.024661404	0.135274023	0.057758857	1.56E-07	0.000342387	7.32E-06	5.67E-06	0.001197929	8.26E-05	0.8842486	0.8814093	0.8828267	7.86E-09	0
13	0.006524415	0.363636359	0.309859155	0.44	0.201680667	0.171428571	0.244897959	0.399999995	0.333333333	0.5	0.005995741	0.057091295	0.018587367	1.10E-07	0.000168621	4.33E-06	2.90E-06	0.000725911	4.59E-05	0.8581107	0.8685612	0.8633043	4.72E-10	0.4
14	0.008328571	0.225563905	0.25862069	0.2	0.061068697	0.070175439	0.054054054	0.226415089	0.266666667	0.196721311	0.003123605	0.050763644	0.012604696	2.40E-08	7.29E-05	1.32E-06	4.72E-07	0.00018835	9.43E-06	0.8411887	0.834342	0.8377514	2.39E-10	0.8
15	0	0.108108103	0.111111111	0.105263158	0	0	0	0.111111107	0.181818182	0.08	0.003082473	0.062353247	0.013872659	1.76E-08	0.00010801	1.38E-06	4.60E-07	0.000191306	9.67E-06	0.8376497	0.8234228	0.83047533	2.18E-10	-0.4
16	0	0.340425527	0.271186441	0.457142857	0.195652169	0.155172414	0.264705882	0.380952376	0.307692308	0.5	0.010653531	0.075260948	0.028652699	3.79E-08	0.00011015	2.09E-06	3.90E-07	7.39E-05	5.41E-06	0.84650344	0.9117001	0.87789303	1.35E-09	0
17	0.017632308	0.302325577	0.245283019	0.393939394	0.023809519	0.019230769	0.03125	0.298507458	0.27027027	0.333333333	0.023916288	0.091522428	0.047576113	1.90E-07	0.000249565	6.93E-06	3.60E-06	0.000554082	4.46E-05	0.8458314	0.86353797	0.854593	1.41E-09	-0.4
18	0.012818662	0.261904757	0.305555556	0.229166667	0.024390239	0.028571429	0.021276596	0.219178077	0.25	0.195121951	0.003204666	0.052660074	0.013005289	2.32E-08	9.07E-05	1.46E-06	4.42E-07	0.000159461	8.50E-06	0.8516073	0.85533786	0.8534685	3.12E-10	0.8
19	0	0.26086956	0.255319149	0.266666667	0.066666662	0.065217391	0.068181818	0.314285709	0.333333333	0.297297297	0.008450815	0.053216829	0.021376985	3.17E-08	6.24E-05	1.41E-06	5.46E-07	9.63E-05	7.27E-06	0.83506835	0.8481197	0.84154344	2.76E-09	-0.4
20	0.008484993	0.227642271	0.21875	0.237288136	0.033057846	0.031746032	0.034482759	0.313253007	0.361111111	0.276595745	0.00427968	0.055176758	0.015386637	4.98E-08	8.45E-05	2.05E-06	2.02E-06	0.000468146	3.08E-05	0.85042167	0.82720953	0.83865505	1.68E-09	0.2
21	0.012130252	0.246153841	0.210526316	0.296296296	0	0	0	0.237288131	0.205882353	0.28	0.006850777	0.058138825	0.019957358	3.59E-08	7.42E-05	1.64E-06	9.80E-07	0.00046652	2.14E-05	0.8576118	0.8802736	0.8687949	1.64E-10	0
22	0	0.338983046	0.3125	0.37037037	0.140350872	0.129032258	0.153846154	0.418604646	0.529411765	0.346153846	0.007334144	0.042216408	0.017687867	4.35E-07	0.00010437	6.88E-06	2.30E-06	9.32E-05	1.47E-05	0.85324174	0.8791697	0.86601174	2.47E-10	0
