Score	Spearman Rank Correlation	Spearman p-value	Pearson Rank Correlation	Pearson p-value	Kendall Rank Correlation	Kendall p-value
bleu	0.03676680949417152	0.09326915560400692	0.017636545347260845	0.42087965530304916	0.028340971908706946	0.08932542247950492
R1f	0.15129098106447858	3.8093008771720224e-12	0.1672783623457127	1.495940920083577e-14	0.11207365118791555	4.627170583099048e-12
R1p	0.11072775795493772	4.0077491062171284e-07	0.12113361077217433	2.884549448166705e-08	0.08222914782117985	3.9485944145170304e-07
R1r	0.1651169052476239	3.2702746797673144e-14	0.17129227675461425	3.4048748065862924e-15	0.12221223711707481	4.8343495124746886e-14
R2f	0.1184731410551491	5.7769804162994806e-08	0.1079268534969754	7.827766925492394e-07	0.08782632447249226	6.569050968473263e-08
R2p	0.10552004903972934	1.3733616895422005e-06	0.09627390636126686	1.0645163268091105e-05	0.0783007902827305	1.4837091180210159e-06
R2r	0.12786290097215577	4.656282088364072e-09	0.11013371516816906	4.6254960017407687e-07	0.09482158459216469	5.595284776573573e-09
RLf	0.10218882750785868	2.931357993678959e-06	0.11286957325626262	2.3755505170290623e-07	0.07563815443670878	3.0549313452791756e-06
RLp	-0.05423510032039142	0.01325623754601446	-0.06302237661415834	0.0039912628892143955	-0.04035863895021908	0.012860907644828315
RLr	0.18808296023774104	4.698793370408347e-18	0.1883613734033829	4.189990608730825e-18	0.13986504086050103	6.583449218709555e-18
glove_wms	0.18017231977573295	1.1326045366891627e-16	0.1134449133511786	2.0608104352492702e-07	0.1333814481349997	1.7841799264008694e-16
glove_sms	0.2573286137839039	6.915835465416953e-33	0.24748949514002264	1.8035062661902388e-30	0.19236673456469147	1.5425908774214198e-32
glove_s+wms	0.21389133917186015	5.327117308849101e-23	0.1695454207861718	6.512974183588298e-15	0.15899466344996763	9.487422987279828e-23
elmo_wms	0.16030232756682095	1.7986824823471622e-13	0.03666508590324893	0.09417923163874499	0.11879261724316781	2.2604616279531477e-13
elmo_sms	0.2530739995649414	7.900468803355768e-32	0.0919561542081344	2.60761663630322e-05	0.18919673118605823	1.5768828223505762e-31
elmo_s+wms	0.20347261877414383	6.37084546213569e-21	0.04321060478379464	0.048516962115521006	0.15169562044422907	7.767656557434896e-21
bert_wms	0.168895962007155	8.274588933309181e-15	0.025757991196020513	0.23973637667020237	0.1253806341560594	1.0069548319374338e-14
bert_sms	0.22895971006059615	3.3367658711021833e-26	0.11585721312052227	1.1270432193223324e-07	0.17062485914011344	5.937100941751129e-26
bert_s+wms	0.19876171718671182	5.0976125746497927e-20	0.049147225174186494	0.024822033576473924	0.14772823781082625	7.732919965784108e-20
bertscore-p	0.17842655758007325	2.242634469282559e-16	0.2010889500756709	1.8365357104225606e-20	0.1330397834556103	2.127559229088603e-16
bertscore-r	0.2631537212244356	2.2869253819232177e-34	0.27286053905178587	6.428751281061341e-37	0.19597329893696053	1.0490365981458918e-33
bertscore-f1	0.25525405987705874	2.280928278483253e-32	0.27299232583179317	5.926014900105462e-37	0.19074096232534934	5.099713454396634e-32
